timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 154261636168
154261636168   846.842     532.189     846.842     532.189 

154261644624   849.958     531.595     849.958     531.595 

154261653005   850.95      532.118     850.95      532.118 

154261661359   850.311     533.064     850.311     533.064 

154261669625   850.559     533.253     850.559     533.253 

154261677968   848.52      534.513     848.52      534.513 

154261686339   847.823     535.485     847.823     535.485 

154261694556   844.689     533.132     844.689     533.132 

154261702971   845.47      531.602     845.47      531.602 

154261711309   846.066     531.41      846.066     531.41  

154261719689   847.135     531.278     847.135     531.278 

154261727974   849.305     531.372     849.305     531.372 

154261736313   846.761     530.318     846.761     530.318 

154261744706   847.528     530.533     847.528     530.533 

154261753106   844.711     528.126     844.711     528.126 

154261761346   842.364     527.098     842.364     527.098 

154261769707   842.444     523.949     842.444     523.949 

154261778099   844.915     524.116     844.915     524.116 

154261786411   845.075     526.159     845.075     526.159 

154261794658   810.181     523.723     810.181     523.723 

154261803076   644.662     523.632     644.662     523.632 

154261811460   541.857     521.393     541.857     521.393 

154261819704   448.007     523.134     448.007     523.134 

154261828073   396.171     520.199     396.171     520.199 

154261836455   384.465     518.452     384.465     518.452 

154261844795   359.9       518.74      359.9       518.74  

154261853026   363.604     514.402     363.604     514.402 

154261861402   368.95      515.821     368.95      515.821 

154261869905   363.91      515.514     363.91      515.514 

154261878118   356.915     514.434     356.915     514.434 

154261886453   353.691     512.369     353.691     512.369 

154261894876   362.529     509.52      362.529     509.52  

154261903242   359.352     507.643     359.352     507.643 

154261911459   354.695     500.467     354.695     500.467 

154261919849   345.353     498.435     345.353     498.435 

154261928264   354.899     499.927     354.899     499.927 

154261936640   360.899     495.451     360.899     495.451 

154261944870   355.172     495.55      355.172     495.55  

154261953222   344.747     498.425     344.747     498.425 

154261961634   349.769     494.621     349.769     494.621 

154261969993   358.406     494.761     358.406     494.761 

154261978220   355.58      496.28      355.58      496.28  

154261986616   347.326     494.964     347.326     494.964 

154261995008   345.884     496.009     345.884     496.009 

154262003318   351.7       497.829     351.7       497.829 

154262011668   355.868     497.551     355.868     497.551 

154262019949   353.657     497.871     353.657     497.871 

154262028320   352.484     498.199     352.484     498.199 

154262036659   349.835     497.635     349.835     497.635 

154262045015   348.905     497.149     348.905     497.149 

154262053375   343.125     497.397     343.125     497.397 

154262061746   335.323     496.924     335.323     496.924 

154262069983   327.762     492.252     327.762     492.252 

154262078271   317.496     490.227     317.496     490.227 

154262086731   313.423     484.724     313.423     484.724 

154262095102   310.612     472.953     310.612     472.953 

154262103299   314.253     459.993     314.253     459.993 

154262111718   310.411     465.106     310.411     465.106 

154262120148   310.84      466.903     310.84      466.903 

154262128533   310.24      462.343     310.24      462.343 

154262136745   310.117     461.767     310.117     461.767 

154262145076   313.514     461.711     313.514     461.711 

154262153443   316.604     460.137     316.604     460.137 

154262161701   321.488     459.634     321.488     459.634 

154262170136   328.695     461.593     328.695     461.593 

154262178500   332.99      464.244     332.99      464.244 

154262186831   334.036     468.609     334.036     468.609 

154262195103   341.294     471.147     341.294     471.147 

154262203505   341.162     471.76      341.162     471.76  

154262211933   335.746     473.075     335.746     473.075 

154262220232   338.386     473.856     338.386     473.856 

154262228468   341.348     476.29      341.348     476.29  

154262236851   343.281     478.167     343.281     478.167 

154262245211   344.716     478.986     344.716     478.986 

154262253622   344.433     480.549     344.433     480.549 

154262261861   345.157     482.421     345.157     482.421 

154262270246   343.2       481.974     343.2       481.974 

154262278643   338.465     482.031     338.465     482.031 

154262286827   336.307     481.073     336.307     481.073 

154262295222   337.463     481.835     337.463     481.835 

154262303646   339.827     483.007     339.827     483.007 

154262311955   340.921     483.522     340.921     483.522 

154262320254   341.37      483.864     341.37      483.864 

154262328645   341.822     483.15      341.822     483.15  

154262336991   341.326     487.056     341.326     487.056 

154262345360   344.054     491.023     344.054     491.023 

154262353619   344.373     493.699     344.373     493.699 

154262361977   342.391     495.101     342.391     495.101 

154262370359   342.405     499.002     342.405     499.002 

154262378629   344.387     501.289     344.387     501.289 

154262387009   345.499     502.303     345.499     502.303 

154262395375   346.312     504.675     346.312     504.675 

154262403733   345.743     509.739     345.743     509.739 

154262412009   344.66      512.402     344.66      512.402 

154262420301   344.645     514.791     344.645     514.791 

154262428777   343.077     519.227     343.077     519.227 

154262437113   341.497     519.689     341.497     519.689 

154262445369   340.362     519.323     340.362     519.323 

154262453694   342.259     520.262     342.259     520.262 

154262462159   342.87      520.677     342.87      520.677 

154262470473   341.075     521.13      341.075     521.13  

154262478718   341.107     521.644     341.107     521.644 

154262487086   338.715     522.951     338.715     522.951 

154262495504   334.871     520.857     334.871     520.857 

154262503755   335.13      519.147     335.13      519.147 

154262512076   338.115     519.33      338.115     519.33  

154262520427   338.156     519.239     338.156     519.239 

154262528909   337.63      519.114     337.63      519.114 

154262537074   334.269     518.885     334.269     518.885 

154262545477   333.148     518.847     333.148     518.847 

154262553832   333.072     518.006     333.072     518.006 

154262562241   334.36      517.352     334.36      517.352 

154262570471   334.203     518.961     334.203     518.961 

154262578845   335.582     519.476     335.582     519.476 

154262587231   338         520.664     338         520.664 

154262595600   339.51      519.46      339.51      519.46  

154262603846   338.525     519.542     338.525     519.542 

154262612245   336.274     518.283     336.274     518.283 

154262620613   337.433     518.718     337.433     518.718 

154262628877   337.65      521.147     337.65      521.147 

