timeStamp      action  positionX     positionY     

start time: 153869993221

153870085598   move    828.00        509.00        

153870093432   move    828.00        507.00        

153870093749   move    828.00        506.00        

153870093833   move    827.00        506.00        

153870094143   move    827.00        504.00        

153870101970   move    827.00        503.00        

153870102170   move    825.00        501.00        

153870102379   move    825.00        500.00        

153870110116   move    825.00        498.00        

153870110295   move    825.00        497.00        

153870110394   move    824.00        495.00        

153870110606   move    824.00        494.00        

153870110723   move    824.00        492.00        

153870110887   move    824.00        491.00        

153870118392   move    824.00        489.00        

153870118507   move    822.00        489.00        

153870118590   move    822.00        488.00        

153870118691   move    822.00        486.00        

153870118789   move    822.00        485.00        

153870118991   move    822.00        483.00        

153870126825   move    822.00        480.00        

153870126890   move    821.00        479.00        

153870126964   move    821.00        477.00        

153870127082   move    821.00        476.00        

153870127173   move    821.00        474.00        

153870127266   move    821.00        473.00        

153870127365   move    821.00        471.00        

153870127607   move    822.00        482.00        

153870135088   move    821.00        470.00        

153870135182   move    821.00        468.00        

153870135308   move    821.00        465.00        

153870135381   move    821.00        464.00        

153870135531   move    819.00        462.00        

153870135567   move    819.00        461.00        

153870135684   move    819.00        459.00        

153870135775   move    819.00        456.00        

153870135874   move    819.00        455.00        

153870143506   move    819.00        453.00        

153870143606   move    819.00        450.00        

153870143705   move    819.00        449.00        

153870143807   move    819.00        446.00        

153870144006   move    819.00        444.00        

153870144110   move    819.00        443.00        

153870144202   move    819.00        440.00        

153870151749   move    819.00        438.00        

153870151845   move    819.00        435.00        

153870151944   move    819.00        432.00        

153870152044   move    819.00        431.00        

153870152146   move    819.00        428.00        

153870152247   move    819.00        426.00        

153870152348   move    819.00        423.00        

153870152448   move    819.00        420.00        

153870160080   move    819.00        417.00        

153870160179   move    819.00        416.00        

153870160278   move    819.00        413.00        

153870160381   move    819.00        410.00        

153870160482   move    819.00        407.00        

153870160571   move    819.00        405.00        

153870160682   move    819.00        402.00        

153870160776   move    819.00        399.00        

153870160876   move    819.00        396.00        

153870160975   move    819.00        393.00        

153870161075   move    819.00        390.00        

153870168625   move    819.00        386.00        

153870168735   move    819.00        383.00        

153870168823   move    819.00        380.00        

153870168922   move    819.00        377.00        

153870169555   move    819.00        387.00        

153870176742   move    819.00        374.00        

153870176814   move    819.00        371.00        

153870176927   move    819.00        368.00        

153870177022   move    819.00        365.00        

153870177129   move    819.00        362.00        

153870177228   move    819.00        359.00        

153870177424   move    819.00        351.00        

153870185100   move    819.00        350.00        

153870185165   move    819.00        347.00        

153870185264   move    819.00        344.00        

153870185364   move    819.00        341.00        

153870185465   move    819.00        338.00        

153870185553   move    819.00        335.00        

153870185665   move    819.00        332.00        

153870185761   move    819.00        330.00        

153870185863   move    819.00        327.00        

153870193512   move    819.00        324.00        

153870193608   move    819.00        321.00        

153870193710   move    819.00        318.00        

153870193911   move    819.00        315.00        

153870194011   move    819.00        312.00        

153870194111   move    819.00        309.00        

153870194210   move    819.00        306.00        

153870201854   move    819.00        303.00        

153870201942   move    819.00        300.00        

153870202054   move    819.00        297.00        

153870202157   move    819.00        294.00        

153870202255   move    819.00        291.00        

153870202355   move    819.00        290.00        

153870202450   move    819.00        285.00        

153870202550   move    819.00        282.00        

153870202647   move    819.00        279.00        

153870210251   move    819.00        275.00        

153870210348   move    819.00        272.00        

153870210447   move    819.00        269.00        

153870210552   move    819.00        266.00        

153870210646   move    819.00        264.00        

153870210741   move    819.00        261.00        

153870210856   move    818.00        258.00        

153870218615   move    818.00        257.00        

153870218714   move    818.00        254.00        

153870218915   move    818.00        251.00        

153870219021   move    818.00        248.00        

153870219121   move    818.00        246.00        

153870219220   move    818.00        243.00        

153870219329   move    818.00        240.00        

153870226853   move    818.00        239.00        

153870226951   move    818.00        236.00        

153870227058   move    816.00        234.00        

153870227152   move    816.00        231.00        

153870227258   move    816.00        228.00        

153870227356   move    816.00        227.00        

153870227449   move    816.00        224.00        

