timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 95098472933
95098472933    834.959     361.932     834.959     361.932 

95098481301    835.763     256.612     835.763     256.612 

95098489553    832.711     178.977     832.711     178.977 

95098497925    827.877     119.609     827.877     119.609 

95098506303    823.79      21.124      823.79      21.124  

95098514678    827.693     37.45       827.693     37.45   

95098522921    824.968     30.612      824.968     30.612  

95098531295    827.453     32.882      827.453     32.882  

95098539666    825.494     28.593      825.494     28.593  

95098548063    817.924     49.574      817.924     49.574  

95098556292    821.589     40.094      821.589     40.094  

95098573060    818.265     36.988      818.265     36.988  

95098581422    822.081     44.118      822.081     44.118  

95098589676    819.903     32.939      819.903     32.939  

95098598054    808.331     19.632      808.331     19.632  

95098606412    818.842     26.999      818.842     26.999  

95098614797    814.055     24.737      814.055     24.737  

95098623046    815.587     1.597       815.587     1.597   

95098631428    813.887     2.103       813.887     2.103   

95098639810    816.716     -7.479      816.716     -7.479  

95098648177    808.699     9.278       808.699     9.278   

95098656419    814.939     -11.327     814.939     -11.327 

95098673181    809.119     -14.475     809.119     -14.475 

95098681561    809.986     1.536       809.986     1.536   

95098689792    811.819     -20.835     811.819     -20.835 

95098698176    812.803     5.733       812.803     5.733   

95098706536    811.687     -19.782     811.687     -19.782 

95098714929    808.266     12.261      808.266     12.261  

95098723185    813.016     -23.335     813.016     -23.335 

95098731547    809.068     -18.943     809.068     -18.943 

95098739916    812.069     -17.934     812.069     -17.934 

95098748292    804.35      9.652       804.35      9.652   

95098756551    805.288     22.632      805.288     22.632  

95098773308    0           0           0           0       

95098781679    0           0           0           0       

95098789915    0           0           0           0       

95098798291    0           0           0           0       

95098806662    0           0           0           0       

95098815048    0           0           0           0       

95098823320    0           0           0           0       

95098831705    0           0           0           0       

95098840088    0           0           0           0       

95098848455    0           0           0           0       

95098856679    0           0           0           0       

95098865051    0           0           0           0       

95098881797    0           0           0           0       

95098890048    753.811     -18.981     753.811     -18.981 

95098898410    842.888     -78.465     842.888     -78.465 

95098906799    844.28      -52.174     844.28      -52.174 

95098915176    841.336     -37.074     841.336     -37.074 

95098923439    853.214     -42.42      853.214     -42.42  

95098931803    857.371     -37.262     857.371     -37.262 

95098940211    849.64      -33.798     849.64      -33.798 

95098948547    857.193     -31.771     857.193     -31.771 

95098956799    850.657     -26.831     850.657     -26.831 

95098965206    853.742     -19.623     853.742     -19.623 

95098981923    852.683     -9.586      852.683     -9.586  

95098990211    854.557     -17.922     854.557     -17.922 

95098998542    856.078     -10.523     856.078     -10.523 

95099006937    858.757     -5.814      858.757     -5.814  

95099015301    856.176     -3.745      856.176     -3.745  

95099023549    857.264     2.147       857.264     2.147   

95099031925    864.573     5.72        864.573     5.72    

95099040337    860.967     8.111       860.967     8.111   

95099048676    864.646     14.852      864.646     14.852  

95099056919    865.372     17.66       865.372     17.66   

95099065332    862.373     18.519      862.373     18.519  

95099082063    863.859     24.406      863.859     24.406  

95099090312    860.912     27.192      860.912     27.192  

95099098673    869.432     31.181      869.432     31.181  

95099107088    870.783     32.277      870.783     32.277  

95099115422    871.337     37.822      871.337     37.822  

95099123674    865.33      43.253      865.33      43.253  

95099132051    859.185     50.447      859.185     50.447  

95099140436    856.441     50.216      856.441     50.216  

95099148796    857.47      49.98       857.47      49.98   

95099157048    856.775     52.968      856.775     52.968  

95099165424    867.061     46.063      867.061     46.063  

95099182208    863.751     53.909      863.751     53.909  

95099190439    866.909     54.234      866.909     54.234  

95099198796    857.443     57.843      857.443     57.843  

95099207201    863.45      58.658      863.45      58.658  

95099215554    863.599     57.845      863.599     57.845  

95099223793    859.878     58.935      859.878     58.935  

95099232204    856.73      60.243      856.73      60.243  

95099240557    863.994     65.911      863.994     65.911  

95099248927    856.898     63.081      856.898     63.081  

95099257175    853.929     64.933      853.929     64.933  

95099265547    853.137     66.67       853.137     66.67   

95099273919    861.963     67.599      861.963     67.599  

95099282311    858.171     65.363      858.171     65.363  

95099290546    861.141     61.794      861.141     61.794  

95099298938    859.033     63.914      859.033     63.914  

95099307293    853.3       67.974      853.3       67.974  

95099315664    865.957     58.048      865.957     58.048  

95099323928    862.453     59.53       862.453     59.53   

95099332292    862.287     57          862.287     57      

95099340669    854.362     54.528      854.362     54.528  

95099349059    860.103     53.677      860.103     53.677  

95099357340    861.596     52.526      861.596     52.526  

95099365691    864.532     51.551      864.532     51.551  

95099374050    861.557     54.192      861.557     54.192  

95099382326    856.939     54.563      856.939     54.563  

95099390677    863.054     55.06       863.054     55.06   

95099399055    860.879     52.461      860.879     52.461  

95099407428    859.846     56.411      859.846     56.411  

95099415800    864.457     56.913      864.457     56.913  

95099424038    859.486     59.335      859.486     59.335  

95099432426    855.768     61.752      855.768     61.752  

95099440793    863.995     59.951      863.995     59.951  

