timeStamp      action  positionX     positionY     

start time: 94869798300

94870006671    move    835.00        540.00        

94870006770    move    835.00        541.00        

94870014325    move    835.00        543.00        

94870014444    move    835.00        544.00        

94870014623    move    835.00        546.00        

94870014722    move    835.00        547.00        

94870014924    move    835.00        549.00        

94870022830    move    835.00        552.00        

94870022929    move    835.00        553.00        

94870023129    move    835.00        556.00        

94870023229    move    835.00        558.00        

94870023407    move    835.00        550.00        

94870031073    move    835.00        559.00        

94870031180    move    835.00        562.00        

94870031367    move    835.00        564.00        

94870031480    move    836.00        565.00        

94870031668    move    836.00        568.00        

94870031780    move    836.00        570.00        

94870039396    move    836.00        573.00        

94870039508    move    836.00        574.00        

94870039707    move    836.00        576.00        

94870040008    move    836.00        580.00        

94870040108    move    836.00        583.00        

94870047833    move    836.00        586.00        

94870047932    move    837.00        588.00        

94870048133    move    837.00        591.00        

94870048220    move    837.00        592.00        

94870048433    move    837.00        595.00        

94870056076    move    837.00        598.00        

94870056287    move    839.00        600.00        

94870056375    move    839.00        603.00        

94870056586    move    839.00        606.00        

94870056674    move    839.00        609.00        

94870064516    move    840.00        616.00        

94870064703    move    840.00        618.00        

94870064803    move    840.00        621.00        

94870065003    move    842.00        624.00        

94870065103    move    842.00        627.00        

94870065357    move    840.00        613.00        

94870072848    move    842.00        630.00        

94870072934    move    843.00        633.00        

94870073146    move    843.00        636.00        

94870073234    move    843.00        639.00        

94870073448    move    843.00        642.00        

94870081073    move    845.00        643.00        

94870081285    move    845.00        646.00        

94870081372    move    845.00        649.00        

94870081585    move    845.00        652.00        

94870081684    move    846.00        655.00        

94870089436    move    846.00        657.00        

94870089525    move    846.00        660.00        

94870089724    move    846.00        663.00        

94870089824    move    846.00        666.00        

94870090024    move    846.00        669.00        

94870090125    move    848.00        672.00        

94870097854    move    848.00        675.00        

94870097954    move    848.00        678.00        

94870098153    move    848.00        679.00        

94870098253    move    848.00        682.00        

94870098454    move    848.00        685.00        

94870098554    move    848.00        688.00        

94870106186    move    848.00        691.00        

94870106286    move    848.00        694.00        

94870106485    move    848.00        697.00        

94870106585    move    848.00        699.00        

94870106786    move    849.00        702.00        

94870106886    move    849.00        703.00        

94870114458    move    849.00        709.00        

94870114610    move    849.00        712.00        

94870114708    move    849.00        714.00        

94870114910    move    849.00        717.00        

94870115468    move    849.00        706.00        

94870122860    move    849.00        720.00        

94870123047    move    849.00        721.00        

94870123159    move    849.00        724.00        

94870123346    move    849.00        727.00        

94870123448    move    849.00        729.00        

94870131200    move    849.00        732.00        

94870131298    move    849.00        733.00        

94870131498    move    849.00        736.00        

94870131599    move    849.00        739.00        

94870131798    move    849.00        741.00        

94870131899    move    849.00        744.00        

94870139527    move    849.00        745.00        

94870139626    move    849.00        747.00        

94870139825    move    849.00        750.00        

94870139913    move    849.00        751.00        

94870140126    move    849.00        753.00        

94870140226    move    849.00        756.00        

94870147957    move    849.00        757.00        

94870148044    move    849.00        760.00        

94870148257    move    849.00        762.00        

94870148356    move    849.00        765.00        

94870148557    move    849.00        766.00        

94870156274    move    849.00        771.00        

94870156373    move    849.00        772.00        

94870156572    move    849.00        774.00        

94870156672    move    849.00        777.00        

94870157034    move    849.00        768.00        

94870164556    move    849.00        778.00        

94870164652    move    849.00        780.00        

