timeStamp      action  positionX     positionY     

start time: 98486920426

98486987290    move    855.00        529.00        

98486987389    move    855.00        530.00        

98486987590    move    857.00        530.00        

98486995331    move    858.00        532.00        

98486995631    move    861.00        533.00        

98486995830    move    861.00        535.00        

98486995931    move    863.00        536.00        

98487003553    move    864.00        536.00        

98487003663    move    866.00        538.00        

98487003850    move    867.00        539.00        

98487003964    move    869.00        541.00        

98487004151    move    870.00        542.00        

98487004264    move    872.00        544.00        

98487011980    move    873.00        545.00        

98487012093    move    875.00        547.00        

98487012292    move    878.00        548.00        

98487012391    move    879.00        550.00        

98487012592    move    881.00        551.00        

98487012692    move    882.00        553.00        

98487020419    move    884.00        554.00        

98487020618    move    888.00        557.00        

98487020806    move    890.00        559.00        

98487020918    move    893.00        562.00        

98487028722    move    896.00        565.00        

98487028978    move    900.00        569.00        

98487029178    move    902.00        571.00        

98487029279    move    905.00        572.00        

98487029490    move    894.00        563.00        

98487037104    move    908.00        574.00        

98487037201    move    909.00        577.00        

98487037401    move    912.00        578.00        

98487037501    move    915.00        580.00        

98487037703    move    917.00        583.00        

98487037802    move    920.00        584.00        

98487045427    move    923.00        587.00        

98487045512    move    924.00        589.00        

98487045725    move    927.00        592.00        

98487045812    move    930.00        593.00        

98487046026    move    932.00        596.00        

98487053657    move    935.00        598.00        

98487053869    move    936.00        599.00        

98487053955    move    939.00        602.00        

98487054169    move    942.00        604.00        

98487054269    move    944.00        607.00        

98487054469    move    947.00        608.00        

98487054568    move    948.00        611.00        

98487054843    move    951.00        613.00        

98487054869    move    954.00        616.00        

98487055068    move    956.00        617.00        

98487055169    move    959.00        620.00        

98487070333    move    960.00        622.00        

98487070432    move    963.00        625.00        

98487070632    move    965.00        626.00        

98487070732    move    966.00        628.00        

98487070933    move    969.00        631.00        

98487071033    move    971.00        632.00        

98487078723    move    974.00        635.00        

98487078777    move    975.00        637.00        

98487078976    move    977.00        638.00        

98487079076    move    980.00        641.00        

98487079277    move    981.00        643.00        

98487087005    move    983.00        646.00        

98487087201    move    984.00        647.00        

98487087300    move    987.00        649.00        

98487087487    move    989.00        652.00        

98487087600    move    990.00        653.00        

98487087801    move    992.00        655.00        

98487095441    move    993.00        656.00        

98487095627    move    995.00        658.00        

98487095739    move    996.00        659.00        

98487095926    move    998.00        662.00        

98487096027    move    999.00        664.00        

98487103664    move    1001.00       665.00        

98487103761    move    1002.00       667.00        

98487103961    move    1004.00       668.00        

98487104061    move    1005.00       670.00        

98487104262    move    1007.00       673.00        

98487104362    move    1008.00       674.00        

98487112101    move    1010.00       674.00        

98487112188    move    1011.00       676.00        

98487112400    move    1011.00       679.00        

98487112488    move    1013.00       680.00        

98487112701    move    1014.00       682.00        

98487112801    move    1016.00       683.00        

98487120475    move    1017.00       685.00        

98487120526    move    1017.00       686.00        

98487120738    move    1019.00       688.00        

98487120838    move    1020.00       689.00        

98487128784    move    1022.00       691.00        

98487128881    move    1023.00       692.00        

98487129081    move    1023.00       694.00        

98487129180    move    1025.00       695.00        

98487129380    move    1026.00       697.00        

98487129481    move    1028.00       698.00        

98487137103    move    1028.00       700.00        

98487137190    move    1029.00       701.00        

98487137402    move    1029.00       703.00        

98487137489    move    1031.00       704.00        

98487137703    move    1032.00       706.00        

98487137803    move    1034.00       707.00        

98487145529    move    1034.00       709.00        

98487145628    move    1035.00       710.00        

98487145828    move    1037.00       712.00        

98487145928    move    1037.00       713.00        

98487146129    move    1038.00       715.00        

98487153770    move    1040.00       716.00        

98487153969    move    1041.00       718.00        

98487154068    move    1041.00       719.00        

98487154269    move    1043.00       721.00        

98487154368    move    1044.00       722.00        

98487154569    move    1044.00       724.00        

98487154668    move    1046.00       725.00        

98487154948    move    1047.00       727.00        

98487154969    move    1049.00       728.00        

98487155169    move    1050.00       730.00        

98487155268    move    1050.00       731.00        

98487170590    move    1053.00       736.00        

98487170751    move    1055.00       737.00        

98487170850    move    1056.00       739.00        

98487171039    move    1058.00       740.00        

98487171152    move    1058.00       742.00        

98487172223    move    1052.00       734.00        

98487178875    move    1059.00       743.00        

98487178986    move    1061.00       745.00        

98487179173    move    1062.00       746.00        

98487179286    move    1064.00       748.00        

98487179486    move    1065.00       749.00        

98487179587    move    1067.00       751.00        

98487187284    move    1070.00       754.00        

98487187395    move    1071.00       755.00        

98487187595    move    1073.00       757.00        

98487187696    move    1074.00       758.00        

98487187897    move    1076.00       760.00        

98487195545    move    1077.00       761.00        

98487195744    move    1079.00       763.00        

98487195843    move    1080.00       764.00        

98487196043    move    1082.00       767.00        

98487196133    move    1085.00       769.00        

98487203786    move    1086.00       770.00        

98487203872    move    1088.00       772.00        

98487204085    move    1089.00       773.00        

98487204172    move    1092.00       775.00        

98487204385    move    1094.00       778.00        

98487204485    move    1095.00       779.00        

98487212205    move    1098.00       781.00        

98487212304    move    1100.00       782.00        

98487212503    move    1101.00       784.00        

98487212603    move    1104.00       785.00        

98487212804    move    1104.00       787.00        

98487212905    move    1107.00       788.00        

98487220596    move    1109.00       790.00        

98487220659    move    1110.00       791.00        

98487220858    move    1113.00       794.00        

98487220959    move    1115.00       796.00        

98487221159    move    1116.00       797.00        

98487228917    move    1119.00       799.00        

98487229096    move    1121.00       800.00        

98487229283    move    1124.00       802.00        

98487229495    move    1125.00       803.00        

98487229595    move    1127.00       805.00        

98487237204    move    1128.00       806.00        

98487237303    move    1130.00       808.00        

98487237503    move    1133.00       809.00        

98487237804    move    1134.00       811.00        

98487237904    move    1136.00       812.00        

98487245641    move    1137.00       812.00        

98487245740    move    1139.00       814.00        

98487245940    move    1140.00       815.00        

98487246127    move    1142.00       815.00        

98487253884    move    1145.00       817.00        

98487253966    move    1146.00       818.00        

98487254277    move    1148.00       820.00        

98487254478    move    1149.00       820.00        

98487254578    move    1151.00       821.00        

98487254878    move    1152.00       823.00        

98487255080    move    1154.00       823.00        

98487255178    move    1154.00       824.00        

98487255378    move    1155.00       824.00        

98487255479    move    1157.00       824.00        

98487270728    move    1157.00       826.00        

98487270771    move    1158.00       826.00        

98487270970    move    1160.00       827.00        

98487271271    move    1161.00       827.00        

98487278905    move    1161.00       829.00        

98487279090    move    1163.00       829.00        

98487279389    move    1164.00       830.00        

98487287313    move    1166.00       830.00        

98487287512    move    1166.00       832.00        

98487287612    move    1167.00       832.00        

98487295644    move    1169.00       833.00        

98487296053    move    1170.00       833.00        

98487296354    move    1170.00       835.00        

98487304192    move    1172.00       835.00        

98487304792    move    1173.00       835.00        

98487312713    move    1173.00       836.00        

98487320766    move    1175.00       836.00        

98487337433    move    1176.00       838.00        

98487345761    move    1178.00       838.00        

