timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 98934989103
98934989103    826.646     532.274     826.646     532.274 

98934997343    825.691     533.069     825.691     533.069 

98935005730    826.905     534.154     826.905     534.154 

98935014097    827.742     534.635     827.742     534.635 

98935022468    827.74      535.023     827.74      535.023 

98935030720    829.057     535.638     829.057     535.638 

98935039083    830.709     535.956     830.709     535.956 

98935047465    831.631     535.518     831.631     535.518 

98935055836    833.417     534.561     833.417     534.561 

98935064099    833.758     534.746     833.758     534.746 

98935072466    834.209     533.753     834.209     533.753 

98935080839    835.687     533.079     835.687     533.079 

98935089213    838.284     532.958     838.284     532.958 

98935097462    840.868     532.178     840.868     532.178 

98935105840    841.443     531.606     841.443     531.606 

98935114219    842.562     532.006     842.562     532.006 

98935122594    844.862     532.68      844.862     532.68  

98935130843    843.578     533.016     843.578     533.016 

98935139204    845.727     534.587     845.727     534.587 

98935147587    845.399     536.064     845.399     536.064 

98935155967    846.911     538.093     846.911     538.093 

98935164214    849.713     537.491     849.713     537.491 

98935172588    847.521     514.62      847.521     514.62  

98935180962    849.739     360.744     849.739     360.744 

98935189351    846.307     261.252     846.307     261.252 

98935205971    845.551     65.653      845.551     65.653  

98935214351    841.065     57.276      841.065     57.276  

98935222714    842.016     64.758      842.016     64.758  

98935230961    836.969     57.075      836.969     57.075  

98935239345    835.186     55.196      835.186     55.196  

98935247730    835.471     53.49       835.471     53.49   

98935256085    832.676     45.81       832.676     45.81   

98935264345    829.245     43.09       829.245     43.09   

98935272711    826.658     42.95       826.658     42.95   

98935281079    828.579     40.373      828.579     40.373  

98935289461    825.399     38.015      825.399     38.015  

98935297715    825.155     37.746      825.155     37.746  

98935306100    826.166     35.147      826.166     35.147  

98935314464    824.885     31.37       824.885     31.37   

98935322834    825.032     29.957      825.032     29.957  

98935331089    824.237     24.349      824.237     24.349  

98935339451    823.159     20.357      823.159     20.357  

98935347841    823.307     20.677      823.307     20.677  

98935356212    823.219     16.621      823.219     16.621  

98935364463    821.564     14.432      821.564     14.432  

98935372838    821.761     12.994      821.761     12.994  

98935381220    821.555     10.368      821.555     10.368  

98935389578    821.538     6.734       821.538     6.734   

98935397835    821.109     2.223       821.109     2.223   

98935406221    821.231     1.417       821.231     1.417   

98935414585    821.269     0.051       821.269     0.051   

98935422969    822.13      1.104       822.13      1.104   

98935431204    821.322     0.381       821.322     0.381   

98935439581    821.65      0.414       821.65      0.414   

98935447963    821.458     0.79        821.458     0.79    

98935456349    822.821     -2.702      822.821     -2.702  

98935464594    823.291     -6.469      823.291     -6.469  

98935472967    824.357     -7.954      824.357     -7.954  

98935481337    824.828     -10.531     824.828     -10.531 

98935489719    825.712     -15.323     825.712     -15.323 

98935497963    825.584     -14.151     825.584     -14.151 

98935506353    823.209     -17.295     823.209     -17.295 

98935514719    823.729     -20.904     823.729     -20.904 

98935523091    824.58      -22.028     824.58      -22.028 

98935531335    823.419     -23.535     823.419     -23.535 

98935539703    825         -26.142     825         -26.142 

98935548081    824.286     -26.643     824.286     -26.643 

98935556469    821.784     -25.245     821.784     -25.245 

98935564706    819.603     -27.047     819.603     -27.047 

98935573084    819.774     -27.777     819.774     -27.777 

98935581467    817.888     -28.452     817.888     -28.452 

98935589834    816.247     -29.601     816.247     -29.601 

98935598094    815.804     -24.806     815.804     -24.806 

98935606489    818.131     -21.218     818.131     -21.218 

98935614840    818.356     -13.287     818.356     -13.287 

98935623215    820.827     -5.74       820.827     -5.74   

98935631450    823.188     -0.862      823.188     -0.862  

98935639833    828.249     1.813       828.249     1.813   

98935648209    830.351     1.507       830.351     1.507   

98935656591    832.07      0.683       832.07      0.683   

98935664833    836.2       1.276       836.2       1.276   

98935673204    837.833     4.182       837.833     4.182   

98935681572    837.053     4.28        837.053     4.28    

98935689969    838.461     3.69        838.461     3.69    

98935698204    837.294     -2.193      837.294     -2.193  

98935706597    835.785     -5.552      835.785     -5.552  

98935714963    833.882     -9.658      833.882     -9.658  

98935723335    834.248     -14.35      834.248     -14.35  

98935731592    832.5       -17.146     832.5       -17.146 

98935739955    833.681     -19.363     833.681     -19.363 

98935748329    834.303     -22.116     834.303     -22.116 

98935756711    832.672     -26.133     832.672     -26.133 

98935765075    830.764     -28.528     830.764     -28.528 

98935773333    831.36      -31.116     831.36      -31.116 

98935781700    830.719     -32.22      830.719     -32.22  

98935790079    831.128     -33.625     831.128     -33.625 

98935798327    831.504     -34.936     831.504     -34.936 

98935806722    832.426     -34.324     832.426     -34.324 

98935815079    834.178     -34.349     834.178     -34.349 

98935823465    833.673     -34.772     833.673     -34.772 

98935831828    834.891     -36.37      834.891     -36.37  

98935840091    833.867     -36.94      833.867     -36.94  

98935848446    833.222     -37.077     833.222     -37.077 

98935856825    832.862     -36.851     832.862     -36.851 

98935865212    831.193     -36.291     831.193     -36.291 

