timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 14543430455
14543430455    850.13      473.993     850.13      473.993 

14543438829    850.216     473.943     850.216     473.943 

14543447141    849.558     471.849     849.558     471.849 

14543455524    851.168     469.695     851.168     469.695 

14543463763    850.834     465.759     850.834     465.759 

14543472148    853.871     459.727     853.871     459.727 

14543480521    857.268     456.877     857.268     456.877 

14543488920    858.404     453.605     858.404     453.605 

14543497193    859.495     454.729     859.495     454.729 

14543505523    862.609     454.13      862.609     454.13  

14543513879    861.441     453.052     861.441     453.052 

14543522307    857.57      454.177     857.57      454.177 

14543530557    857.652     459.086     857.652     459.086 

14543538871    852.987     456.695     852.987     456.695 

14543547396    855.286     451.603     855.286     451.603 

14543555539    860.785     454.445     860.785     454.445 

14543563925    859.351     456.752     859.351     456.752 

14543572302    854.007     460.049     854.007     460.049 

14543580744    855.045     462.04      855.045     462.04  

14543588981    859.443     365.544     859.443     365.544 

14543597303    854.419     206.496     854.419     206.496 

14543605672    848.649     142.993     848.649     142.993 

14543614044    854.043     88.465      854.043     88.465  

14543622368    853.789     70.44       853.789     70.44   

14543639074    853.759     62.325      853.759     62.325  

14543647422    850.446     58.94       850.446     58.94   

14543655669    848.097     60.053      848.097     60.053  

14543664080    849.574     58.31       849.574     58.31   

14543672528    846.597     59.35       846.597     59.35   

14543680672    846.014     60.728      846.014     60.728  

14543689091    845.591     61.448      845.591     61.448  

14543697383    850.66      58.683      850.66      58.683  

14543705831    843.378     57.215      843.378     57.215  

14543714161    843.425     54.737      843.425     54.737  

14543722392    846.421     54.309      846.421     54.309  

14543730788    847.032     54.902      847.032     54.902  

14543739171    853.773     52.929      853.773     52.929  

14543747356    843.223     50.516      843.223     50.516  

14543755768    844.967     52.366      844.967     52.366  

14543764262    844.848     52.432      844.848     52.432  

14543772572    854.422     49.793      854.422     49.793  

14543780804    843.796     46.59       843.796     46.59   

14543789240    841.134     48.431      841.134     48.431  

14543797589    843.181     49.092      843.181     49.092  

14543805833    844.07      50.632      844.07      50.632  

14543814227    857.749     47.287      857.749     47.287  

14543822546    834.837     47.155      834.837     47.155  

14543830910    838.083     47.806      838.083     47.806  

14543839257    839.195     47.021      839.195     47.021  

14543847500    837.461     47.354      837.461     47.354  

14543855994    839.398     47.502      839.398     47.502  

14543864356    862.001     43.282      862.001     43.282  

14543872581    882.031     20.2        882.031     20.2    

14543880964    880.728     12.165      880.728     12.165  

14543889338    880.551     -5.302      880.551     -5.302  

14543897599    886.362     -12.667     886.362     -12.667 

14543905940    880.944     -12.801     880.944     -12.801 

14543914363    864.811     -15.036     864.811     -15.036 

14543922737    869.76      -18.461     869.76      -18.461 

14543930959    869.935     -22.32      869.935     -22.32  

14543939426    885.465     -24.431     885.465     -24.431 

14543947757    890.674     -24.41      890.674     -24.41  

14543956130    879.93      -26.51      879.93      -26.51  

14543964310    883.69      -27.871     883.69      -27.871 

14543972660    878.076     -28.218     878.076     -28.218 

14543981121    879.829     -28.103     879.829     -28.103 

14543989456    876.031     -25.01      876.031     -25.01  

14543997698    866.578     -23.193     866.578     -23.193 

14544006071    871.317     -19.747     871.317     -19.747 

14544014430    873.059     -15.086     873.059     -15.086 

14544022705    874.821     -10.146     874.821     -10.146 

14544031078    870.06      -7.688      870.06      -7.688  

14544039476    868.773     0.796       868.773     0.796   

14544047869    869.115     2.389       869.115     2.389   

14544056020    865.301     5.479       865.301     5.479   

14544064477    866.334     5.155       866.334     5.155   

14544072889    864.154     4.18        864.154     4.18    

14544081269    866.269     1.386       866.269     1.386   

14544089453    869.723     -4.269      869.723     -4.269  

14544097831    870.777     24.541      870.777     24.541  

14544106230    866.115     25.761      866.115     25.761  

14544114610    865.755     31.416      865.755     31.416  

14544122820    865.581     46.537      865.581     46.537  

14544131218    863.051     34.559      863.051     34.559  

14544139581    860.96      34.244      860.96      34.244  

14544147834    864.801     29.383      864.801     29.383  

