timeStamp      action  positionX     positionY     

start time: 14284613222

14284646383    move    855.00        536.00        

14284646482    move    855.00        538.00        

14284646683    move    856.00        538.00        

14284646788    move    856.00        539.00        

14284654385    move    858.00        541.00        

14284654690    move    859.00        541.00        

14284654789    move    859.00        542.00        

14284654888    move    861.00        542.00        

14284654985    move    861.00        544.00        

14284655093    move    862.00        544.00        

14284655178    move    864.00        545.00        

14284662897    move    865.00        547.00        

14284663087    move    867.00        548.00        

14284663186    move    868.00        550.00        

14284663366    move    870.00        551.00        

14284663495    move    871.00        551.00        

14284671143    move    873.00        553.00        

14284671243    move    874.00        554.00        

14284671448    move    876.00        556.00        

14284671548    move    877.00        557.00        

14284671649    move    879.00        557.00        

14284671755    move    880.00        559.00        

14284671846    move    882.00        560.00        

14284679350    move    883.00        560.00        

14284679449    move    885.00        562.00        

14284679648    move    886.00        563.00        

14284679753    move    888.00        563.00        

14284679839    move    889.00        565.00        

14284679946    move    891.00        566.00        

14284680040    move    892.00        568.00        

14284680146    move    894.00        568.00        

14284687876    move    895.00        569.00        

14284687974    move    897.00        569.00        

14284688069    move    898.00        571.00        

14284688156    move    900.00        572.00        

14284688270    move    903.00        574.00        

14284688373    move    904.00        574.00        

14284688457    move    906.00        575.00        

14284688571    move    907.00        577.00        

14284696202    move    909.00        578.00        

14284696305    move    912.00        580.00        

14284696405    move    913.00        580.00        

14284696505    move    915.00        581.00        

14284696604    move    916.00        583.00        

14284696704    move    919.00        584.00        

14284696804    move    921.00        586.00        

14284696899    move    922.00        586.00        

14284704630    move    924.00        587.00        

14284704648    move    927.00        589.00        

14284704746    move    928.00        590.00        

14284704853    move    930.00        592.00        

14284704938    move    933.00        593.00        

14284705052    move    934.00        595.00        

14284705145    move    936.00        596.00        

14284705290    move    937.00        596.00        

14284712873    move    940.00        598.00        

14284712969    move    942.00        599.00        

14284713067    move    943.00        601.00        

14284713176    move    945.00        602.00        

14284713271    move    948.00        604.00        

14284713377    move    949.00        605.00        

14284713462    move    951.00        607.00        

14284713574    move    952.00        608.00        

14284721189    move    955.00        608.00        

14284721363    move    958.00        611.00        

14284721465    move    960.00        613.00        

14284721563    move    961.00        614.00        

14284721658    move    963.00        616.00        

14284721758    move    964.00        616.00        

14284721854    move    966.00        617.00        

14284722054    move    967.00        619.00        

14284729506    move    969.00        620.00        

14284729677    move    972.00        622.00        

14284729714    move    973.00        623.00        

14284729800    move    975.00        625.00        

14284729953    move    976.00        626.00        

14284730005    move    978.00        628.00        

14284730108    move    979.00        628.00        

14284737977    move    981.00        629.00        

14284738071    move    982.00        631.00        

14284738163    move    984.00        632.00        

14284738268    move    985.00        634.00        

14284738371    move    987.00        635.00        

14284738464    move    988.00        637.00        

14284738662    move    990.00        638.00        

14284746180    move    991.00        640.00        

14284746268    move    993.00        641.00        

14284746379    move    994.00        643.00        

14284746483    move    996.00        643.00        

14284746583    move    997.00        644.00        

14284746703    move    999.00        646.00        

14284746781    move    999.00        647.00        

14284746877    move    1000.00       649.00        

14284754525    move    1002.00       650.00        

14284754616    move    1003.00       652.00        

14284754729    move    1005.00       652.00        

14284754826    move    1005.00       653.00        

14284754914    move    1006.00       655.00        

14284755022    move    1008.00       656.00        

14284755123    move    1009.00       658.00        

14284755229    move    1009.00       659.00        

14284763050    move    1011.00       661.00        

14284763149    move    1012.00       662.00        

14284763253    move    1014.00       664.00        

14284763452    move    1015.00       665.00        

14284763564    move    1017.00       667.00        

14284763648    move    1018.00       668.00        

14284763757    move    1018.00       670.00        

