timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 3091504587
3091504587     837.12      526.596     837.12      526.596 

3091513093     835.864     524.277     835.864     524.277 

3091521428     833.471     526.046     833.471     526.046 

3091529627     831.312     524.774     831.312     524.774 

3091538017     830.411     525.154     830.411     525.154 

3091546466     832.521     527.808     832.521     527.808 

3091554784     832.566     528.9       832.566     528.9   

3091562986     827.87      529.629     827.87      529.629 

3091571397     831.835     530.531     831.835     530.531 

3091579828     836.89      532.07      836.89      532.07  

3091588059     837.553     532.731     837.553     532.731 

3091596373     833.084     531.802     833.084     531.802 

3091604856     829.876     529.577     829.876     529.577 

3091613136     830.404     529.577     830.404     529.577 

3091621387     834.694     528.956     834.694     528.956 

3091629758     834.834     529.231     834.834     529.231 

3091638152     835.057     527.818     835.057     527.818 

3091646582     837.741     528.615     837.741     528.615 

3091654756     836.372     529.173     836.372     529.173 

3091671572     836.406     529.195     836.406     529.195 

3091679973     832.259     530.94      832.259     530.94  

3091688115     805.602     581.819     805.602     581.819 

3091696556     609.09      689.963     609.09      689.963 

3091704862     549.172     767.729     549.172     767.729 

3091713144     482.439     848.238     482.439     848.238 

3091721539     479.08      874.304     479.08      874.304 

3091729963     480.986     869.12      480.986     869.12  

3091738168     481.665     872.222     481.665     872.222 

3091746595     478.05      873.439     478.05      873.439 

3091754901     479.583     874.893     479.583     874.893 

3091771699     479.317     876.431     479.317     876.431 

3091779949     478.787     876.184     478.787     876.184 

3091788164     478.386     876.423     478.386     876.423 

3091796687     475.497     877.502     475.497     877.502 

3091804980     474.765     879.05      474.765     879.05  

3091813227     474.206     879.296     474.206     879.296 

3091821609     479.484     882.646     479.484     882.646 

3091830050     485.242     884.096     485.242     884.096 

3091838342     489.47      886.4       489.47      886.4   

3091846615     475.936     886.928     475.936     886.928 

3091855015     474.966     886.693     474.966     886.693 

3091863361     474.801     886.762     474.801     886.762 

3091871595     475.97      887.411     475.97      887.411 

3091880108     474.971     887.533     474.971     887.533 

3091888426     477.573     887.981     477.573     887.981 

3091896784     478.283     886.626     478.283     886.626 

3091905056     478.619     887.394     478.619     887.394 

3091913395     477.171     885.459     477.171     885.459 

3091921747     477.017     885.467     477.017     885.467 

3091929992     475.196     883.823     475.196     883.823 

3091938373     476.733     883.307     476.733     883.307 

3091946759     477.97      880.31      477.97      880.31  

3091955164     479.255     879.64      479.255     879.64  

3091963362     479.727     878.705     479.727     878.705 

3091971752     481.022     876.751     481.022     876.751 

3091980129     482.482     873.264     482.482     873.264 

3091988550     483.107     872.578     483.107     872.578 

3091996763     484.178     871.346     484.178     871.346 

3092005137     485.448     869.733     485.448     869.733 

3092013479     486.085     868.782     486.085     868.782 

3092021906     486.617     867.315     486.617     867.315 

3092030091     487.682     865.943     487.682     865.943 

3092038457     486.409     866.618     486.409     866.618 

3092047041     486.071     866.419     486.071     866.419 

3092055209     484.629     866.093     484.629     866.093 

3092063466     483.138     866.08      483.138     866.08  

3092080288     480.947     867.434     480.947     867.434 

3092088522     479.778     867.54      479.778     867.54  

3092097026     480.86      867.144     480.86      867.144 

3092105207     480.6       866.112     480.6       866.112 

3092113660     480.711     866.787     480.711     866.787 

3092121865     481.159     866.997     481.159     866.997 

