timeStamp      action  positionX     positionY     

start time: 2587019431

2587235883     move    849.00        508.00        

2587236195     move    849.00        507.00        

2587236294     move    849.00        505.00        

2587243914     move    849.00        504.00        

2587244010     move    849.00        502.00        

2587244210     move    849.00        501.00        

2587244311     move    849.00        499.00        

2587244411     move    849.00        498.00        

2587244510     move    849.00        496.00        

2587244613     move    849.00        495.00        

2587244711     move    849.00        493.00        

2587252442     move    849.00        489.00        

2587252540     move    849.00        487.00        

2587252640     move    849.00        486.00        

2587252741     move    849.00        484.00        

2587252841     move    849.00        483.00        

2587252941     move    849.00        481.00        

2587253199     move    849.00        492.00        

2587260685     move    849.00        478.00        

2587260785     move    849.00        477.00        

2587260872     move    849.00        475.00        

2587261085     move    849.00        474.00        

2587261186     move    849.00        471.00        

2587261286     move    848.00        469.00        

2587261385     move    848.00        466.00        

2587268937     move    848.00        465.00        

2587269028     move    847.00        462.00        

2587269128     move    847.00        460.00        

2587269328     move    845.00        456.00        

2587269428     move    845.00        453.00        

2587269528     move    844.00        450.00        

2587269627     move    844.00        448.00        

2587269728     move    842.00        445.00        

2587277343     move    842.00        442.00        

2587277442     move    841.00        441.00        

2587277542     move    839.00        438.00        

2587277646     move    839.00        435.00        

2587277743     move    838.00        433.00        

2587277844     move    836.00        430.00        

2587277943     move    835.00        427.00        

2587278044     move    835.00        424.00        

2587285697     move    833.00        421.00        

2587285796     move    832.00        418.00        

2587285997     move    830.00        417.00        

2587286097     move    829.00        414.00        

2587286196     move    827.00        411.00        

2587286296     move    826.00        408.00        

2587286396     move    824.00        405.00        

2587286496     move    823.00        402.00        

2587286595     move    821.00        399.00        

2587294026     move    817.00        394.00        

2587294125     move    815.00        391.00        

2587294222     move    812.00        385.00        

2587294321     move    809.00        381.00        

2587294421     move    805.00        376.00        

2587294521     move    802.00        372.00        

2587295079     move    820.00        397.00        

2587302465     move    799.00        367.00        

2587302564     move    794.00        364.00        

2587302665     move    791.00        358.00        

2587302751     move    788.00        355.00        

2587302864     move    784.00        351.00        

2587302964     move    781.00        348.00        

2587303063     move    776.00        343.00        

2587303164     move    773.00        340.00        

2587310716     move    769.00        336.00        

2587310815     move    766.00        333.00        

2587311017     move    763.00        330.00        

2587311117     move    758.00        327.00        

2587311216     move    755.00        324.00        

2587311316     move    752.00        321.00        

2587311416     move    748.00        318.00        

2587319029     move    745.00        316.00        

2587319126     move    742.00        313.00        

2587319227     move    739.00        312.00        

2587319326     move    736.00        309.00        

2587319427     move    733.00        306.00        

2587319526     move    728.00        304.00        

2587319626     move    725.00        301.00        

2587319728     move    722.00        300.00        

2587319827     move    719.00        297.00        

2587327465     move    715.00        295.00        

2587327564     move    712.00        292.00        

2587327665     move    707.00        291.00        

2587327752     move    704.00        288.00        

2587327865     move    701.00        286.00        

2587327965     move    698.00        285.00        

2587328064     move    694.00        282.00        

2587328165     move    691.00        280.00        

2587335718     move    686.00        277.00        

2587335918     move    683.00        276.00        

2587336017     move    680.00        273.00        

2587336119     move    677.00        271.00        

2587336218     move    673.00        270.00        

2587336317     move    670.00        267.00        

2587336419     move    667.00        265.00        

2587344012     move    659.00        261.00        

2587344113     move    658.00        259.00        

2587344210     move    653.00        258.00        

2587344311     move    652.00        256.00        

2587344410     move    647.00        253.00        

2587344509     move    646.00        252.00        

2587344609     move    643.00        250.00        

2587344711     move    640.00        249.00        

2587344870     move    664.00        264.00        

2587352463     move    637.00        246.00        

2587352563     move    634.00        244.00        

2587352662     move    631.00        243.00        

2587352750     move    629.00        241.00        

2587352865     move    626.00        240.00        

2587352963     move    625.00        238.00        

2587353052     move    622.00        237.00        

2587353163     move    619.00        235.00        

2587360898     move    617.00        234.00        

2587360997     move    614.00        232.00        

2587361098     move    613.00        231.00        

2587361199     move    610.00        229.00        

2587361298     move    608.00        228.00        

2587361398     move    605.00        226.00        

2587361499     move    604.00        226.00        

2587369030     move    602.00        225.00        

2587369127     move    599.00        223.00        

2587369227     move    598.00        222.00        

2587369327     move    596.00        222.00        

2587369428     move    595.00        220.00        

2587369527     move    593.00        219.00        

2587369627     move    592.00        217.00        

2587369829     move    587.00        216.00        

2587377563     move    586.00        214.00        

2587377664     move    584.00        213.00        

2587377750     move    583.00        213.00        

2587377864     move    581.00        213.00        

2587377962     move    581.00        211.00        

2587378052     move    580.00        211.00        

2587378164     move    578.00        210.00        

2587385868     move    577.00        210.00        

2587385981     move    575.00        208.00        

2587386179     move    574.00        208.00        

2587386279     move    574.00        207.00        

2587386481     move    572.00        207.00        

2587386830     move    571.00        205.00        

2587387284     move    569.00        205.00        

