timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 686554067972
686554067972   854.047     535.335     854.047     535.335 

686554076345   853.71      536.717     853.71      536.717 

686554084714   850.194     537.629     850.194     537.629 

686554093131   848.975     540.126     848.975     540.126 

686554101488   848.96      537.01      848.96      537.01  

686554109726   847.287     539.323     847.287     539.323 

686554118085   848.2       539.602     848.2       539.602 

686554126469   845.977     542.084     845.977     542.084 

686554134732   845.686     542.297     845.686     542.297 

686554143093   846.269     541.779     846.269     541.779 

686554151472   847.084     542.299     847.084     542.299 

686554159837   847.453     541.647     847.453     541.647 

686554168217   848.297     540.756     848.297     540.756 

686554176475   849.533     540.445     849.533     540.445 

686554193239   851.701     537.187     851.701     537.187 

686554201469   853.235     536.381     853.235     536.381 

686554209837   853.475     536.92      853.475     536.92  

686554218232   853.386     535.094     853.386     535.094 

686554226625   856.387     533.564     856.387     533.564 

686554234974   869.874     533.527     869.874     533.527 

686554243210   1017.592    533.671     1017.592    533.671 

686554251600   1099.292    531.486     1099.292    531.486 

686554259963   1210.213    529.059     1210.213    529.059 

686554268353   1309.334    518.025     1309.334    518.025 

686554276593   1306.908    520.655     1306.908    520.655 

686554284956   1302.83     520.953     1302.83     520.953 

686554293335   1305.111    521.664     1305.111    521.664 

686554301716   1304.078    521.319     1304.078    521.319 

686554309978   1302.294    521.826     1302.294    521.826 

686554318346   1301.747    521.255     1301.747    521.255 

686554326718   1300.447    522.344     1300.447    522.344 

686554335092   1301.638    524.156     1301.638    524.156 

686554343336   1300.033    523.948     1300.033    523.948 

686554351721   1297.611    524.062     1297.611    524.062 

686554360097   1296.717    524.705     1296.717    524.705 

686554368470   1296.874    524.98      1296.874    524.98  

686554376715   1296.479    524.581     1296.479    524.581 

686554385092   1297.042    522.219     1297.042    522.219 

686554393469   1294.287    520.69      1294.287    520.69  

686554401851   1295.39     519.381     1295.39     519.381 

686554410090   1294.568    517.569     1294.568    517.569 

686554418473   1294.843    516.18      1294.843    516.18  

686554426839   1294.543    515.582     1294.543    515.582 

686554435216   1294.763    514.797     1294.763    514.797 

686554443470   1295.914    514.046     1295.914    514.046 

686554451850   1297.205    515.204     1297.205    515.204 

686554460219   1297.855    519.313     1297.855    519.313 

686554468591   1299.129    518.843     1299.129    518.843 

686554476836   1297.29     519.372     1297.29     519.372 

686554485211   1298.044    520.522     1298.044    520.522 

686554493599   1298.946    519.97      1298.946    519.97  

686554501969   1298.3      518.373     1298.3      518.373 

686554510212   1300.64     516.784     1300.64     516.784 

686554518585   1302.181    516.752     1302.181    516.752 

686554526961   1302.336    515.087     1302.336    515.087 

686554535348   1302.23     516.174     1302.23     516.174 

686554543589   1303.014    515.795     1303.014    515.795 

686554551961   1302.846    513.956     1302.846    513.956 

686554560337   1302.68     514.474     1302.68     514.474 

686554568714   1303.711    515.118     1303.711    515.118 

686554576971   1304.579    516.385     1304.579    516.385 

686554585344   1305.012    516.882     1305.012    516.882 

686554593711   1306.663    519.413     1306.663    519.413 

686554602088   1306.569    522.043     1306.569    522.043 

686554610340   1306.675    523.581     1306.675    523.581 

686554618709   1306.942    523.191     1306.942    523.191 

686554627094   1307.47     523.006     1307.47     523.006 

686554635468   1307.997    523.523     1307.997    523.523 

686554643719   1307.691    524.578     1307.691    524.578 

686554652081   1307.02     523.149     1307.02     523.149 

686554660456   1305.767    522.409     1305.767    522.409 

686554668845   1305.439    524.335     1305.439    524.335 

686554677084   1306.104    526.788     1306.104    526.788 

686554685466   1307.02     526.712     1307.02     526.712 

686554693845   1306.131    527.589     1306.131    527.589 

686554702219   1305.327    525.385     1305.327    525.385 

686554710477   1305.682    528.624     1305.682    528.624 

686554718838   1306.354    531.306     1306.354    531.306 

686554727208   1307.73     531.8       1307.73     531.8   

686554735587   1307.559    532.128     1307.559    532.128 

686554743840   1310.227    530.568     1310.227    530.568 

686554752212   1311.037    534.935     1311.037    534.935 

686554760595   1313.106    534.202     1313.106    534.202 

686554768964   1312.297    534.217     1312.297    534.217 

686554777212   1311.919    534.279     1311.919    534.279 

686554793958   1313.411    537.411     1313.411    537.411 

686554802348   1315.371    538.4       1315.371    538.4   

686554810592   1313.417    538.461     1313.417    538.461 

686554818960   1311.733    542.094     1311.733    542.094 

686554827336   1312.252    542.802     1312.252    542.802 

686554835705   1308.959    541.447     1308.959    541.447 

686554843968   1310.92     540.404     1310.92     540.404 

686554852339   1312.788    537.706     1312.788    537.706 

686554860701   1311.008    536.094     1311.008    536.094 

686554869085   1312.077    535.628     1312.077    535.628 

686554877333   1310.986    535.477     1310.986    535.477 

686554894089   1311.891    535.762     1311.891    535.762 

686554902470   1309.924    537.074     1309.924    537.074 

686554910710   1309.572    534.727     1309.572    534.727 

686554919083   1308.985    533.338     1308.985    533.338 

686554927459   1308.569    533.648     1308.569    533.648 

686554935833   1307.524    532.19      1307.524    532.19  

686554944091   1306.768    536.364     1306.768    536.364 

686554952471   1306.181    537.883     1306.181    537.883 

686554960832   1305.69     537.345     1305.69     537.345 

686554969210   1305.4      536.622     1305.4      536.622 

686554977457   1306.199    537.5       1306.199    537.5   

686554994214   1303.499    539.32      1303.499    539.32  

686555002594   1304.675    540.436     1304.675    540.436 

686555010826   1306.049    543.872     1306.049    543.872 

686555019208   1309.263    545.071     1309.263    545.071 

686555027583   1311.217    546.264     1311.217    546.264 

686555035954   1308.343    547.27      1308.343    547.27  

686555044221   1308.016    547.119     1308.016    547.119 

686555052583   1306.732    546.103     1306.732    546.103 

686555060951   1309.539    546.517     1309.539    546.517 

686555069333   1308.224    546.129     1308.224    546.129 

686555077578   1308.187    541.924     1308.187    541.924 

