timeStamp      action  positionX     positionY     

start time: 686493409308

686493500778   move    855.00        513.00        

686493500976   move    856.00        512.00        

686493501075   move    857.00        510.00        

686493501275   move    858.00        509.00        

686493501375   move    859.00        508.00        

686493501576   move    860.00        507.00        

686493509114   move    861.00        505.00        

686493509313   move    862.00        504.00        

686493509411   move    864.00        502.00        

686493509611   move    865.00        500.00        

686493509713   move    866.00        499.00        

686493517431   move    868.00        497.00        

686493517530   move    869.00        495.00        

686493517729   move    871.00        493.00        

686493517829   move    873.00        491.00        

686493518018   move    874.00        489.00        

686493518131   move    878.00        486.00        

686493525869   move    881.00        482.00        

686493525970   move    884.00        479.00        

686493526169   move    887.00        476.00        

686493526267   move    889.00        473.00        

686493526467   move    892.00        469.00        

686493526566   move    895.00        466.00        

686493534308   move    899.00        463.00        

686493534420   move    901.00        460.00        

686493534607   move    904.00        457.00        

686493534720   move    907.00        454.00        

686493542550   move    912.00        449.00        

686493542649   move    914.00        446.00        

686493542849   move    917.00        443.00        

686493542949   move    919.00        440.00        

686493543137   move    922.00        438.00        

686493543251   move    924.00        435.00        

686493543450   move    927.00        432.00        

686493543551   move    929.00        429.00        

686493543739   move    931.00        427.00        

686493543839   move    934.00        423.00        

686493544050   move    937.00        421.00        

686493544150   move    939.00        418.00        

686493559243   move    942.00        415.00        

686493559329   move    945.00        412.00        

686493559516   move    947.00        409.00        

686493559628   move    950.00        406.00        

686493559831   move    953.00        403.00        

686493567554   move    956.00        400.00        

686493567754   move    959.00        397.00        

686493567853   move    961.00        395.00        

686493568053   move    964.00        392.00        

686493568153   move    967.00        389.00        

686493575881   move    970.00        386.00        

686493575963   move    973.00        383.00        

686493576175   move    976.00        380.00        

686493576262   move    979.00        378.00        

686493576475   move    981.00        375.00        

686493576575   move    984.00        373.00        

686493584197   move    987.00        370.00        

686493584285   move    989.00        367.00        

686493584498   move    993.00        364.00        

686493584597   move    995.00        362.00        

686493584798   move    998.00        360.00        

686493584897   move    1000.00       357.00        

686493592641   move    1003.00       355.00        

686493592741   move    1005.00       353.00        

686493592940   move    1008.00       350.00        

686493593040   move    1011.00       347.00        

686493593242   move    1013.00       345.00        

686493601000   move    1018.00       341.00        

686493601098   move    1020.00       338.00        

686493601298   move    1022.00       336.00        

686493601398   move    1025.00       334.00        

686493601600   move    1027.00       332.00        

686493601713   move    1016.00       343.00        

686493609319   move    1029.00       330.00        

686493609519   move    1031.00       328.00        

686493609618   move    1032.00       326.00        

686493609818   move    1034.00       324.00        

686493609920   move    1036.00       322.00        

686493617548   move    1038.00       320.00        

686493617647   move    1040.00       318.00        

686493617834   move    1042.00       316.00        

686493617947   move    1043.00       314.00        

686493618134   move    1045.00       313.00        

686493618249   move    1047.00       311.00        

686493625979   move    1048.00       309.00        

686493626078   move    1050.00       306.00        

686493626279   move    1052.00       304.00        

686493626390   move    1054.00       302.00        

686493626590   move    1056.00       300.00        

686493626691   move    1057.00       298.00        

686493634422   move    1059.00       296.00        

686493634521   move    1060.00       294.00        

686493634721   move    1062.00       292.00        

686493634821   move    1063.00       290.00        

686493635023   move    1064.00       289.00        

686493642762   move    1067.00       285.00        

686493643060   move    1069.00       282.00        

686493643148   move    1070.00       280.00        

686493643360   move    1071.00       278.00        

686493643447   move    1072.00       277.00        

686493643481   move    1066.00       287.00        

686493650898   move    1073.00       275.00        

686493651090   move    1074.00       274.00        

686493651189   move    1075.00       272.00        

686493651390   move    1076.00       270.00        

686493659319   move    1077.00       269.00        

686493659418   move    1078.00       267.00        

686493659619   move    1079.00       265.00        

