timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 71465115258
71465115258    847.957     520.643     847.957     520.643 

71465123498    845.575     521.438     845.575     521.438 

71465131879    844.355     521.683     844.355     521.683 

71465140255    845.04      522.531     845.04      522.531 

71465148634    848.224     523.398     848.224     523.398 

71465156873    850.742     522.358     850.742     522.358 

71465165241    850.456     520.775     850.456     520.775 

71465173628    849.743     520.59      849.743     520.59  

71465182005    849.329     520.109     849.329     520.109 

71465190260    850.175     520.42      850.175     520.42  

71465198619    850.775     520.157     850.775     520.157 

71465206999    851.366     518.9       851.366     518.9   

71465215368    850.319     518.766     850.319     518.766 

71465223625    851.481     518.716     851.481     518.716 

71465232000    852.486     517.959     852.486     517.959 

71465240378    852.388     518.3       852.388     518.3   

71465248752    741.523     412.453     741.523     412.453 

71465256997    664.947     325.418     664.947     325.418 

71465265372    589.686     254.072     589.686     254.072 

71465273755    525.984     201.725     525.984     201.725 

71465282146    524.237     206.23      524.237     206.23  

71465290372    518.207     201.593     518.207     201.593 

71465298741    509.694     183.165     509.694     183.165 

71465307125    508.946     181.324     508.946     181.324 

71465315490    511.036     182.542     511.036     182.542 

71465323754    510.089     179.652     510.089     179.652 

71465332136    509.586     180.06      509.586     180.06  

71465340553    509.758     180.803     509.758     180.803 

71465348873    508.492     179.055     508.492     179.055 

71465357123    509.577     178.363     509.577     178.363 

71465365490    508.906     176.834     508.906     176.834 

71465373894    510.202     175.309     510.202     175.309 

71465382263    509.496     173.805     509.496     173.805 

71465390500    510.883     175.09      510.883     175.09  

71465398871    512.093     176.342     512.093     176.342 

71465407243    509.873     175.613     509.873     175.613 

71465415666    510.863     175.104     510.863     175.104 

71465423866    509.288     175.381     509.288     175.381 

71465432254    508.64      177.426     508.64      177.426 

71465440647    509.066     178.516     509.066     178.516 

71465448994    508.568     179.053     508.568     179.053 

71465457256    508.617     180.261     508.617     180.261 

71465465660    506.741     180.195     506.741     180.195 

71465474012    506.919     181.542     506.919     181.542 

71465482377    507.27      182.894     507.27      182.894 

71465490619    505.942     178.425     505.942     178.425 

71465498996    505.735     177.335     505.735     177.335 

71465507374    506.281     180.361     506.281     180.361 

71465515753    506.363     174.129     506.363     174.129 

71465523997    505.846     169.467     505.846     169.467 

71465532370    501.278     170.994     501.278     170.994 

71465540739    500.838     167.742     500.838     167.742 

71465549137    500.951     166.903     500.951     166.903 

71465557370    501.021     166.24      501.021     166.24  

71465574130    499.58      162.171     499.58      162.171 

71465582531    498.692     159.807     498.692     159.807 

71465590761    498.291     156.981     498.291     156.981 

71465599132    495.633     156.155     495.633     156.155 

71465607490    494.83      154.922     494.83      154.922 

71465615866    494.816     156.964     494.816     156.964 

71465624122    496.838     155.001     496.838     155.001 

71465632495    495.826     151.656     495.826     151.656 

71465640883    495.684     150.738     495.684     150.738 

71465649249    493.111     149.966     493.111     149.966 

71465657496    488.73      149.029     488.73      149.029 

71465665863    490.188     149.224     490.188     149.224 

71465674252    490.077     148.988     490.077     148.988 

71465682669    489.408     149.564     489.408     149.564 

71465690866    490.842     147.258     490.842     147.258 

71465699251    491.463     147.136     491.463     147.136 

71465707649    492.108     145.978     492.108     145.978 

71465715991    493.93      147.548     493.93      147.548 

71465724268    494.259     148.267     494.259     148.267 

71465732629    496.984     147.901     496.984     147.901 

71465740994    496.108     148.08      496.108     148.08  

71465749372    498.232     146.543     498.232     146.543 

71465757647    498.959     145.226     498.959     145.226 

71465765995    499.186     144.879     499.186     144.879 

71465774392    500.247     144.898     500.247     144.898 

71465782754    496.666     147.786     496.666     147.786 

71465790990    495.449     148.667     495.449     148.667 

71465799372    494.285     147.891     494.285     147.891 

71465807733    488.813     147.722     488.813     147.722 

71465816137    490.434     148.06      490.434     148.06  

71465824373    488.513     148.975     488.513     148.975 

71465832745    490.832     148.993     490.832     148.993 

71465841112    489.918     151.178     489.918     151.178 

71465849495    490.52      151.582     490.52      151.582 

71465857774    489.707     153.139     489.707     153.139 

71465874496    489.581     153.015     489.581     153.015 

71465882880    489.01      152.984     489.01      152.984 

71465891117    482.321     153.882     482.321     153.882 

71465899497    484.343     154.936     484.343     154.936 

71465907873    484.156     154.619     484.156     154.619 

71465916243    486.896     156.516     486.896     156.516 

