timeStamp      action  positionX     positionY     

start time: 71780689624

71780689629    move    829.00        505.00        

71780722882    move    829.00        504.00        

71780731085    move    829.00        502.00        

71780739350    move    829.00        501.00        

71780739749    move    829.00        499.00        

71780747507    move    828.00        499.00        

71780747606    move    828.00        498.00        

71780747893    move    828.00        496.00        

71780755696    move    828.00        495.00        

71780755896    move    828.00        493.00        

71780756196    move    826.00        492.00        

71780764134    move    826.00        490.00        

71780764331    move    826.00        489.00        

71780764531    move    826.00        487.00        

71780764631    move    825.00        487.00        

71780764732    move    825.00        486.00        

71780772574    move    825.00        484.00        

71780772686    move    825.00        483.00        

71780772899    move    823.00        481.00        

71780773100    move    823.00        480.00        

71780780793    move    823.00        478.00        

71780781005    move    823.00        477.00        

71780781104    move    822.00        477.00        

71780781304    move    822.00        475.00        

71780781505    move    822.00        474.00        

71780789245    move    822.00        472.00        

71780789442    move    820.00        471.00        

71780789630    move    820.00        469.00        

71780789845    move    820.00        468.00        

71780797584    move    820.00        466.00        

71780797683    move    819.00        466.00        

71780797770    move    819.00        465.00        

71780797882    move    819.00        463.00        

71780798070    move    819.00        462.00        

71780798284    move    819.00        460.00        

71780798382    move    817.00        460.00        

71780805827    move    817.00        459.00        

71780806121    move    817.00        457.00        

71780806220    move    817.00        456.00        

71780806420    move    816.00        454.00        

71780814154    move    816.00        453.00        

71780814252    move    816.00        451.00        

71780814452    move    816.00        450.00        

71780814552    move    816.00        448.00        

71780814753    move    814.00        447.00        

71780814854    move    814.00        445.00        

71780822565    move    814.00        442.00        

71780822673    move    814.00        441.00        

71780822786    move    813.00        439.00        

71780822886    move    813.00        438.00        

71780822986    move    813.00        436.00        

71780823087    move    813.00        435.00        

71780823332    move    814.00        444.00        

71780830825    move    813.00        433.00        

71780830922    move    813.00        432.00        

71780831022    move    813.00        430.00        

71780831122    move    811.00        429.00        

