timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 93030796365
93030796365    832.519     540.776     832.519     540.776 

93030804764    832.654     540.387     832.654     540.387 

93030812996    832.501     541.248     832.501     541.248 

93030821368    832.126     540.26      832.126     540.26  

93030829741    831.717     538.44      831.717     538.44  

93030838107    832.228     536.941     832.228     536.941 

93030846360    831.364     536.327     831.364     536.327 

93030854732    830.404     536.142     830.404     536.142 

93030863110    830.097     536.833     830.097     536.833 

93030871491    829.783     536.575     829.783     536.575 

93030879733    829.091     537.188     829.091     537.188 

93030888107    828.504     536.444     828.504     536.444 

93030896486    827.934     535.831     827.934     535.831 

93030904861    827.262     534.793     827.262     534.793 

93030913116    827.061     534.877     827.061     534.877 

93030921486    827.095     535.597     827.095     535.597 

93030929862    826.861     537.661     826.861     537.661 

93030938230    827.004     534.717     827.004     534.717 

93030946612    829.065     431.382     829.065     431.382 

93030954877    827.689     353.151     827.689     353.151 

93030963246    825.955     272.141     825.955     272.141 

93030971607    823.713     162.835     823.713     162.835 

93030979976    817.081     53.005      817.081     53.005  

93030988242    802.574     35.977      802.574     35.977  

93031005003    798.37      31.118      798.37      31.118  

93031013388    795.877     27.46       795.877     27.46   

93031021616    796.571     24.002      796.571     24.002  

93031029991    796.021     22.5        796.021     22.5    

93031038384    792.688     24.126      792.688     24.126  

93031046730    791.256     21.31       791.256     21.31   

93031054997    792.679     22.793      792.679     22.793  

93031063355    792.091     23.093      792.091     23.093  

93031071735    793.615     21.538      793.615     21.538  

93031080106    797.889     20.105      797.889     20.105  

93031088359    801.362     18.627      801.362     18.627  

93031105113    799.766     101.896     799.766     101.896 

93031113380    804.824     15.305      804.824     15.305  

93031121735    800.833     82.75       800.833     82.75   

93031130113    804.033     12.764      804.033     12.764  

93031138480    804.752     9.377       804.752     9.377   

93031146856    806         7.25        806         7.25    

93031155112    807.245     3.852       807.245     3.852   

93031163493    807.238     3.778       807.238     3.778   

93031171859    805.045     30.878      805.045     30.878  

93031180241    803.02      59.228      803.02      59.228  

93031188485    799.843     58.34       799.843     58.34   

93031196847    802.261     56.226      802.261     56.226  

93031205256    801.66      61.091      801.66      61.091  

93031213490    804.291     60.217      804.291     60.217  

93031221867    799.327     63.317      799.327     63.317  

93031230242    800.479     65.384      800.479     65.384  

93031238610    796.665     68.203      796.665     68.203  

93031246981    790.576     68.117      790.576     68.117  

93031255237    793.454     72.131      793.454     72.131  

93031263605    796.121     71.875      796.121     71.875  

93031271990    797.839     74.421      797.839     74.421  

93031280355    798.266     76.695      798.266     76.695  

93031288609    798.344     78.915      798.344     78.915  

93031305368    794.387     81.084      794.387     81.084  

93031313727    797.714     81.926      797.714     81.926  

93031321977    796.693     83.197      796.693     83.197  

93031330352    798.791     84.595      798.791     84.595  

93031338744    798.83      85.969      798.83      85.969  

93031347117    797.054     86.912      797.054     86.912  

93031355375    794.809     88.955      794.809     88.955  

93031363726    794.125     91.223      794.125     91.223  

93031372097    794.778     90.476      794.778     90.476  

93031380368    794.755     91.056      794.755     91.056  

93031388732    793.727     91.144      793.727     91.144  

93031397095    795.009     92.118      795.009     92.118  

93031405495    793.938     93.051      793.938     93.051  

93031413855    793.642     93.405      793.642     93.405  

93031422118    792.423     93.277      792.423     93.277  

93031430481    795.051     92.813      795.051     92.813  

93031438856    794.593     92.406      794.593     92.406  

93031447231    795.858     92.212      795.858     92.212  

93031455485    798.298     90.902      798.298     90.902  

93031463846    797.562     91.955      797.562     91.955  

93031472242    798.136     92.426      798.136     92.426  

93031480605    797.31      92.946      797.31      92.946  

93031488860    798.759     92.828      798.759     92.828  

93031497224    798.514     92.79       798.514     92.79   

93031505615    799.806     92.652      799.806     92.652  

93031514005    801.121     92.93       801.121     92.93   

93031522232    799.294     91.006      799.294     91.006  

93031530609    798.77      89.245      798.77      89.245  

93031538978    799         86.214      799         86.214  

93031547349    795.696     83.762      795.696     83.762  

93031555615    792.915     83.218      792.915     83.218  

93031564012    792.211     83.492      792.211     83.492  

93031572352    791.288     80.899      791.288     80.899  

93031580724    790.091     78.745      790.091     78.745  

93031588996    788.183     77.733      788.183     77.733  

93031605734    784.756     75.563      784.756     75.563  

93031614117    786.044     77.392      786.044     77.392  

93031622367    786.919     78.796      786.919     78.796  

93031630729    786.681     83.197      786.681     83.197  

93031639123    788.964     84.425      788.964     84.425  

93031647508    788.558     87.974      788.558     87.974  

93031655745    788.395     92.655      788.395     92.655  

93031664105    790.761     94.827      790.761     94.827  

93031672492    791.778     101.867     791.778     101.867 

93031680858    791.087     106.63      791.087     106.63  

93031689101    792.624     109.899     792.624     109.899 

93031705865    793.628     113.579     793.628     113.579 

93031714255    792.259     117.628     792.259     117.628 

93031722493    796.024     117.748     796.024     117.748 

93031730860    799         118.724     799         118.724 

93031739249    798.266     119.095     798.266     119.095 

93031747495    797.882     118.507     797.882     118.507 

93031755854    799.561     117.858     799.561     117.858 

93031764235    801.464     115.14      801.464     115.14  

93031772609    801.419     109.867     801.419     109.867 

93031780980    799.768     106.179     799.768     106.179 

93031789228    799.433     103.282     799.433     103.282 

93031805995    800.496     100.998     800.496     100.998 

