timeStamp      action  positionX     positionY     

start time: 93405755945

93405822589    move    842.00        508.00        

93405822887    move    842.00        507.00        

93405830742    move    842.00        505.00        

93405831040    move    842.00        504.00        

93405831343    move    842.00        502.00        

93405839132    move    842.00        499.00        

93405839317    move    842.00        498.00        

93405839418    move    842.00        496.00        

93405839804    move    842.00        501.00        

93405847419    move    842.00        495.00        

93405847618    move    842.00        493.00        

93405847717    move    842.00        492.00        

93405847917    move    842.00        490.00        

93405848018    move    842.00        489.00        

93405855642    move    842.00        486.00        

93405855742    move    842.00        484.00        

93405856029    move    842.00        481.00        

93405856242    move    842.00        480.00        

93405856342    move    842.00        478.00        

93405864062    move    842.00        477.00        

93405864149    move    842.00        474.00        

93405864361    move    842.00        472.00        

93405864461    move    841.00        469.00        

93405864662    move    841.00        468.00        

93405872305    move    841.00        465.00        

93405872503    move    841.00        463.00        

93405872603    move    841.00        460.00        

93405872803    move    841.00        457.00        

93405872903    move    841.00        456.00        

93405880751    move    839.00        448.00        

93405880921    move    839.00        445.00        

93405881008    move    839.00        442.00        

93405881221    move    839.00        439.00        

93405881321    move    839.00        436.00        

93405881485    move    841.00        453.00        

93405881520    move    838.00        433.00        

93405881610    move    838.00        432.00        

93405881821    move    838.00        429.00        

93405881921    move    838.00        426.00        

93405882123    move    838.00        423.00        

93405897324    move    838.00        420.00        

93405897511    move    836.00        417.00        

93405897611    move    836.00        414.00        

93405897811    move    836.00        411.00        

93405897910    move    836.00        406.00        

93405905663    move    835.00        403.00        

93405905759    move    835.00        400.00        

93405905957    move    835.00        397.00        

93405906057    move    835.00        394.00        

93405906257    move    835.00        391.00        

93405906358    move    833.00        387.00        

93405914082    move    833.00        384.00        

93405914180    move    833.00        382.00        

93405914379    move    833.00        378.00        

93405914479    move    833.00        375.00        

93405914669    move    832.00        372.00        

93405914781    move    832.00        369.00        

93405922404    move    832.00        366.00        

93405922503    move    832.00        361.00        

93405922691    move    832.00        358.00        

93405922803    move    830.00        355.00        

93405923004    move    830.00        352.00        

93405923105    move    830.00        348.00        

93405930752    move    830.00        345.00        

93405930808    move    830.00        342.00        

93405930996    move    830.00        337.00        

93405931108    move    829.00        334.00        

93405931310    move    829.00        331.00        

93405939087    move    829.00        328.00        

93405939287    move    829.00        325.00        

93405939384    move    829.00        322.00        

93405939584    move    829.00        318.00        

93405939685    move    829.00        315.00        

93405947427    move    829.00        312.00        

93405947494    move    829.00        309.00        

93405947705    move    827.00        304.00        

93405947795    move    827.00        301.00        

93405948005    move    827.00        298.00        

93405948106    move    827.00        295.00        

93405955737    move    827.00        292.00        

93405955823    move    827.00        288.00        

93405956036    move    827.00        285.00        

93405956136    move    827.00        282.00        

93405956337    move    827.00        279.00        

93405956437    move    827.00        277.00        

93405964164    move    826.00        274.00        

93405964263    move    826.00        271.00        

93405964462    move    826.00        268.00        

93405964562    move    826.00        265.00        

93405964763    move    826.00        262.00        

93405972506    move    826.00        256.00        

93405972582    move    826.00        253.00        

93405972782    move    824.00        250.00        

93405972881    move    824.00        247.00        

93405973084    move    824.00        244.00        

93405973268    move    826.00        259.00        

93405980850    move    824.00        243.00        

93405981049    move    824.00        240.00        

93405981149    move    824.00        237.00        

93405981449    move    824.00        232.00        

93405981549    move    824.00        229.00        

93405981749    move    824.00        228.00        

93405981850    move    824.00        225.00        

93405982050    move    824.00        222.00        

93405982149    move    824.00        220.00        

93405982350    move    824.00        219.00        

93405997404    move    824.00        216.00        

93405997604    move    824.00        213.00        

93405997701    move    824.00        211.00        

93405997901    move    824.00        208.00        

93405998001    move    824.00        205.00        

93405998203    move    824.00        204.00        

93406005848    move    824.00        201.00        

93406006047    move    824.00        198.00        

93406006146    move    824.00        196.00        

93406006347    move    824.00        193.00        

93406006448    move    824.00        192.00        

93406014254    move    824.00        186.00        

93406014353    move    825.00        184.00        

93406014464    move    825.00        181.00        

93406014652    move    825.00        180.00        

93406014767    move    825.00        178.00        

93406015009    move    824.00        189.00        

93406022492    move    827.00        175.00        

93406022603    move    827.00        174.00        

93406022803    move    827.00        171.00        

93406022903    move    828.00        169.00        

93406023105    move    828.00        166.00        

93406023206    move    828.00        165.00        

93406030949    move    830.00        162.00        

93406031047    move    830.00        160.00        

93406031246    move    831.00        157.00        

93406031334    move    831.00        156.00        

93406031547    move    831.00        154.00        

93406039182    move    833.00        151.00        

93406039391    move    833.00        150.00        

93406039478    move    833.00        148.00        

93406039690    move    834.00        147.00        

