timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 10551227516
10551227516    855.894     555.716     855.894     555.716 

10551235852    854.016     555.231     854.016     555.231 

10551244359    855.511     554.539     855.511     554.539 

10551252546    852.651     555.413     852.651     555.413 

10551260950    854.244     557.957     854.244     557.957 

10551269309    857.301     559.135     857.301     559.135 

10551277700    856.074     560.381     856.074     560.381 

10551285928    856.783     562.648     856.783     562.648 

10551294345    850.284     565.584     850.284     565.584 

10551302586    849.588     565.909     849.588     565.909 

10551311075    845.251     568.05      845.251     568.05  

10551319275    847.733     567.474     847.733     567.474 

10551327620    842.839     568.155     842.839     568.155 

10551336022    844.276     568.457     844.276     568.457 

10551344423    843.515     566.8       843.515     566.8   

10551352656    846.545     566.027     846.545     566.027 

10551361066    864.164     561.75      864.164     561.75  

10551369324    990.204     465.755     990.204     465.755 

10551377758    1054.739    347.048     1054.739    347.048 

10551386068    1159.149    265.331     1159.149    265.331 

10551394440    1190.708    168.828     1190.708    168.828 

10551402664    1198.543    160.203     1198.543    160.203 

10551411167    1199.044    157.937     1199.044    157.937 

10551419391    1199.849    154.088     1199.849    154.088 

10551427767    1198.885    150.742     1198.885    150.742 

10551436152    1200.745    160.813     1200.745    160.813 

10551444525    1201.566    161.955     1201.566    161.955 

10551452756    1196.551    160.8       1196.551    160.8   

10551461110    1191.343    161.081     1191.343    161.081 

10551469482    1194.439    169.86      1194.439    169.86  

10551477929    1195.218    176.808     1195.218    176.808 

10551486166    1196.451    180.218     1196.451    180.218 

10551494529    1193.25     180.552     1193.25     180.552 

10551503035    1193.611    184.882     1193.611    184.882 

10551511396    1190.588    185.081     1190.588    185.081 

10551519464    1186.63     184.967     1186.63     184.967 

10551527866    1186.477    188.094     1186.477    188.094 

10551536396    1183.981    190.121     1183.981    190.121 

10551544614    1182.464    193.956     1182.464    193.956 

10551552880    1180.324    194.136     1180.324    194.136 

10551561344    1178.75     197.717     1178.75     197.717 

10551569635    1182.783    198.344     1182.783    198.344 

10551578055    1176.559    197.794     1176.559    197.794 

10551586221    1169.819    196.719     1169.819    196.719 

10551594629    1164.803    197.027     1164.803    197.027 

10551602975    1161.975    196.475     1161.975    196.475 

10551611424    1157.112    196.663     1157.112    196.663 

10551619664    1150.364    194.253     1150.364    194.253 

10551628061    1143.522    195.601     1143.522    195.601 

10551636436    1141.841    194.882     1141.841    194.882 

10551644798    1140.466    197.271     1140.466    197.271 

10551653015    1143.269    195.708     1143.269    195.708 

10551661387    1139.165    194.369     1139.165    194.369 

10551669765    1136.327    186.085     1136.327    186.085 

10551678175    1140.125    189.122     1140.125    189.122 

10551686459    1144.854    188.63      1144.854    188.63  

10551694809    1149.867    188.989     1149.867    188.989 

10551703075    1148.267    188.309     1148.267    188.309 

10551711564    1147.139    192.011     1147.139    192.011 

10551719738    1150.893    190.856     1150.893    190.856 

10551728146    1151.236    193.586     1151.236    193.586 

10551736501    1149.169    191.272     1149.169    191.272 

10551744898    1147.024    191.914     1147.024    191.914 

10551753189    1153.344    192.255     1153.344    192.255 

10551761498    1151.716    192.987     1151.716    192.987 

10551769902    1146.443    191.877     1146.443    191.877 

10551778396    1144.229    190.403     1144.229    190.403 

10551786483    1148.955    196.376     1148.955    196.376 

10551794918    1147.653    197.535     1147.653    197.535 

10551803317    1147.635    195.786     1147.635    195.786 

10551811728    1142.046    189.274     1142.046    189.274 

10551819933    1144.302    183.617     1144.302    183.617 

10551828258    1149.996    185.696     1149.996    185.696 

10551836570    1153.39     190.808     1153.39     190.808 

10551845079    1154.894    194.09      1154.894    194.09  

10551853314    1157.422    193.975     1157.422    193.975 

10551861652    1159.299    194.008     1159.299    194.008 

10551869898    1161.63     197.594     1161.63     197.594 

10551878291    1155.821    189.83      1155.821    189.83  

10551886597    1152.144    189.196     1152.144    189.196 

10551895032    1160.6      197.092     1160.6      197.092 

10551903449    1161.249    198.482     1161.249    198.482 

10551911681    1165.937    200.075     1165.937    200.075 

10551920027    1168.711    205.085     1168.711    205.085 

10551928369    1161.621    200.478     1161.621    200.478 

10551936717    1162.322    199.446     1162.322    199.446 

10551945016    1156.016    198.638     1156.016    198.638 

10551953421    1159.519    194.922     1159.519    194.922 

10551961719    1158.173    199.16      1158.173    199.16  

10551970124    1158.267    197.665     1158.267    197.665 

10551978413    1157.316    197.627     1157.316    197.627 

10551986760    1158.467    197.419     1158.467    197.419 

10551995179    1157.327    195.626     1157.327    195.626 

10552003520    1153.215    191.886     1153.215    191.886 

10552011755    1154.609    192.354     1154.609    192.354 

10552020194    1150.259    192.897     1150.259    192.897 

10552028543    1149.882    193.894     1149.882    193.894 

10552036909    1152.021    192.87      1152.021    192.87  

10552045217    1151.042    193.453     1151.042    193.453 

10552053531    1145.933    191.2       1145.933    191.2   

10552061964    1144.808    189.406     1144.808    189.406 

10552070308    1146.938    188.905     1146.938    188.905 

10552078554    1145.079    187.668     1145.079    187.668 

10552086944    1146.955    190.278     1146.955    190.278 

10552095338    1147.445    189.287     1147.445    189.287 

10552103652    1147.632    190.839     1147.632    190.839 

10552111883    1151.233    195.276     1151.233    195.276 

10552120297    1154.192    195.627     1154.192    195.627 

10552128628    1151.584    188.467     1151.584    188.467 

10552137008    1145.66     186.035     1145.66     186.035 

10552145323    1145.206    188.434     1145.206    188.434 

10552153662    1150.483    190.572     1150.483    190.572 

10552162044    1152.923    192.117     1152.923    192.117 

10552170427    1155.328    194.605     1155.328    194.605 

10552178658    1157.629    191.29      1157.629    191.29  

10552187023    1154.665    191.554     1154.665    191.554 

10552195427    1147.651    190.949     1147.651    190.949 

10552203817    1154.065    189.694     1154.065    189.694 

10552212041    1154.892    191.707     1154.892    191.707 

10552220398    1155.485    192.523     1155.485    192.523 

10552228742    1157.077    192.92      1157.077    192.92  

10552237117    1155.077    193.415     1155.077    193.415 

10552245414    1158.989    193.159     1158.989    193.159 

10552253783    1150.827    192.179     1150.827    192.179 

10552262137    1156.257    191.444     1156.257    191.444 

10552270539    1156.784    191.016     1156.784    191.016 

10552278940    1153.401    190.5       1153.401    190.5   

10552287164    1156.229    191.709     1156.229    191.709 

10552295511    1143.563    192.991     1143.563    192.991 

10552303937    1148.743    193.037     1148.743    193.037 

10552312195    1143.358    196.626     1143.358    196.626 

10552320505    1141.092    192.525     1141.092    192.525 

10552328944    1146.77     193.072     1146.77     193.072 

10552337241    1140.468    184.783     1140.468    184.783 

10552345555    1140.328    191.825     1140.328    191.825 

10552353911    1143.725    189.114     1143.725    189.114 

10552362292    1136.544    192.444     1136.544    192.444 

10552370621    1126.646    196.45      1126.646    196.45  

10552378894    1132.238    191.213     1132.238    191.213 

10552387289    1141.147    189.87      1141.147    189.87  

10552395616    1137.068    189.536     1137.068    189.536 

10552404015    1144.048    182.932     1144.048    182.932 

10552412286    1149.91     181.94      1149.91     181.94  

10552420655    1153.924    185.58      1153.924    185.58  

10552429028    1157.924    188.015     1157.924    188.015 

10552437456    1161.786    192.95      1161.786    192.95  

10552445648    1161.532    193.404     1161.532    193.404 

10552454029    1156.184    196.563     1156.184    196.563 

10552462465    1161.324    199.519     1161.324    199.519 

10552470800    1155.526    188.826     1155.526    188.826 

10552479068    1163.441    190.871     1163.441    190.871 

10552487411    1162.342    191.126     1162.342    191.126 

10552495772    1162.038    194.162     1162.038    194.162 

10552504149    1161.908    200.225     1161.908    200.225 

10552512426    1160.304    200.149     1160.304    200.149 

10552520792    1157.114    202.78      1157.114    202.78  

10552529168    1152.375    200.155     1152.375    200.155 

10552537551    1152.271    194.861     1152.271    194.861 

