timeStamp      action  positionX     positionY     

start time: 10965278823

10965396182    move    824.00        540.00        

10965403793    move    823.00        541.00        

10965403998    move    823.00        542.00        

10965404088    move    822.00        544.00        

10965404288    move    821.00        545.00        

10965404385    move    820.00        546.00        

10965412035    move    819.00        547.00        

10965412136    move    818.00        548.00        

10965412336    move    818.00        550.00        

10965412465    move    817.00        551.00        

10965412628    move    816.00        552.00        

10965412736    move    815.00        554.00        

10965420569    move    814.00        555.00        

10965420633    move    813.00        557.00        

10965420854    move    812.00        558.00        

10965420951    move    811.00        559.00        

10965421133    move    809.00        561.00        

10965421232    move    809.00        562.00        

10965428848    move    808.00        563.00        

10965428931    move    807.00        565.00        

10965429120    move    805.00        566.00        

10965429234    move    804.00        568.00        

10965429452    move    803.00        570.00        

10965437096    move    802.00        571.00        

10965437289    move    801.00        573.00        

10965437410    move    800.00        574.00        

10965437616    move    798.00        576.00        

10965437674    move    797.00        578.00        

10965445372    move    796.00        579.00        

10965445455    move    795.00        581.00        

10965445671    move    793.00        583.00        

10965445763    move    792.00        584.00        

10965445984    move    791.00        586.00        

10965446074    move    789.00        588.00        

10965453834    move    788.00        589.00        

10965453920    move    787.00        591.00        

10965454150    move    786.00        593.00        

10965454221    move    784.00        595.00        

10965454421    move    783.00        596.00        

10965454517    move    782.00        597.00        

10965462325    move    781.00        599.00        

10965462426    move    779.00        601.00        

10965462619    move    778.00        603.00        

10965462726    move    777.00        604.00        

10965462813    move    775.00        606.00        

10965470521    move    773.00        610.00        

10965470620    move    771.00        612.00        

10965470707    move    770.00        613.00        

10965470922    move    769.00        615.00        

10965471031    move    767.00        617.00        

10965471256    move    774.00        608.00        

10965478929    move    766.00        619.00        

10965479129    move    765.00        621.00        

10965479216    move    763.00        623.00        

10965479417    move    762.00        624.00        

10965479522    move    761.00        626.00        

10965479710    move    760.00        627.00        

10965479829    move    758.00        629.00        

10965487291    move    757.00        631.00        

10965487389    move    756.00        633.00        

10965487492    move    754.00        635.00        

10965487682    move    753.00        637.00        

10965487784    move    752.00        639.00        

10965495791    move    749.00        642.00        

10965496001    move    748.00        643.00        

10965496101    move    747.00        645.00        

10965496294    move    745.00        647.00        

10965503820    move    744.00        649.00        

10965504026    move    743.00        651.00        

10965504119    move    741.00        653.00        

10965504319    move    740.00        654.00        

10965504433    move    739.00        656.00        

10965512156    move    736.00        660.00        

10965512340    move    735.00        662.00        

10965512451    move    733.00        664.00        

10965512661    move    732.00        666.00        

10965512746    move    731.00        667.00        

10965513025    move    737.00        658.00        

10965520602    move    729.00        669.00        

10965520705    move    728.00        671.00        

10965520944    move    727.00        673.00        

10965521045    move    726.00        674.00        

10965521204    move    724.00        676.00        

10965521306    move    723.00        678.00        

10965529009    move    722.00        680.00        

10965529109    move    720.00        681.00        

10965529313    move    719.00        683.00        

10965529419    move    718.00        685.00        

10965529616    move    716.00        687.00        

10965537210    move    715.00        689.00        

10965537393    move    714.00        690.00        

10965537480    move    712.00        692.00        

10965537692    move    711.00        694.00        

10965537788    move    710.00        695.00        

10965545486    move    709.00        697.00        

10965545595    move    707.00        699.00        

10965545775    move    706.00        700.00        

10965545879    move    705.00        702.00        

10965546076    move    704.00        703.00        

10965546169    move    703.00        704.00        

10965554005    move    701.00        707.00        

10965554135    move    700.00        708.00        

10965554228    move    699.00        710.00        

10965554422    move    697.00        711.00        

10965554517    move    696.00        713.00        

10965554796    move    702.00        706.00        

10965562430    move    695.00        714.00        

10965562517    move    694.00        715.00        

10965562718    move    693.00        717.00        

10965562818    move    692.00        718.00        

10965563021    move    691.00        719.00        

10965563115    move    690.00        720.00        

10965570770    move    689.00        721.00        

10965570870    move    688.00        723.00        

10965571072    move    688.00        724.00        

10965571177    move    687.00        725.00        

10965571375    move    686.00        726.00        

10965578950    move    685.00        727.00        

10965579129    move    684.00        728.00        

10965579267    move    683.00        729.00        

10965579431    move    683.00        730.00        

10965579544    move    682.00        731.00        

10965579732    move    681.00        731.00        

10965579845    move    680.00        732.00        

10965587513    move    679.00        733.00        

10965587585    move    679.00        734.00        

10965587771    move    678.00        735.00        

10965587857    move    677.00        736.00        

10965595697    move    675.00        738.00        

10965595968    move    674.00        739.00        

10965596262    move    673.00        740.00        

10965596300    move    676.00        737.00        

10965603963    move    672.00        741.00        

10965604152    move    671.00        742.00        

10965604449    move    670.00        743.00        

10965604561    move    669.00        744.00        

10965612451    move    668.00        745.00        

10965612626    move    667.00        746.00        

10965612955    move    666.00        747.00        

10965613026    move    665.00        747.00        

10965620806    move    665.00        748.00        

10965620897    move    664.00        748.00        

10965621096    move    664.00        749.00        

10965621211    move    663.00        749.00        

10965621395    move    662.00        750.00        

10965629125    move    661.00        750.00        

10965629220    move    660.00        751.00        

10965629512    move    659.00        752.00        

10965629726    move    658.00        752.00        

10965637301    move    658.00        753.00        

10965637483    move    657.00        753.00        

10965637581    move    656.00        754.00        

10965637877    move    655.00        754.00        

