timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 65076365559
65076365559    840.267     703.057     840.267     703.057 

65076373905    840.13      709.316     840.13      709.316 

65076382233    839.315     696.139     839.315     696.139 

65076390625    839.037     698.564     839.037     698.564 

65076407252    834.437     703.329     834.437     703.329 

65076415650    833.949     704.384     833.949     704.384 

65076423872    832.827     703.11      832.827     703.11  

65076432252    834.104     703.901     834.104     703.901 

65076440589    834.371     705.821     834.371     705.821 

65076448980    835.707     706.668     835.707     706.668 

65076457243    836.018     703.723     836.018     703.723 

65076465597    836.167     703.616     836.167     703.616 

65076473950    836.74      705.125     836.74      705.125 

65076482294    836.532     706.373     836.532     706.373 

65076490636    837.211     704.972     837.211     704.972 

65076499021    837.531     707.103     837.531     707.103 

65076507362    837.062     709.035     837.062     709.035 

65076515668    836.741     778.09      836.741     778.09  

65076524090    838.268     877.448     838.268     877.448 

65076532343    838.674     948.391     838.674     948.391 

65076540777    837.942     977.227     837.942     977.227 

65076549084    838.277     974.403     838.277     974.403 

65076557374    839.072     970.049     839.072     970.049 

65076565772    838.832     980.432     838.832     980.432 

65076574141    837.963     983.885     837.963     983.885 

65076582421    837.385     984.928     837.385     984.928 

65076590769    837.458     982.596     837.458     982.596 

65076599184    836.783     983.79      836.783     983.79  

65076607491    836.375     983.189     836.375     983.189 

65076615865    835.108     982.24      835.108     982.24  

65076624228    834.345     985.078     834.345     985.078 

65076632486    833.501     984.422     833.501     984.422 

65076640894    831.209     983.671     831.209     983.671 

65076649250    830.206     984.217     830.206     984.217 

65076657501    828.224     982.116     828.224     982.116 

65076665838    826.636     981.895     826.636     981.895 

65076674292    825.821     980.896     825.821     980.896 

65076682675    826.255     979.211     826.255     979.211 

65076690983    827         979.559     827         979.559 

65076699217    827.363     978.233     827.363     978.233 

65076707605    826.999     978.29      826.999     978.29  

65076716006    827.02      978.746     827.02      978.746 

65076724275    824.85      981.749     824.85      981.749 

65076732634    824.568     984.822     824.568     984.822 

65076740994    824.56      987.094     824.56      987.094 

65076749282    827.761     989.326     827.761     989.326 

65076757635    828.948     991.334     828.948     991.334 

65076766013    829.304     992.655     829.304     992.655 

65076774355    827.764     996.71      827.764     996.71  

65076782732    826.821     998.335     826.821     998.335 

65076791133    826.482     1001.073    826.482     1001.073

65076799384    826.779     1000.879    826.779     1000.879

65076807746    825.237     1002.107    825.237     1002.107

65076816167    827.054     1000.838    827.054     1000.838

65076824408    827.574     1002.083    827.574     1002.083

65076832738    827.926     1003.187    827.926     1003.187

65076841141    826.791     1003.633    826.791     1003.633

65076849452    826.016     1004.713    826.016     1004.713

65076857773    826.257     1007.176    826.257     1007.176

65076866102    826.267     1006.322    826.267     1006.322

65076874493    826.229     1007.262    826.229     1007.262

65076882897    826.601     1007.751    826.601     1007.751

65076891135    826.286     1009.588    826.286     1009.588

65076899678    826.369     1009.826    826.369     1009.826

65076907903    826.073     1009.735    826.073     1009.735

65076916208    826.678     1009.442    826.678     1009.442

65076924534    828.696     1008.505    828.696     1008.505

65076932845    830.766     1007.627    830.766     1007.627

65076941304    831.658     1007.453    831.658     1007.453

65076949521    832.483     1005.024    832.483     1005.024

65076957888    832.952     1004.511    832.952     1004.511

65076966213    833.83      1003.38     833.83      1003.38 

65076974597    833.375     1002.202    833.375     1002.202

65076982924    832.425     1001.812    832.425     1001.812

65076991263    831.553     1001.585    831.553     1001.585

65076999774    830.732     1001.686    830.732     1001.686

65077007988    829.558     1000.939    829.558     1000.939

65077016359    827.209     1000.548    827.209     1000.548

65077024661    825.12      1001.156    825.12      1001.156

65077032955    823.663     1001.515    823.663     1001.515

65077041405    823.097     1002.241    823.097     1002.241

65077049746    823.203     1003.181    823.203     1003.181

65077058016    822.345     1002.327    822.345     1002.327

65077066427    823.773     1002.155    823.773     1002.155

65077074709    827.167     1001.471    827.167     1001.471

65077083105    826.772     1001.877    826.772     1001.877

65077091408    828.912     1001.63     828.912     1001.63 

65077099803    829.247     1001.41     829.247     1001.41 

65077108122    829.513     1002.355    829.513     1002.355

65077116514    830.108     1002.789    830.108     1002.789

65077124898    829.509     1001.231    829.509     1001.231

65077133186    829.762     997.918     829.762     997.918 

65077141525    832.194     898.617     832.194     898.617 

65077149885    835.437     774.855     835.437     774.855 

65077158178    842.35      674.011     842.35      674.011 

65077166603    843.637     624.692     843.637     624.692 

65077174836    843.724     547.108     843.724     547.108 

