timeStamp      action  positionX     positionY     

start time: 65391700779

65391783789    move    823.00        536.00        

65391792214    move    822.00        536.00        

65391792716    move    820.00        536.00        

65391800546    move    819.00        536.00        

65391800848    move    817.00        537.00        

65391801148    move    816.00        537.00        

65391808959    move    814.00        537.00        

65391809129    move    813.00        537.00        

65391809434    move    811.00        537.00        

65391817191    move    810.00        537.00        

65391817431    move    808.00        537.00        

65391817597    move    807.00        537.00        

65391825394    move    804.00        537.00        

65391825621    move    802.00        537.00        

65391825793    move    801.00        537.00        

65391825981    move    799.00        537.00        

65391826223    move    805.00        537.00        

65391833593    move    798.00        537.00        

65391833803    move    796.00        537.00        

65391833901    move    795.00        537.00        

65391834205    move    793.00        537.00        

65391834295    move    792.00        537.00        

65391834397    move    792.00        539.00        

65391842116    move    790.00        539.00        

65391842215    move    789.00        539.00        

65391842439    move    787.00        539.00        

65391842520    move    786.00        539.00        

65391842700    move    784.00        539.00        

65391842814    move    783.00        539.00        

65391850525    move    781.00        539.00        

65391850627    move    780.00        539.00        

65391850723    move    778.00        539.00        

65391850925    move    777.00        539.00        

65391851033    move    775.00        539.00        

65391858711    move    774.00        539.00        

65391858811    move    772.00        539.00        

65391859199    move    769.00        539.00        

65391859409    move    768.00        539.00        

65391859516    move    766.00        539.00        

65391859728    move    765.00        540.00        

65391867044    move    763.00        540.00        

65391867166    move    762.00        540.00        

65391867357    move    760.00        540.00        

65391867420    move    759.00        540.00        

65391867526    move    757.00        540.00        

65391875410    move    756.00        540.00        

65391875506    move    754.00        540.00        

65391875618    move    753.00        540.00        

65391875808    move    751.00        540.00        

65391875907    move    750.00        540.00        

65391876008    move    748.00        540.00        

65391883846    move    747.00        540.00        

65391883929    move    745.00        540.00        

65391884040    move    744.00        540.00        

65391884232    move    742.00        540.00        

65391884371    move    741.00        540.00        

65391884542    move    739.00        540.00        

65391892158    move    738.00        540.00        

65391892262    move    736.00        540.00        

65391892363    move    735.00        540.00        

65391892474    move    733.00        540.00        

65391892568    move    732.00        540.00        

65391892656    move    730.00        540.00        

65391892743    move    729.00        540.00        

65391892857    move    727.00        540.00        

65391900362    move    726.00        540.00        

65391900539    move    724.00        540.00        

65391900647    move    723.00        540.00        

65391900745    move    721.00        540.00        

65391900851    move    720.00        540.00        

65391900940    move    718.00        540.00        

65391901037    move    717.00        540.00        

65391901138    move    715.00        540.00        

65391908832    move    712.00        540.00        

65391908907    move    711.00        540.00        

65391909014    move    709.00        540.00        

65391909206    move    708.00        540.00        

65391909319    move    706.00        540.00        

65391909412    move    705.00        540.00        

65391909512    move    702.00        540.00        

65391917212    move    699.00        540.00        

65391917240    move    697.00        540.00        

65391917345    move    696.00        540.00        

65391917438    move    694.00        540.00        

65391917540    move    691.00        540.00        

65391917638    move    690.00        540.00        

