timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 104128388351
104128388351   847.572     520.963     847.572     520.963 

104128396716   846.958     520.95      846.958     520.95  

104128405106   846.74      520.781     846.74      520.781 

104128413467   846.47      520.905     846.47      520.905 

104128421712   846.406     520.741     846.406     520.741 

104128430094   845.925     521.252     845.925     521.252 

104128438472   845.497     521.851     845.497     521.851 

104128446857   845.642     522.439     845.642     522.439 

104128455090   845.016     522.825     845.016     522.825 

104128463460   844.739     523.201     844.739     523.201 

104128471839   844.35      523.258     844.35      523.258 

104128480208   845.351     523.351     845.351     523.351 

104128488486   845.941     523.221     845.941     523.221 

104128496839   845.287     523.476     845.287     523.476 

104128505208   844.854     523.185     844.854     523.185 

104128513587   844.41      523.677     844.41      523.677 

104128521842   844.01      523.792     844.01      523.792 

104128530223   844.359     524.017     844.359     524.017 

104128538600   844.821     523.878     844.821     523.878 

104128546980   846.012     524.011     846.012     524.011 

104128555217   846.671     523.294     846.671     523.294 

104128563585   846.808     523.294     846.808     523.294 

104128571967   843.167     524.48      843.167     524.48  

104128580350   746.33      625.24      746.33      625.24  

104128588594   637.867     678.564     637.867     678.564 

104128596971   571.097     734.996     571.097     734.996 

104128605345   529.361     828.03      529.361     828.03  

104128613590   521.205     847.816     521.205     847.816 

104128621974   525.127     851.529     525.127     851.529 

104128630349   519.737     851.78      519.737     851.78  

104128638725   518.638     851.812     518.638     851.812 

104128647097   517.722     851.226     517.722     851.226 

104128655331   517.556     851.458     517.556     851.458 

104128663711   519.022     852.335     519.022     852.335 

104128672096   519.353     851.826     519.353     851.826 

104128680330   519.973     851.557     519.973     851.557 

104128688715   518.585     851.558     518.585     851.558 

104128697091   518.285     853.315     518.285     853.315 

104128705467   518.221     852.928     518.221     852.928 

104128713723   517.281     852.446     517.281     852.446 

104128730460   517.422     852.59      517.422     852.59  

104128738843   517.638     853.029     517.638     853.029 

104128747092   517.507     853.215     517.507     853.215 

104128755468   516.831     852.798     516.831     852.798 

104128763847   516.162     853.045     516.162     853.045 

104128772217   515.346     853.588     515.346     853.588 

104128780467   514.521     853.776     514.521     853.776 

104128788841   513.667     853.768     513.667     853.768 

104128797216   513.12      853.786     513.12      853.786 

104128805603   512.641     854.058     512.641     854.058 

104128813970   512.54      854.005     512.54      854.005 

104128822217   512.252     854.553     512.252     854.553 

104128830595   511.852     855.238     511.852     855.238 

104128838968   511.849     855.686     511.849     855.686 

104128847343   511.77      856.41      511.77      856.41  

104128855589   511.707     856.785     511.707     856.785 

104128863952   511.414     857.041     511.414     857.041 

104128872341   511.343     857.336     511.343     857.336 

104128880582   511.935     857.616     511.935     857.616 

104128888965   512.047     858.167     512.047     858.167 

104128897352   512.671     858.911     512.671     858.911 

104128905713   512.911     859.985     512.911     859.985 

104128914087   513.762     860.448     513.762     860.448 

104128922343   514.184     861.094     514.184     861.094 

104128930721   514.571     861.341     514.571     861.341 

104128939099   514.417     862.145     514.417     862.145 

104128947331   514.635     863.022     514.635     863.022 

104128955717   514.856     863.604     514.856     863.604 

104128964087   515.114     864.028     515.114     864.028 

104128972463   514.717     864.821     514.717     864.821 

104128980851   514.796     865.099     514.796     865.099 

104128989086   514.654     864.793     514.654     864.793 

104128997462   514.241     864.341     514.241     864.341 

104129005838   513.52      864.74      513.52      864.74  

104129014102   513.046     864.411     513.046     864.411 

104129022462   512.722     864.382     512.722     864.382 

104129030857   512.854     864.774     512.854     864.774 

104129039216   512.393     864.464     512.393     864.464 

104129047581   512.058     863.583     512.058     863.583 

104129055835   511.556     862.789     511.556     862.789 

104129064208   511.332     861.345     511.332     861.345 

104129072593   511.2       860.885     511.2       860.885 

104129080961   511.17      860.217     511.17      860.217 

