timeStamp      action  positionX     positionY     

start time: 104058809752

104058901907   move    845.00        540.00        

104058910060   move    846.00        542.00        

104058910471   move    846.00        543.00        

104058910672   move    848.00        543.00        

104058918308   move    848.00        545.00        

104058918807   move    849.00        546.00        

104058918907   move    849.00        548.00        

104058919194   move    849.00        549.00        

104058926779   move    851.00        549.00        

104058926828   move    851.00        551.00        

104058927040   move    852.00        552.00        

104058934969   move    852.00        554.00        

104058935055   move    854.00        555.00        

104058935268   move    854.00        557.00        

104058935569   move    855.00        558.00        

104058935668   move    855.00        560.00        

104058943353   move    855.00        561.00        

104058943389   move    857.00        563.00        

104058943589   move    857.00        564.00        

104058943689   move    858.00        566.00        

104058943889   move    858.00        567.00        

104058951657   move    858.00        569.00        

104058951849   move    860.00        570.00        

104058951951   move    860.00        572.00        

104058952149   move    861.00        575.00        

104058952248   move    861.00        576.00        

104058959887   move    863.00        578.00        

104058960082   move    864.00        582.00        

104058960281   move    864.00        584.00        

104058960381   move    866.00        587.00        

104058960583   move    866.00        588.00        

104058960682   move    867.00        591.00        

104058968412   move    867.00        594.00        

104058968511   move    869.00        596.00        

104058968712   move    870.00        599.00        

104058968811   move    870.00        600.00        

104058969012   move    872.00        603.00        

104058976646   move    872.00        606.00        

104058976845   move    873.00        609.00        

104058976944   move    875.00        612.00        

104058977145   move    875.00        615.00        

104058977245   move    876.00        620.00        

104058977446   move    878.00        623.00        

104058985152   move    879.00        630.00        

104058985252   move    881.00        633.00        

104058985451   move    882.00        638.00        

104058985552   move    884.00        641.00        

104058985916   move    879.00        626.00        

104058993430   move    885.00        645.00        

104058993530   move    885.00        648.00        

104058993717   move    887.00        651.00        

104058993829   move    888.00        656.00        

104058994018   move    890.00        660.00        

104058994131   move    891.00        665.00        

104059001728   move    891.00        669.00        

104059001840   move    893.00        674.00        

104059002040   move    894.00        678.00        

104059002140   move    896.00        683.00        

104059002340   move    897.00        687.00        

104059002440   move    897.00        692.00        

104059010172   move    899.00        696.00        

104059010271   move    900.00        701.00        

104059010471   move    902.00        705.00        

104059010558   move    902.00        710.00        

104059010772   move    903.00        714.00        

104059018394   move    903.00        717.00        

104059018605   move    905.00        722.00        

104059018693   move    905.00        726.00        

104059018905   move    905.00        731.00        

104059018992   move    906.00        735.00        

104059019205   move    906.00        740.00        

104059019304   move    906.00        744.00        

104059019577   move    908.00        749.00        

104059019606   move    908.00        753.00        

104059019804   move    908.00        756.00        

104059019905   move    908.00        761.00        

104059035111   move    908.00        770.00        

104059035251   move    908.00        771.00        

104059035350   move    908.00        777.00        

104059035550   move    908.00        780.00        

104059035652   move    908.00        785.00        

104059036746   move    908.00        765.00        

104059043508   move    908.00        788.00        

104059043606   move    908.00        792.00        

104059043806   move    908.00        795.00        

104059043906   move    907.00        800.00        

104059044107   move    907.00        804.00        

104059044207   move    905.00        807.00        

104059051948   move    905.00        812.00        

104059052049   move    904.00        815.00        

104059052248   move    904.00        819.00        

104059052347   move    902.00        822.00        

104059052548   move    902.00        827.00        

104059060180   move    901.00        830.00        

104059060366   move    901.00        833.00        

104059060479   move    899.00        836.00        

104059060780   move    898.00        843.00        

104059060880   move    896.00        846.00        

104059068497   move    895.00        851.00        

104059068596   move    895.00        854.00        

104059068797   move    893.00        857.00        

104059068897   move    892.00        860.00        

104059069097   move    892.00        863.00        

104059076857   move    889.00        869.00        

104059076929   move    889.00        872.00        

104059077128   move    887.00        875.00        

104059077228   move    886.00        878.00        

104059077430   move    886.00        881.00        

104059077596   move    890.00        866.00        

104059085191   move    884.00        884.00        

104059085377   move    883.00        887.00        

104059085490   move    881.00        888.00        

104059085677   move    881.00        891.00        

104059085792   move    880.00        894.00        

104059093409   move    878.00        897.00        

104059093507   move    878.00        899.00        

104059093707   move    877.00        900.00        

104059093807   move    875.00        903.00        

104059094007   move    875.00        905.00        

104059094108   move    874.00        908.00        

104059101841   move    872.00        909.00        

104059101940   move    872.00        911.00        

104059102141   move    871.00        914.00        

104059102227   move    869.00        915.00        

104059102441   move    869.00        917.00        

104059102541   move    868.00        918.00        

104059110280   move    866.00        920.00        

104059110366   move    866.00        921.00        

104059110578   move    865.00        923.00        

104059110678   move    865.00        924.00        

104059110882   move    863.00        926.00        

104059118603   move    862.00        929.00        

104059118702   move    862.00        930.00        

104059118900   move    860.00        932.00        

104059119201   move    860.00        933.00        

104059119300   move    860.00        935.00        

104059119357   move    863.00        927.00        

104059119505   move    859.00        936.00        

104059119601   move    859.00        938.00        

104059119901   move    859.00        939.00        

104059135187   move    859.00        941.00        

104059135286   move    859.00        942.00        

104059135487   move    859.00        944.00        

104059135776   move    859.00        945.00        

104059135887   move    859.00        947.00        

104059143618   move    859.00        948.00        

104059143717   move    859.00        950.00        

104059143916   move    859.00        951.00        

104059144017   move    859.00        953.00        

104059144217   move    859.00        954.00        

104059144317   move    860.00        956.00        

104059152035   move    860.00        957.00        

104059152148   move    860.00        959.00        

104059152335   move    861.00        960.00        

104059152447   move    861.00        962.00        

104059152648   move    863.00        963.00        

104059160374   move    864.00        966.00        

104059160473   move    864.00        968.00        

104059160673   move    864.00        969.00        

104059160761   move    866.00        971.00        

104059161126   move    863.00        965.00        

104059168538   move    866.00        972.00        

104059168725   move    867.00        975.00        

104059168913   move    869.00        977.00        

104059169026   move    869.00        980.00        

104059169226   move    869.00        981.00        

104059169325   move    870.00        983.00        

104059177045   move    870.00        984.00        

104059177156   move    870.00        986.00        

104059177344   move    872.00        987.00        

104059177456   move    872.00        989.00        

104059177658   move    872.00        990.00        

104059185487   move    873.00        992.00        

104059185587   move    873.00        993.00        

104059185786   move    873.00        995.00        

104059185888   move    873.00        996.00        

104059193710   move    873.00        998.00        

104059193921   move    873.00        999.00        

104059194221   move    873.00        1001.00       

104059201957   move    873.00        1002.00       

104059202044   move    873.00        1004.00       

104059202557   move    873.00        1005.00       

104059210354   move    873.00        1007.00       

104059210677   move    873.00        1008.00       

104059218646   move    872.00        1008.00       

104059219137   move    872.00        1010.00       

104059235292   move    872.00        1011.00       

104059235877   move    871.00        1011.00       

104059294331   move    871.00        1013.00       

104059311206   move    869.00        1014.00       

104059320241   move    868.00        1014.00       

104059343959   move    866.00        1014.00       

104059369437   move    865.00        1014.00       

104059386103   move    863.00        1014.00       

104059394348   move    862.00        1014.00       

104059402483   move    860.00        1014.00       

104059410510   move    859.00        1014.00       

104059411107   move    857.00        1014.00       

104059419047   move    856.00        1014.00       

104059419659   move    854.00        1014.00       

104059420260   move    853.00        1014.00       

104059435702   move    851.00        1014.00       

104059443960   move    850.00        1014.00       

104059444560   move    850.00        1013.00       

