timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 27259849601
27259849601    814.746     436.754     814.746     436.754 

27259857966    817.695     437.335     817.695     437.335 

27259866267    814.794     437.167     814.794     437.167 

27259874680    815.933     435.431     815.933     435.431 

27259883068    823.846     431.924     823.846     431.924 

27259891394    825.801     427.922     825.801     427.922 

27259899614    822.482     429.861     822.482     429.861 

27259908053    816.771     429.726     816.771     429.726 

27259916422    814.942     424.685     814.942     424.685 

27259924699    816.15      425.283     816.15      425.283 

27259941349    822.226     429.104     822.226     429.104 

27259949731    815.256     431.699     815.256     431.699 

27259957954    813.243     428.288     813.243     428.288 

27259966303    810.843     432.148     810.843     432.148 

27259974679    821.293     443.018     821.293     443.018 

27259982919    811.35      438.653     811.35      438.653 

27259991339    809.851     443.819     809.851     443.819 

27259999773    813.319     441.337     813.319     441.337 

27260008125    820.73      439.413     820.73      439.413 

27260016592    809.311     446.801     809.311     446.801 

27260024722    809.979     445.597     809.979     445.597 

27260033099    809.66      323.002     809.66      323.002 

27260041530    822.885     183.249     822.885     183.249 

27260049928    801.903     75.525      801.903     75.525  

27260058087    823.351     -12.594     823.351     -12.594 

27260066490    821.226     31.263      821.226     31.263  

27260074909    815.768     -20.128     815.768     -20.128 

27260083101    815.426     32.093      815.426     32.093  

27260091529    817.158     -18.443     817.158     -18.443 

27260099899    804.028     36.821      804.028     36.821  

27260108273    807.271     -20.03      807.271     -20.03  

27260124902    802.896     47.389      802.896     47.389  

27260133299    814.729     -22.846     814.729     -22.846 

27260141681    822.424     -24.941     822.424     -24.941 

27260149886    803.245     36.77       803.245     36.77   

27260158269    813.348     -17.359     813.348     -17.359 

27260166662    819.841     37.826      819.841     37.826  

27260174945    838.545     49.422      838.545     49.422  

27260183332    811.887     -20.191     811.887     -20.191 

27260191707    820.81      52.556      820.81      52.556  

27260200053    815.302     -7.873      815.302     -7.873  

27260208274    796.619     18.461      796.619     18.461  

27260216648    805.695     13.95       805.695     13.95   

27260225031    813.838     35.149      813.838     35.149  

27260233446    815.82      15.761      815.82      15.761  

27260241689    798.729     22.447      798.729     22.447  

27260250065    820.632     15.695      820.632     15.695  

27260258436    828.727     20.436      828.727     20.436  

27260266810    823.371     9.638       823.371     9.638   

27260275086    804.855     17.197      804.855     17.197  

27260283376    810.408     17.054      810.408     17.054  

27260291840    815.868     12.213      815.868     12.213  

27260308479    803.901     12.342      803.901     12.342  

27260316809    835.418     7.971       835.418     7.971   

27260325067    815.528     4.189       815.528     4.189   

27260333438    800.079     7.435       800.079     7.435   

27260341783    806.642     7.282       806.642     7.282   

27260350164    836.192     5.097       836.192     5.097   

27260358547    809.158     3.197       809.158     3.197   

27260366793    812.059     -12.497     812.059     -12.497 

27260375146    802.2       1.992       802.2       1.992   

27260383527    809.913     1.802       809.913     1.802   

27260391924    834.82      -1.476      834.82      -1.476  

27260400159    817.572     -2.328      817.572     -2.328  

27260408561    799.353     -0.609      799.353     -0.609  

27260416875    817.244     0.17        817.244     0.17    

27260425174    805.911     -3.962      805.911     -3.962  

27260433525    800.02      -4.924      800.02      -4.924  

27260441890    793.498     -11.029     793.498     -11.029 

27260450328    805.204     -11.183     805.204     -11.183 

27260458523    789.521     -7.8        789.521     -7.8    

27260466893    816.561     -9.549      816.561     -9.549  

27260475315    828.983     -12.977     828.983     -12.977 

27260483672    833.923     -13.048     833.923     -13.048 

27260491899    809.287     -19.449     809.287     -19.449 

27260500291    813.828     -29.945     813.828     -29.945 

27260508677    799.447     -30.002     799.447     -30.002 

27260516887    818.242     -32.44      818.242     -32.44  

27260525234    838.777     -30.229     838.777     -30.229 

27260533684    840.396     -35.864     840.396     -35.864 

27260542066    819.466     -37.802     819.466     -37.802 

27260550276    828.747     -41.546     828.747     -41.546 

27260558716    816.403     -41.75      816.403     -41.75  

27260567063    847.837     -42.039     847.837     -42.039 

27260575412    846.719     -39.101     846.719     -39.101 

27260583663    823.211     -35.861     823.211     -35.861 

27260592049    827.925     -38.721     827.925     -38.721 

27260600403    822.043     -36.488     822.043     -36.488 

27260608816    817.516     -34.501     817.516     -34.501 

27260617032    821.469     -36.741     821.469     -36.741 

27260625374    816.45      -33.087     816.45      -33.087 

27260633761    826.495     -34.477     826.495     -34.477 

27260641968    800.079     -30.893     800.079     -30.893 

27260650475    823.441     -28.917     823.441     -28.917 

27260658810    815.047     -28.116     815.047     -28.116 

27260667186    815.141     -31.734     815.141     -31.734 

27260675390    819.653     -29.454     819.653     -29.454 

27260683813    809.337     -28.024     809.337     -28.024 

27260692171    814.758     -30.208     814.758     -30.208 

27260700579    823.402     -29.929     823.402     -29.929 

27260708755    818.355     -25.035     818.355     -25.035 

27260717113    824.799     -28.949     824.799     -28.949 

27260725575    816.976     -28.186     816.976     -28.186 

27260733889    837.994     -31.471     837.994     -31.471 

27260742184    824.069     -27.84      824.069     -27.84  

27260750555    810.835     -29.516     810.835     -29.516 

27260758917    827.989     -24.41      827.989     -24.41  

27260767184    831.519     -26.725     831.519     -26.725 

27260775525    837.892     -28.866     837.892     -28.866 

27260783925    818.622     -27.685     818.622     -27.685 

27260792296    795.871     -24.926     795.871     -24.926 

27260800535    830.607     -26.122     830.607     -26.122 

27260808885    828.584     -32.322     828.584     -32.322 

27260817316    831.444     -29.467     831.444     -29.467 

27260825679    841.738     -30.685     841.738     -30.685 

27260833869    830.334     -35.65      830.334     -35.65  

27260842314    840.576     -35.124     840.576     -35.124 

27260850648    819.363     -33.182     819.363     -33.182 

27260859020    826.553     -35.672     826.553     -35.672 

27260867312    832.96      -36.541     832.96      -36.541 

27260875666    818.018     -34.416     818.018     -34.416 

27260884082    828.672     -43.119     828.672     -43.119 

27260892266    805.274     -40.584     805.274     -40.584 

27260900621    817.54      -45.45      817.54      -45.45  

27260909050    818.42      -42.469     818.42      -42.469 

27260917440    809.67      -42.367     809.67      -42.367 

27260925653    813.753     -43.977     813.753     -43.977 

27260934018    814.109     -42.975     814.109     -42.975 

27260942384    789.846     -44.388     789.846     -44.388 

27260950687    816.408     -43.211     816.408     -43.211 

27260959038    811.584     -42.783     811.584     -42.783 

27260967429    813.644     -46.973     813.644     -46.973 

27260975792    809.835     -45.809     809.835     -45.809 

27260984083    815.128     -46.042     815.128     -46.042 

27260992422    824.64      -43.374     824.64      -43.374 

27261000787    822.35      -43.934     822.35      -43.934 

27261009165    826.24      -40.558     826.24      -40.558 

27261017383    795.516     -42.354     795.516     -42.354 

27261025792    805.523     -43.444     805.523     -43.444 

27261034184    814.666     -40.388     814.666     -40.388 

27261042560    829.243     -40.473     829.243     -40.473 

27261050769    803.132     -37.243     803.132     -37.243 

27261059161    813.386     -36.865     813.386     -36.865 

27261067540    820.426     -42.202     820.426     -42.202 

27261075855    825.437     -68.044     825.437     -68.044 

27261084208    789.17      -41.855     789.17      -41.855 

27261092524    810.095     -43.97      810.095     -43.97  

27261100969    813.112     -39.151     813.112     -39.151 

27261109169    817.438     -31.33      817.438     -31.33  

27261117536    804.482     -54.72      804.482     -54.72  

27261125919    817.131     -47.47      817.131     -47.47  

27261134285    805.807     -48.547     805.807     -48.547 

27261142523    815.294     -46.072     815.294     -46.072 

27261150906    815.213     -57.69      815.213     -57.69  

