timeStamp      action  positionX     positionY     

start time: 26993091450

26993250149    move    833.00        541.00        

26993257754    move    832.00        542.00        

26993257952    move    832.00        544.00        

26993258036    move    830.00        545.00        

26993258248    move    829.00        547.00        

26993258442    move    827.00        548.00        

26993266163    move    827.00        550.00        

26993266220    move    826.00        551.00        

26993266423    move    824.00        553.00        

26993266525    move    824.00        554.00        

26993266620    move    823.00        554.00        

26993266716    move    823.00        556.00        

26993274577    move    821.00        557.00        

26993274677    move    821.00        559.00        

26993274776    move    820.00        559.00        

26993274879    move    820.00        560.00        

26993274985    move    818.00        562.00        

26993275098    move    818.00        563.00        

26993275175    move    817.00        565.00        

26993275271    move    815.00        566.00        

26993282755    move    815.00        568.00        

26993282853    move    814.00        569.00        

26993283061    move    812.00        571.00        

26993283154    move    811.00        572.00        

26993283253    move    811.00        574.00        

26993283341    move    809.00        575.00        

26993283453    move    809.00        577.00        

26993291046    move    808.00        578.00        

26993291149    move    806.00        580.00        

26993291248    move    806.00        581.00        

26993291348    move    805.00        583.00        

26993291447    move    803.00        584.00        

26993291551    move    803.00        586.00        

26993291646    move    802.00        587.00        

26993291746    move    800.00        590.00        

26993299485    move    799.00        592.00        

26993299587    move    797.00        593.00        

26993299694    move    796.00        595.00        

26993299787    move    796.00        596.00        

26993299875    move    794.00        598.00        

26993299991    move    793.00        599.00        

26993300084    move    791.00        602.00        

26993300185    move    790.00        604.00        

26993307760    move    788.00        605.00        

26993307876    move    788.00        607.00        

26993307961    move    787.00        608.00        

26993308060    move    785.00        610.00        

26993308160    move    784.00        611.00        

26993308259    move    782.00        613.00        

26993308361    move    781.00        616.00        

26993308465    move    779.00        617.00        

26993316066    move    778.00        619.00        

26993316155    move    776.00        620.00        

26993316270    move    775.00        623.00        

26993316367    move    773.00        625.00        

26993316467    move    772.00        626.00        

26993316567    move    770.00        628.00        

26993316657    move    769.00        629.00        

26993324463    move    767.00        631.00        

26993324536    move    766.00        632.00        

26993324636    move    764.00        634.00        

26993324730    move    763.00        637.00        

26993324828    move    761.00        638.00        

26993324920    move    760.00        640.00        

26993325034    move    758.00        641.00        

26993325129    move    757.00        643.00        

26993325235    move    755.00        644.00        

26993332830    move    752.00        646.00        

26993332928    move    751.00        649.00        

26993333028    move    749.00        649.00        

26993333128    move    748.00        652.00        

26993333229    move    746.00        653.00        

26993333330    move    745.00        655.00        

26993333429    move    743.00        656.00        

26993333529    move    742.00        659.00        

26993341174    move    740.00        661.00        

26993341261    move    739.00        662.00        

26993341373    move    737.00        664.00        

26993341477    move    736.00        665.00        

26993341573    move    734.00        667.00        

26993341875    move    731.00        670.00        

26993341993    move    730.00        671.00        

26993342082    move    728.00        673.00        

26993342171    move    727.00        674.00        

26993342297    move    725.00        676.00        

26993342395    move    724.00        677.00        

26993342459    move    722.00        679.00        

26993342578    move    721.00        680.00        

26993342670    move    719.00        682.00        

26993342771    move    718.00        683.00        

26993357750    move    718.00        685.00        

26993357863    move    716.00        686.00        

26993357945    move    715.00        688.00        

26993358048    move    713.00        689.00        

26993358157    move    712.00        691.00        

26993358254    move    712.00        692.00        

26993358349    move    710.00        694.00        

26993358458    move    709.00        695.00        

26993366261    move    707.00        695.00        

26993366318    move    707.00        697.00        

26993366432    move    706.00        698.00        

26993366531    move    704.00        700.00        

26993366632    move    704.00        701.00        

26993366736    move    703.00        701.00        

26993366932    move    701.00        704.00        

26993374686    move    700.00        706.00        

26993374774    move    700.00        707.00        

26993374885    move    698.00        707.00        

26993374976    move    698.00        709.00        

26993375072    move    697.00        710.00        

26993375268    move    695.00        712.00        

26993375367    move    695.00        713.00        

26993382831    move    694.00        713.00        

26993382922    move    694.00        715.00        

26993383024    move    692.00        715.00        

26993383140    move    692.00        716.00        

26993383235    move    691.00        716.00        

26993383330    move    691.00        718.00        

26993383435    move    689.00        719.00        

26993391198    move    688.00        721.00        

