timeStamp      action  positionX     positionY     

start time: 68586952948

68587053219    move    841.00        508.00        

68587053417    move    841.00        507.00        

68587053620    move    841.00        505.00        

68587061482    move    839.00        505.00        

68587061579    move    839.00        504.00        

68587061779    move    839.00        502.00        

68587061980    move    839.00        501.00        

68587069715    move    839.00        499.00        

68587069800    move    839.00        498.00        

68587070013    move    839.00        496.00        

68587070213    move    839.00        495.00        

68587070314    move    839.00        493.00        

68587078081    move    839.00        492.00        

68587078181    move    838.00        492.00        

68587078280    move    838.00        490.00        

68587078379    move    838.00        489.00        

68587078480    move    838.00        487.00        

68587078579    move    838.00        486.00        

68587078782    move    838.00        484.00        

68587086387    move    838.00        483.00        

68587086585    move    836.00        481.00        

68587086772    move    836.00        480.00        

68587086885    move    836.00        478.00        

68587086985    move    836.00        477.00        

68587087085    move    836.00        475.00        

68587094708    move    835.00        474.00        

68587094808    move    835.00        472.00        

68587094907    move    835.00        471.00        

68587095007    move    835.00        469.00        

68587095107    move    835.00        468.00        

68587095308    move    835.00        466.00        

68587095409    move    833.00        465.00        

68587103121    move    833.00        462.00        

68587103148    move    833.00        460.00        

68587103246    move    833.00        459.00        

68587103346    move    833.00        457.00        

68587103446    move    833.00        456.00        

68587103533    move    832.00        454.00        

68587103648    move    832.00        453.00        

68587103920    move    833.00        463.00        

68587111585    move    832.00        450.00        

68587111770    move    832.00        448.00        

68587111882    move    832.00        447.00        

68587111982    move    832.00        445.00        

68587112083    move    832.00        444.00        

68587112183    move    832.00        442.00        

68587119819    move    830.00        441.00        

68587119918    move    830.00        439.00        

68587120018    move    830.00        438.00        

68587120218    move    830.00        436.00        

68587120319    move    830.00        435.00        

68587120419    move    830.00        433.00        

68587120520    move    830.00        432.00        

68587128065    move    830.00        430.00        

68587128264    move    830.00        429.00        

68587128350    move    830.00        426.00        

68587128563    move    830.00        424.00        

68587128650    move    830.00        423.00        

68587136382    move    830.00        421.00        

68587136467    move    830.00        420.00        

68587136678    move    830.00        418.00        

68587136778    move    830.00        417.00        

68587136878    move    830.00        415.00        

68587136978    move    830.00        414.00        

68587137179    move    830.00        412.00        

68587137279    move    830.00        411.00        

68587144829    move    830.00        406.00        

68587145000    move    830.00        405.00        

68587145100    move    830.00        403.00        

68587145202    move    830.00        402.00        

68587145753    move    830.00        409.00        

68587145848    move    830.00        408.00        

68587153179    move    830.00        400.00        

68587153287    move    830.00        399.00        

68587153387    move    830.00        397.00        

68587153474    move    830.00        396.00        

68587153586    move    830.00        394.00        

68587153686    move    830.00        393.00        

68587153774    move    830.00        391.00        

68587161458    move    830.00        390.00        

68587161570    move    830.00        388.00        

68587161668    move    830.00        387.00        

68587161769    move    830.00        385.00        

68587161868    move    830.00        384.00        

68587161968    move    830.00        382.00        

68587162070    move    830.00        381.00        

68587162170    move    830.00        379.00        

68587169810    move    830.00        378.00        

68587169908    move    830.00        376.00        

68587170008    move    830.00        375.00        

68587170108    move    830.00        373.00        

68587170208    move    830.00        372.00        

68587170296    move    830.00        370.00        

68587170409    move    830.00        369.00        

68587170510    move    830.00        367.00        

68587178170    move    830.00        366.00        

68587178281    move    830.00        364.00        

68587178381    move    830.00        363.00        

68587178468    move    830.00        360.00        

68587178580    move    830.00        358.00        

68587178681    move    831.00        357.00        

68587178780    move    831.00        355.00        

68587186582    move    831.00        351.00        

68587186661    move    831.00        349.00        

68587186761    move    831.00        348.00        

68587186861    move    831.00        345.00        

68587186961    move    831.00        343.00        

68587187062    move    831.00        342.00        

68587187161    move    831.00        340.00        

68587187345    move    831.00        354.00        

68587187424    move    831.00        352.00        

68587194808    move    831.00        339.00        

68587194908    move    831.00        337.00        

