timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 89587263573
89587263573    836.661     501.698     836.661     501.698 

89587271946    835.754     503.379     835.754     503.379 

89587280321    839.307     503.951     839.307     503.951 

89587288556    842.482     503.864     842.482     503.864 

89587305340    840.77      504.2       840.77      504.2   

89587313698    840.15      504.594     840.15      504.594 

89587321935    838.446     503.982     838.446     503.982 

89587330313    837.322     505.226     837.322     505.226 

89587338693    836.261     506.5       836.261     506.5   

89587347078    831.734     507.227     831.734     507.227 

89587355322    827.461     507.913     827.461     507.913 

89587363686    828.984     508.153     828.984     508.153 

89587372052    827.365     509.936     827.365     509.936 

89587380309    826.347     509.543     826.347     509.543 

89587388699    826.299     509.622     826.299     509.622 

89587405441    827.267     511.212     827.267     511.212 

89587413704    829.013     511.89      829.013     511.89  

89587422082    832.156     511.649     832.156     511.649 

89587430440    947.149     512.422     947.149     512.422 

89587438804    1130.105    512.631     1130.105    512.631 

89587447063    1235.166    511.965     1235.166    511.965 

89587455431    1322.68     512.809     1322.68     512.809 

89587463814    1320.974    513.414     1320.974    513.414 

89587472060    1313.617    511.634     1313.617    511.634 

89587480427    1325.671    511.026     1325.671    511.026 

89587488800    1320.913    511.143     1320.913    511.143 

89587497204    1323.99     511.244     1323.99     511.244 

89587505457    1328.063    510.057     1328.063    510.057 

89587513810    1318.288    509.505     1318.288    509.505 

89587522177    1322.589    509.052     1322.589    509.052 

89587530558    1321.271    507.897     1321.271    507.897 

89587538806    1323.486    508.712     1323.486    508.712 

89587547199    1323.943    507.198     1323.943    507.198 

89587555579    1325.956    507.335     1325.956    507.335 

89587563939    1331.237    508.95      1331.237    508.95  

89587572178    1331.21     508.484     1331.21     508.484 

89587580561    1329.241    507.75      1329.241    507.75  

89587588958    1326.134    504.168     1326.134    504.168 

89587597202    1327.512    503.663     1327.512    503.663 

89587605553    1329.736    501.341     1329.736    501.341 

89587613941    1327.853    497.526     1327.853    497.526 

89587622303    1325.668    498.262     1325.668    498.262 

89587630564    1326.754    496.12      1326.754    496.12  

89587638941    1326.295    498.029     1326.295    498.029 

89587647319    1329.75     497.869     1329.75     497.869 

89587655679    1326.889    496.446     1326.889    496.446 

89587663944    1328.443    496.398     1328.443    496.398 

89587672320    1326.878    496.834     1326.878    496.834 

89587680690    1329.718    499.934     1329.718    499.934 

89587689070    1332.48     500.558     1332.48     500.558 

89587697305    1332.401    506.469     1332.401    506.469 

89587705680    1332.281    507.108     1332.281    507.108 

89587714076    1330.745    510.349     1330.745    510.349 

89587722322    1333.83     511.46      1333.83     511.46  

89587730682    1332.461    515.486     1332.461    515.486 

89587739070    1332.176    517.6       1332.176    517.6   

89587747439    1326.982    521.671     1326.982    521.671 

89587755699    1330.429    520.852     1330.429    520.852 

89587764057    1328.956    518.965     1328.956    518.965 

89587772426    1328.143    516.134     1328.143    516.134 

89587780817    1324.952    511.446     1324.952    511.446 

89587789054    1329.019    509.28      1329.019    509.28  

89587797435    1333.532    508.982     1333.532    508.982 

89587805820    1340.067    505.486     1340.067    505.486 

89587814193    1341.724    503.813     1341.724    503.813 

89587822434    1342.21     500.024     1342.21     500.024 

89587830810    1342.068    497.409     1342.068    497.409 

89587839197    1343.582    494.538     1343.582    494.538 

89587847434    1339.782    493.179     1339.782    493.179 

89587855796    1340.473    493.246     1340.473    493.246 

89587864178    1338.908    491.802     1338.908    491.802 

89587872559    1338.17     489.853     1338.17     489.853 

