timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 116942344546
116942344546   844.91      538.202     844.91      538.202 

116942352903   845.074     539.926     845.074     539.926 

116942369524   845.336     542.535     845.336     542.535 

116942377893   845.749     542.788     845.749     542.788 

116942386277   846.228     543.31      846.228     543.31  

116942394558   846.799     544.611     846.799     544.611 

116942402896   846.104     545.27      846.104     545.27  

116942411264   846.115     544.373     846.115     544.373 

116942419651   847.01      544.481     847.01      544.481 

116942427906   848.215     545.144     848.215     545.144 

116942436264   848.814     545.048     848.814     545.048 

116942444648   849.939     543.977     849.939     543.977 

116942453012   851.726     543.316     851.726     543.316 

116942461263   852.991     544.022     852.991     544.022 

116942469647   853.704     543.34      853.704     543.34  

116942478039   853.812     542.384     853.812     542.384 

116942486388   854.273     541.383     854.273     541.383 

116942494652   854.576     540.662     854.576     540.662 

116942503019   854.649     540.21      854.649     540.21  

116942511387   854.158     539.635     854.158     539.635 

116942519782   853.859     538.784     853.859     538.784 

116942528017   853.365     538.531     853.365     538.531 

116942536386   851.815     539.912     851.815     539.912 

116942544770   853.007     540.592     853.007     540.592 

116942553058   943.879     583.069     943.879     583.069 

116942569787   1192.39     740.144     1192.39     740.144 

116942578152   1213.746    792.286     1213.746    792.286 

116942586514   1211.71     823.101     1211.71     823.101 

116942594775   1219.327    826.953     1219.327    826.953 

116942603151   1221.507    824.365     1221.507    824.365 

116942611516   1220.647    825.738     1220.647    825.738 

116942619889   1222.281    826.46      1222.281    826.46  

116942628176   1223.502    827.569     1223.502    827.569 

116942636508   1223.577    827.208     1223.577    827.208 

116942644916   1222.525    825.977     1222.525    825.977 

116942653175   1223.074    826.721     1223.074    826.721 

116942661512   1224.584    825.572     1224.584    825.572 

116942669907   1224.291    827.259     1224.291    827.259 

116942678260   1225.316    826.873     1225.316    826.873 

116942686536   1225.47     826.644     1225.47     826.644 

116942694912   1225.086    827.049     1225.086    827.049 

116942703252   1225.101    826.208     1225.101    826.208 

116942711658   1225.353    827.495     1225.353    827.495 

116942719910   1225.11     828.087     1225.11     828.087 

116942728286   1225.548    828.053     1225.548    828.053 

116942736655   1226.47     828.214     1226.47     828.214 

116942745066   1226.883    829.909     1226.883    829.909 

116942753253   1226.742    831.074     1226.742    831.074 

116942761643   1227.846    831.838     1227.846    831.838 

116942770026   1227.699    832.764     1227.699    832.764 

116942778408   1224.345    834.629     1224.345    834.629 

116942786653   1222.272    836.358     1222.272    836.358 

116942795038   1220.276    839.241     1220.276    839.241 

116942803389   1216.84     842.596     1216.84     842.596 

116942811782   1216.101    843.235     1216.101    843.235 

116942820187   1214.202    845.661     1214.202    845.661 

116942828403   1210.475    847.382     1210.475    847.382 

116942836758   1211.497    848.29      1211.497    848.29  

116942845181   1209.378    850.65      1209.378    850.65  

116942853379   1207.196    851.169     1207.196    851.169 

116942861780   1204.932    851.794     1204.932    851.794 

116942870154   1205.356    852.89      1205.356    852.89  

116942878527   1205.917    853.679     1205.917    853.679 

116942886781   1206.153    854.278     1206.153    854.278 

116942895152   1206.587    853.535     1206.587    853.535 

116942903505   1205.846    853.894     1205.846    853.894 

116942911908   1205.614    853.584     1205.614    853.584 

116942920157   1206.083    853.292     1206.083    853.292 

116942928522   1205.495    853.836     1205.495    853.836 

116942936893   1204.995    853.482     1204.995    853.482 

116942945262   1205.312    854.43      1205.312    854.43  

116942953540   1206.167    854.657     1206.167    854.657 

116942961896   1206.019    854.205     1206.019    854.205 

116942970276   1205.672    854.151     1205.672    854.151 

116942978641   1205.57     854.394     1205.57     854.394 

116942986906   1205.779    854.384     1205.779    854.384 

116942995265   1206.474    854.256     1206.474    854.256 

116943003667   1206.535    854.372     1206.535    854.372 

116943012020   1206.75     855.031     1206.75     855.031 

116943020381   1207.001    855.131     1207.001    855.131 

116943028638   1207.075    855.614     1207.075    855.614 

116943037015   1206.816    854.607     1206.816    854.607 

116943045399   1206.45     854.046     1206.45     854.046 

116943053759   1206.487    854.205     1206.487    854.205 

116943062013   1207.103    853.854     1207.103    853.854 

116943070393   1207.637    853.282     1207.637    853.282 

116943078763   1207.982    852.417     1207.982    852.417 

116943087158   1207.509    852.271     1207.509    852.271 

116943095385   1208.044    852.832     1208.044    852.832 

116943103756   1208.553    852.576     1208.553    852.576 

116943112188   1209.346    852.737     1209.346    852.737 

116943120512   1210.107    852.604     1210.107    852.604 

116943128765   1210.638    853.195     1210.638    853.195 

116943137143   1210.148    854.409     1210.148    854.409 

116943145506   1210.717    855.277     1210.717    855.277 

116943153891   1209.98     855.235     1209.98     855.235 

116943162136   1210.182    855.699     1210.182    855.699 

116943170519   1210.336    856.752     1210.336    856.752 

116943178903   1211.168    857.409     1211.168    857.409 

116943187275   1211.126    856.567     1211.126    856.567 

116943195510   1210.987    856.314     1210.987    856.314 

116943203889   1210.233    854.72      1210.233    854.72  

116943212258   1209.701    854.773     1209.701    854.773 

116943220642   1208.855    853.518     1208.855    853.518 

116943228879   1210.021    852.846     1210.021    852.846 

116943237285   1209.636    852.4       1209.636    852.4   

116943245632   1210.153    851.364     1210.153    851.364 

116943254005   1209.091    850.642     1209.091    850.642 

116943270644   1208.183    850.952     1208.183    850.952 

116943279007   1207.981    851.579     1207.981    851.579 

116943287383   1207.942    851.527     1207.942    851.527 

116943295635   1207.295    853.387     1207.295    853.387 

116943304002   1207.14     853.154     1207.14     853.154 

116943312404   1207.202    854.847     1207.202    854.847 

116943320758   1206.847    856.26      1206.847    856.26  

116943329010   1207.535    856.658     1207.535    856.658 

116943337381   1208.535    857.656     1208.535    857.656 

116943345760   1208.893    857.871     1208.893    857.871 

116943354159   1208.752    857.744     1208.752    857.744 

116943362389   1208.331    857.44      1208.331    857.44  

116943370761   1208.19     857.712     1208.19     857.712 

