timeStamp      action  positionX     positionY     

start time: 116890997106

116891264775   move    855.00        523.00        

116891272548   move    857.00        523.00        

116891272845   move    858.00        523.00        

116891272944   move    860.00        523.00        

116891273132   move    863.00        523.00        

116891280727   move    864.00        523.00        

116891280825   move    866.00        523.00        

116891280925   move    867.00        523.00        

116891281112   move    870.00        523.00        

116891281224   move    872.00        523.00        

116891281324   move    873.00        523.00        

116891281425   move    875.00        523.00        

116891289070   move    876.00        523.00        

116891289166   move    878.00        523.00        

116891289253   move    879.00        523.00        

116891289365   move    881.00        523.00        

116891289465   move    882.00        523.00        

116891289565   move    885.00        523.00        

116891289665   move    887.00        523.00        

116891289765   move    888.00        523.00        

116891289866   move    891.00        523.00        

116891297621   move    896.00        523.00        

116891297720   move    897.00        523.00        

116891297819   move    900.00        523.00        

116891297919   move    903.00        523.00        

116891298008   move    905.00        523.00        

116891298120   move    908.00        523.00        

116891298381   move    893.00        523.00        

116891305729   move    911.00        523.00        

116891305809   move    912.00        523.00        

116891305921   move    915.00        524.00        

116891306020   move    918.00        524.00        

116891306109   move    920.00        524.00        

116891306221   move    923.00        524.00        

116891306320   move    926.00        524.00        

116891306421   move    929.00        524.00        

116891314081   move    932.00        524.00        

116891314171   move    933.00        524.00        

116891314271   move    936.00        526.00        

116891314370   move    939.00        526.00        

116891314470   move    942.00        526.00        

116891314570   move    945.00        526.00        

116891314671   move    948.00        526.00        

116891314770   move    951.00        526.00        

116891314871   move    954.00        527.00        

116891315072   move    957.00        527.00        

116891315173   move    960.00        527.00        

116891315271   move    965.00        527.00        

116891315371   move    968.00        527.00        

116891315470   move    971.00        529.00        

116891315558   move    972.00        529.00        

116891315671   move    975.00        529.00        

116891330858   move    978.00        529.00        

116891330942   move    981.00        529.00        

116891331054   move    984.00        529.00        

116891331154   move    987.00        530.00        

116891331242   move    990.00        530.00        

116891331354   move    993.00        530.00        

116891331454   move    996.00        530.00        

116891331555   move    999.00        530.00        

116891339091   move    1002.00       532.00        

116891339187   move    1005.00       532.00        

116891339285   move    1008.00       532.00        

116891339385   move    1011.00       532.00        

116891339485   move    1014.00       532.00        

116891339584   move    1017.00       533.00        

116891339685   move    1020.00       533.00        

116891339784   move    1023.00       533.00        

116891347590   move    1031.00       535.00        

116891347628   move    1032.00       535.00        

116891347715   move    1035.00       535.00        

116891347827   move    1038.00       535.00        

116891347927   move    1041.00       535.00        

116891348014   move    1044.00       536.00        

116891348128   move    1046.00       536.00        

116891348392   move    1026.00       533.00        

116891355847   move    1049.00       536.00        

116891355932   move    1052.00       536.00        

116891356044   move    1055.00       538.00        

116891356143   move    1056.00       538.00        

116891356243   move    1059.00       538.00        

116891356343   move    1062.00       538.00        

116891356443   move    1064.00       538.00        

116891356545   move    1067.00       539.00        

116891356644   move    1068.00       539.00        

116891364289   move    1071.00       539.00        

116891364388   move    1074.00       539.00        

116891364488   move    1076.00       539.00        

116891364587   move    1079.00       539.00        

116891364687   move    1080.00       541.00        

116891364787   move    1082.00       541.00        

116891364989   move    1086.00       541.00        

116891372615   move    1088.00       541.00        

116891372726   move    1089.00       541.00        

116891372826   move    1092.00       542.00        

116891372913   move    1094.00       542.00        

116891373025   move    1095.00       542.00        

116891373125   move    1097.00       542.00        

116891373213   move    1098.00       542.00        

116891373327   move    1101.00       542.00        

116891380844   move    1103.00       542.00        

116891380931   move    1104.00       542.00        

116891381042   move    1106.00       544.00        

116891381143   move    1107.00       544.00        

116891381243   move    1109.00       544.00        

116891381343   move    1110.00       544.00        

116891381443   move    1112.00       544.00        

116891381645   move    1115.00       544.00        

116891389289   move    1118.00       544.00        

116891389443   move    1119.00       545.00        

116891389542   move    1121.00       545.00        

116891389630   move    1122.00       545.00        

116891389844   move    1124.00       545.00        

116891390113   move    1116.00       544.00        

116891397624   move    1125.00       545.00        

116891397836   move    1127.00       545.00        

116891398036   move    1128.00       545.00        

116891398135   move    1130.00       545.00        

116891398336   move    1131.00       545.00        

116891405965   move    1133.00       545.00        

116891406163   move    1134.00       545.00        

116891406363   move    1136.00       545.00        

116891406463   move    1136.00       547.00        

116891406564   move    1137.00       547.00        

116891414286   move    1139.00       547.00        

116891414585   move    1140.00       547.00        

116891414885   move    1142.00       547.00        

116891415074   move    1143.00       547.00        

116891422767   move    1145.00       547.00        

116891422960   move    1146.00       547.00        

116891431050   move    1149.00       547.00        

116891431238   move    1151.00       547.00        

116891431437   move    1152.00       547.00        

116891431621   move    1148.00       547.00        

116891439300   move    1154.00       547.00        

116891439486   move    1155.00       547.00        

116891439598   move    1157.00       547.00        

116891439898   move    1158.00       547.00        

116891447647   move    1160.00       547.00        

116891447858   move    1161.00       547.00        

116891447957   move    1163.00       547.00        

116891448157   move    1164.00       547.00        

116891448359   move    1166.00       547.00        

116891455971   move    1167.00       547.00        

116891456162   move    1169.00       547.00        

116891456261   move    1170.00       547.00        

116891456450   move    1172.00       547.00        

116891456561   move    1173.00       547.00        

116891456763   move    1175.00       547.00        

116891464392   move    1176.00       547.00        

116891464490   move    1178.00       547.00        

116891464690   move    1179.00       547.00        

116891464879   move    1181.00       547.00        

116891464979   move    1182.00       547.00        

116891472806   move    1185.00       547.00        

116891472923   move    1187.00       547.00        

116891473022   move    1188.00       547.00        

116891473222   move    1190.00       547.00        

116891473323   move    1191.00       547.00        

116891473584   move    1184.00       547.00        

116891481055   move    1193.00       547.00        

116891481142   move    1194.00       547.00        

116891481354   move    1196.00       547.00        

116891481441   move    1197.00       547.00        

116891481654   move    1199.00       547.00        

116891481754   move    1200.00       547.00        

116891489386   move    1202.00       547.00        

116891489786   move    1203.00       547.00        

116891489885   move    1205.00       546.00        

116891490086   move    1206.00       546.00        

116891497841   move    1208.00       546.00        

116891497940   move    1209.00       546.00        

116891498140   move    1211.00       546.00        

116891498339   move    1212.00       546.00        

116891506173   move    1214.00       546.00        

116891506371   move    1215.00       546.00        

116891506558   move    1217.00       546.00        

116891506772   move    1218.00       546.00        

116891514483   move    1220.00       546.00        

116891514781   move    1221.00       546.00        

116891515082   move    1223.00       546.00        

116891522921   move    1226.00       544.00        

116891523772   move    1224.00       546.00        

