timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 16229925419
16229925419    836.384     515.41      836.384     515.41  

16229933776    851.176     497.407     851.176     497.407 

16229942181    847.329     505.708     847.329     505.708 

16229950452    850.173     498.186     850.173     498.186 

16229958822    853.973     497.353     853.973     497.353 

16229967207    853.366     502.205     853.366     502.205 

16229975574    861.217     503.555     861.217     503.555 

16229983807    860.655     500.237     860.655     500.237 

16229992167    846.135     500.848     846.135     500.848 

16230000483    851.991     503.371     851.991     503.371 

16230008872    862.625     502.178     862.625     502.178 

16230017207    864.917     500.152     864.917     500.152 

16230025578    864.506     502.763     864.506     502.763 

16230033973    853.948     498.926     853.948     498.926 

16230042319    853.838     500.718     853.838     500.718 

16230050514    846.626     504.047     846.626     504.047 

16230058908    852.164     502.449     852.164     502.449 

16230067305    856.553     500.359     856.553     500.359 

16230075560    851.142     502.237     851.142     502.237 

16230083927    853.283     501.28      853.283     501.28  

16230092316    853.417     500.108     853.417     500.108 

16230100656    851.609     497.613     851.609     497.613 

16230108894    844.805     497.866     844.805     497.866 

16230117290    781.232     485.642     781.232     485.642 

16230125624    631.991     364.819     631.991     364.819 

16230134061    548.724     271.575     548.724     271.575 

16230142301    518.048     212.67      518.048     212.67  

16230159034    480.938     169.149     480.938     169.149 

16230167314    478.906     149.285     478.906     149.285 

16230175603    474.791     135.985     474.791     135.985 

16230184055    489.229     125.715     489.229     125.715 

16230192358    479.999     127.799     479.999     127.799 

16230200649    487.53      119.276     487.53      119.276 

16230209043    478.373     115.929     478.373     115.929 

16230217422    474.667     115.027     474.667     115.027 

16230225711    469.28      113.801     469.28      113.801 

16230234006    482.271     113.809     482.271     113.809 

16230242389    476.834     111.394     476.834     111.394 

16230250749    471.971     108.562     471.971     108.562 

16230259280    464.97      104.875     464.97      104.875 

16230267394    459.81      98.417      459.81      98.417  

16230275748    443.207     89.284      443.207     89.284  

16230284229    460.657     79.894      460.657     79.894  

16230292409    467.945     92.149      467.945     92.149  

16230300754    465.985     83.063      465.985     83.063  

16230309221    450.79      76.003      450.79      76.003  

16230317546    454.247     74.738      454.247     74.738  

16230325769    439.004     67.416      439.004     67.416  

16230334173    447.111     70.208      447.111     70.208  

16230342599    448.536     71.658      448.536     71.658  

16230350905    447.923     75.081      447.923     75.081  

16230359180    447.877     78.825      447.877     78.825  

16230367536    450.924     85.467      450.924     85.467  

16230375983    450.788     91.195      450.788     91.195  

16230384262    454.257     96.414      454.257     96.414  

16230392617    451.488     92.037      451.488     92.037  

16230400894    454.928     97.352      454.928     97.352  

16230409292    462.605     97.593      462.605     97.593  

16230417558    465.006     99.383      465.006     99.383  

16230426871    459.319     99.09       459.319     99.09   

16230434978    458.801     93.598      458.801     93.598  

16230443666    460.042     99.382      460.042     99.382  

16230451607    466.064     101.556     466.064     101.556 

16230462746    467.073     100.867     467.073     100.867 

16230468308    467.487     97.975      467.487     97.975  

16230476806    467.495     94.56       467.495     94.56   

16230484487    471.15      97.684      471.15      97.684  

16230492934    469.673     95.769      469.673     95.769  

16230501282    471.108     95.941      471.108     95.941  

16230509573    469.251     95.815      469.251     95.815  

16230517861    473.078     94.023      473.078     94.023  

16230526301    473.632     94.939      473.632     94.939  

16230534617    474.756     93.087      474.756     93.087  

16230542939    474.855     92.196      474.855     92.196  

16230551229    476.942     92.97       476.942     92.97   

16230559671    476.858     93.41       476.858     93.41   

16230567996    476.489     92.145      476.489     92.145  

16230576256    476.02      91.281      476.02      91.281  

16230584640    476.377     91.515      476.377     91.515  

16230592977    476.06      91.341      476.06      91.341  

16230601445    474.368     91.05       474.368     91.05   

16230609679    472.655     92.144      472.655     92.144  

16230618081    470.32      90.899      470.32      90.899  

16230626399    464.134     89.439      464.134     89.439  

16230634625    451.491     82.893      451.491     82.893  

16230643008    456.53      81.256      456.53      81.256  

16230651370    445.964     72.795      445.964     72.795  

16230659703    450.432     66.287      450.432     66.287  

16230667993    443.045     64.656      443.045     64.656  

16230676345    451.394     51.701      451.394     51.701  

16230684760    449.277     55.807      449.277     55.807  

16230693092    445.049     56.714      445.049     56.714  

16230701366    440.492     50.767      440.492     50.767  

16230709698    435.969     49.617      435.969     49.617  

16230718145    430.947     41.949      430.947     41.949  

16230726694    433.497     41.107      433.497     41.107  

16230734705    426.943     37.388      426.943     37.388  

16230743056    433.325     36.329      433.325     36.329  

16230751600    430.242     35.91       430.242     35.91   

16230768141    427.648     36.999      427.648     36.999  

16230776500    425.057     40.31       425.057     40.31   

16230784913    424.171     43.568      424.171     43.568  

16230793124    425.605     51.22       425.605     51.22   

16230801514    433.177     57.256      433.177     57.256  

16230809999    435.84      69.855      435.84      69.855  

16230818272    439.154     80.792      439.154     80.792  

16230826661    441.964     86.264      441.964     86.264  

16230834895    452.199     97.462      452.199     97.462  

16230843352    448.481     100.535     448.481     100.535 

16230851629    455.65      107.302     455.65      107.302 

