timeStamp      action  positionX     positionY     

start time: 15816736913

15816880359    move    856.00        515.00        

15816880536    move    856.00        513.00        

15816887655    move    860.00        510.00        

15816889016    move    857.00        513.00        

15816889217    move    857.00        512.00        

15816901625    move    862.00        509.00        

15816901645    move    863.00        507.00        

15816901845    move    865.00        506.00        

15816902047    move    866.00        506.00        

15816911786    move    866.00        504.00        

15816911907    move    868.00        504.00        

15816912015    move    868.00        503.00        

15816912164    move    869.00        503.00        

15816912227    move    869.00        501.00        

15816912322    move    871.00        501.00        

15816918800    move    872.00        500.00        

15816918911    move    874.00        500.00        

15816918971    move    874.00        498.00        

15816925061    move    875.00        498.00        

15816925153    move    877.00        497.00        

15816929741    move    880.00        494.00        

15816929809    move    881.00        494.00        

15816929868    move    878.00        495.00        

15816929883    move    883.00        492.00        

15816929991    move    884.00        492.00        

15816930081    move    884.00        491.00        

15816936428    move    886.00        491.00        

15816936526    move    887.00        489.00        

15816936614    move    889.00        489.00        

15816936726    move    890.00        488.00        

15816936826    move    892.00        488.00        

15816936913    move    893.00        486.00        

15816937028    move    895.00        486.00        

15816937127    move    896.00        485.00        

15816944756    move    898.00        483.00        

15816944851    move    899.00        483.00        

15816944948    move    901.00        482.00        

15816945048    move    902.00        482.00        

15816945148    move    904.00        480.00        

15816945347    move    905.00        480.00        

15816945464    move    907.00        479.00        

15816953064    move    908.00        477.00        

15816953179    move    910.00        477.00        

15816953256    move    911.00        476.00        

15816953356    move    913.00        476.00        

15816953440    move    914.00        474.00        

15816953555    move    916.00        473.00        

15816953645    move    919.00        473.00        

15816953746    move    920.00        471.00        

15816961284    move    922.00        471.00        

15816961391    move    923.00        470.00        

15816961490    move    925.00        468.00        

15816961580    move    926.00        468.00        

15816961691    move    928.00        467.00        

15816961880    move    931.00        465.00        

15816961982    move    932.00        465.00        

15816962084    move    934.00        464.00        

15816969751    move    935.00        462.00        

15816969838    move    937.00        462.00        

15816969940    move    938.00        461.00        

15816970040    move    940.00        461.00        

15816970136    move    941.00        459.00        

15816970330    move    943.00        458.00        

15816970429    move    944.00        458.00        

15816978267    move    947.00        455.00        

15816978302    move    949.00        453.00        

15816978370    move    950.00        453.00        

15816978468    move    952.00        452.00        

15816978568    move    953.00        450.00        

15816978670    move    955.00        450.00        

15816978766    move    956.00        449.00        

15816978956    move    946.00        456.00        

15816986584    move    958.00        449.00        

15816986683    move    959.00        447.00        

15816986783    move    961.00        446.00        

15816986886    move    962.00        446.00        

15816986983    move    964.00        444.00        

15816987073    move    965.00        444.00        

15816987190    move    965.00        443.00        

15816987289    move    967.00        443.00        

15816987381    move    968.00        441.00        

15816987481    move    970.00        440.00        

15816987579    move    971.00        440.00        

15816994715    move    973.00        438.00        

15816994926    move    974.00        438.00        

15816995010    move    974.00        437.00        

15816995105    move    976.00        435.00        

15817003141    move    977.00        435.00        

15817003211    move    979.00        434.00        

15817003397    move    980.00        432.00        

15817003485    move    982.00        432.00        

15817003598    move    983.00        431.00        

15817003699    move    985.00        431.00        

15817003796    move    986.00        429.00        

15817011474    move    988.00        429.00        

15817011577    move    988.00        428.00        

15817011664    move    989.00        426.00        

15817011777    move    991.00        426.00        

15817011876    move    992.00        425.00        

15817011976    move    994.00        425.00        

15817012066    move    995.00        423.00        

15817019642    move    997.00        422.00        

15817019721    move    998.00        420.00        

15817019837    move    1000.00       420.00        

15817019936    move    1001.00       419.00        

15817020036    move    1001.00       417.00        

15817020255    move    1003.00       417.00        

15817020335    move    1004.00       416.00        

15817020435    move    1006.00       416.00        

15817028234    move    1010.00       411.00        

15817028335    move    1012.00       410.00        

15817028432    move    1013.00       410.00        

15817028528    move    1015.00       408.00        

15817028625    move    1016.00       407.00        

15817028926    move    1007.00       414.00        

