timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 363246913872
363246913872   834.475     543.831     834.475     543.831 

363246922240   836.174     543.317     836.174     543.317 

363246930479   835.028     542.427     835.028     542.427 

363246938864   835.568     542.13      835.568     542.13  

363246947231   835.361     542.05      835.361     542.05  

363246955621   836.89      542.624     836.89      542.624 

363246963857   837.182     543.757     837.182     543.757 

363246972270   839.011     543.503     839.011     543.503 

363246980605   840.925     544.562     840.925     544.562 

363246988978   840.699     544.775     840.699     544.775 

363246997241   841.643     546.577     841.643     546.577 

363247005615   846.843     547.852     846.843     547.852 

363247013981   967.594     555.865     967.594     555.865 

363247022357   1065.548    595.076     1065.548    595.076 

363247030606   1172.601    701.999     1172.601    701.999 

363247038985   1217.576    765.852     1217.576    765.852 

363247047398   1200.106    832.093     1200.106    832.093 

363247055731   1203.807    878.974     1203.807    878.974 

363247063975   1210.525    902.02      1210.525    902.02  

363247072390   1210.785    913.84      1210.785    913.84  

363247080729   1213.885    922.972     1213.885    922.972 

363247089116   1212.816    922.998     1212.816    922.998 

363247105737   1215.722    922.442     1215.722    922.442 

363247114101   1216.37     923.509     1216.37     923.509 

363247122483   1216.873    920.61      1216.873    920.61  

363247130741   1215.87     920.662     1215.87     920.662 

363247139109   1218.494    919.979     1218.494    919.979 

363247147485   1219.413    920.999     1219.413    920.999 

363247155855   1220.288    920.301     1220.288    920.301 

363247164101   1220.795    919.629     1220.795    919.629 

363247172486   1221.197    918.46      1221.197    918.46  

363247180866   1221.435    917.22      1221.435    917.22  

363247189271   1221.429    917.314     1221.429    917.314 

363247205858   1220.524    917.075     1220.524    917.075 

363247214261   1220.534    917.084     1220.534    917.084 

363247222612   1221.93     916.675     1221.93     916.675 

363247230862   1218.933    916.541     1218.933    916.541 

363247239238   1206.491    915.287     1206.491    915.287 

363247247608   1204.596    913.249     1204.596    913.249 

363247255983   1196.589    912.294     1196.589    912.294 

363247264278   1197.597    911.564     1197.597    911.564 

363247272615   1194.647    909.912     1194.647    909.912 

363247280992   1192.802    908.304     1192.802    908.304 

363247289395   1192.817    906.298     1192.817    906.298 

363247297606   1190.604    905.309     1190.604    905.309 

363247305991   1185.914    904.116     1185.914    904.116 

363247314386   1185.869    902.668     1185.869    902.668 

363247322739   1184.901    901.627     1184.901    901.627 

363247330994   1186.159    900.671     1186.159    900.671 

363247339362   1188.587    900.441     1188.587    900.441 

363247347751   1189.817    900.731     1189.817    900.731 

363247356119   1189.797    900.245     1189.797    900.245 

363247364362   1190.318    900.251     1190.318    900.251 

363247372735   1189.684    899.502     1189.684    899.502 

363247381112   1190.336    898.731     1190.336    898.731 

363247389482   1189.949    898.432     1189.949    898.432 

363247397757   1190.768    898.669     1190.768    898.669 

363247406115   1190.879    899.397     1190.879    899.397 

363247414477   1191.118    899.218     1191.118    899.218 

363247422863   1191.504    900.109     1191.504    900.109 

363247431122   1189.563    900.652     1189.563    900.652 

363247439479   1189.764    899.945     1189.764    899.945 

363247447882   1190.467    899.373     1190.467    899.373 

363247456272   1190.67     898.765     1190.67     898.765 

363247464497   1191.146    898.796     1191.146    898.796 

363247472863   1192.21     898.796     1192.21     898.796 

363247481295   1193.484    898.063     1193.484    898.063 

363247489618   1194.061    897.539     1194.061    897.539 

363247497869   1195.478    896.954     1195.478    896.954 

363247506240   1196.22     896.326     1196.22     896.326 

363247514606   1196.017    895.955     1196.017    895.955 

363247522983   1197.892    895.735     1197.892    895.735 

363247531271   1198.288    893.761     1198.288    893.761 

363247539612   1197.968    893.902     1197.968    893.902 

363247547993   1198.242    892.943     1198.242    892.943 

363247556369   1199.111    892.017     1199.111    892.017 

363247564637   1199.034    892.085     1199.034    892.085 

363247572984   1198.082    892.335     1198.082    892.335 

363247581374   1199.156    892.697     1199.156    892.697 

363247589734   1198.501    892.426     1198.501    892.426 

363247597997   1198.083    892.275     1198.083    892.275 

363247606360   1197.856    892.793     1197.856    892.793 

363247614751   1197.634    892.58      1197.634    892.58  

363247623113   1197.793    894.32      1197.793    894.32  

363247631380   1197.383    895.003     1197.383    895.003 

363247639730   1197.563    895.745     1197.563    895.745 

363247648123   1196.529    896.186     1196.529    896.186 

363247656490   1195.615    896.713     1195.615    896.713 

363247664765   1195.385    896.446     1195.385    896.446 

363247673108   1195.141    896.399     1195.141    896.399 

363247681480   1194.675    895.346     1194.675    895.346 

363247689858   1194.313    896.87      1194.313    896.87  

363247706493   1187.55     895.372     1187.55     895.372 

363247714860   1184.426    894.819     1184.426    894.819 

363247723269   1181.799    895.03      1181.799    895.03  

363247731502   1180.496    895.616     1180.496    895.616 

363247739860   1178.381    894.682     1178.381    894.682 

363247748236   1178.181    894.059     1178.181    894.059 

363247756610   1174.99     894.105     1174.99     894.105 

