timeStamp      action  positionX     positionY     

start time: 363273881192

363274047978   move    833.00        509.00        

363274048075   move    833.00        508.00        

363274048275   move    833.00        507.00        

363274048376   move    833.00        506.00        

363274056213   move    833.00        505.00        

363274056312   move    833.00        503.00        

363274056511   move    833.00        502.00        

363274056611   move    833.00        501.00        

363274056814   move    833.00        500.00        

363274064448   move    833.00        499.00        

363274064636   move    833.00        498.00        

363274064734   move    833.00        496.00        

363274065034   move    833.00        493.00        

363274065137   move    833.00        492.00        

363274072891   move    833.00        489.00        

363274073057   move    833.00        487.00        

363274073157   move    833.00        486.00        

363274073358   move    834.00        484.00        

363274073458   move    834.00        483.00        

363274073707   move    833.00        490.00        

363274081302   move    834.00        481.00        

363274081402   move    834.00        479.00        

363274081602   move    834.00        477.00        

363274081702   move    834.00        475.00        

363274081903   move    834.00        473.00        

363274089450   move    834.00        471.00        

363274089628   move    834.00        469.00        

363274089728   move    834.00        467.00        

363274089928   move    834.00        464.00        

363274090027   move    834.00        462.00        

363274090229   move    834.00        460.00        

363274097874   move    834.00        457.00        

363274098073   move    834.00        455.00        

363274098173   move    835.00        452.00        

363274098361   move    835.00        450.00        

363274098473   move    835.00        447.00        

363274106227   move    835.00        444.00        

363274106335   move    835.00        442.00        

363274106521   move    835.00        439.00        

363274106633   move    835.00        436.00        

363274106835   move    835.00        433.00        

363274106935   move    835.00        430.00        

363274114535   move    835.00        427.00        

363274114648   move    835.00        425.00        

363274114831   move    835.00        422.00        

363274114932   move    835.00        418.00        

363274115132   move    835.00        415.00        

363274115232   move    835.00        412.00        

363274122964   move    835.00        408.00        

363274123050   move    835.00        405.00        

363274123263   move    835.00        401.00        

363274123350   move    835.00        398.00        

363274123565   move    835.00        394.00        

363274131190   move    835.00        391.00        

363274131397   move    835.00        387.00        

363274131485   move    835.00        384.00        

363274131698   move    835.00        380.00        

363274131798   move    835.00        376.00        

363274139559   move    835.00        373.00        

363274139647   move    835.00        369.00        

363274139849   move    835.00        366.00        

363274139947   move    835.00        362.00        

363274140148   move    835.00        358.00        

363274140247   move    835.00        355.00        

363274140449   move    835.00        351.00        

363274140548   move    835.00        348.00        

363274148097   move    835.00        344.00        

363274148178   move    835.00        341.00        

363274148379   move    835.00        338.00        

363274148479   move    835.00        334.00        

363274156235   move    835.00        332.00        

363274156328   move    835.00        329.00        

363274156525   move    835.00        326.00        

363274156626   move    835.00        323.00        

363274156827   move    836.00        320.00        

363274164548   move    836.00        317.00        

363274164747   move    836.00        314.00        

363274164846   move    836.00        311.00        

363274165034   move    836.00        308.00        

363274165148   move    836.00        305.00        

363274165357   move    836.00        302.00        

363274173166   move    836.00        298.00        

363274173278   move    836.00        295.00        

363274173465   move    836.00        293.00        

363274173568   move    837.00        290.00        

363274181318   move    837.00        288.00        

363274181416   move    837.00        285.00        

363274181616   move    837.00        283.00        

363274181716   move    837.00        281.00        

363274181916   move    837.00        278.00        

363274182017   move    837.00        276.00        

363274189644   move    837.00        274.00        

363274189730   move    837.00        271.00        

363274189941   move    837.00        269.00        

363274190030   move    837.00        267.00        

363274190243   move    837.00        265.00        

363274190344   move    837.00        263.00        

363274198025   move    837.00        261.00        

363274198053   move    837.00        259.00        

363274198264   move    837.00        257.00        

363274198363   move    837.00        255.00        

363274198567   move    837.00        253.00        

363274206326   move    837.00        251.00        

363274206516   move    837.00        249.00        

363274206615   move    837.00        248.00        

363274206815   move    837.00        246.00        

363274206915   move    837.00        245.00        

363274214663   move    837.00        243.00        

363274214758   move    837.00        241.00        

363274214958   move    836.00        240.00        

363274215057   move    836.00        238.00        

363274215257   move    836.00        236.00        

363274215360   move    836.00        235.00        

363274222974   move    835.00        233.00        

363274223072   move    835.00        232.00        

363274223272   move    835.00        230.00        

363274223372   move    835.00        229.00        

363274223472   move    835.00        228.00        

363274223676   move    834.00        226.00        

363274231415   move    834.00        225.00        

363274231513   move    834.00        224.00        

363274231700   move    834.00        222.00        

363274231813   move    833.00        221.00        

363274231913   move    833.00        220.00        

363274232116   move    833.00        219.00        

363274239756   move    832.00        218.00        

363274239826   move    832.00        217.00        

363274240014   move    832.00        216.00        

363274240125   move    831.00        215.00        

363274240227   move    831.00        214.00        

363274240428   move    831.00        213.00        

363274248226   move    830.00        212.00        

363274248323   move    830.00        211.00        

363274248626   move    829.00        210.00        

363274256394   move    829.00        209.00        

363274256694   move    828.00        208.00        

363274257008   move    828.00        207.00        

363274257107   move    827.00        207.00        

363274264838   move    827.00        206.00        

363274265149   move    826.00        206.00        

363274265249   move    826.00        205.00        

363274273088   move    825.00        205.00        

363274273286   move    825.00        204.00        

363274273673   move    824.00        204.00        

363274281414   move    823.00        203.00        

363274281925   move    823.00        202.00        

363274282026   move    822.00        202.00        

363274282283   move    824.00        203.00        

363274290051   move    821.00        202.00        

363274290150   move    821.00        201.00        

363274290454   move    820.00        201.00        

363274298519   move    820.00        200.00        

363274298619   move    819.00        200.00        

363274306722   move    818.00        199.00        

363274314846   move    817.00        198.00        

363274323067   move    816.00        198.00        

363274323177   move    816.00        197.00        

363274323779   move    815.00        197.00        

363274331510   move    815.00        196.00        

363274332006   move    814.00        196.00        

363274340257   move    814.00        195.00        

363274340558   move    813.00        195.00        

363274341245   move    812.00        194.00        

363274357123   move    811.00        194.00        

363274365162   move    811.00        193.00        

363274381843   move    811.00        192.00        

363274389859   move    811.00        191.00        

363274390256   move    811.00        190.00        

363274398218   move    811.00        189.00        

363274398427   move    811.00        188.00        

363274398726   move    811.00        187.00        

363274406550   move    811.00        186.00        

363274406629   move    811.00        185.00        

363274406828   move    811.00        184.00        

363274406928   move    811.00        183.00        

363274407128   move    811.00        182.00        

363274407231   move    811.00        181.00        

363274415016   move    812.00        179.00        

363274415163   move    812.00        178.00        

363274415262   move    812.00        177.00        

363274415462   move    813.00        176.00        

363274415564   move    813.00        174.00        

363274415814   move    812.00        180.00        

363274423326   move    813.00        173.00        

363274423425   move    813.00        172.00        

363274423625   move    813.00        170.00        

363274423725   move    814.00        169.00        

363274423926   move    814.00        168.00        

363274431545   move    814.00        166.00        

363274431739   move    814.00        165.00        

363274431837   move    814.00        163.00        

363274432025   move    814.00        161.00        

363274432136   move    814.00        160.00        

363274432339   move    815.00        158.00        

363274439965   move    815.00        157.00        

363274440151   move    815.00        155.00        

363274440263   move    815.00        153.00        

363274440451   move    815.00        151.00        

363274440553   move    815.00        150.00        

363274440767   move    815.00        148.00        

363274440865   move    815.00        146.00        

363274441100   move    815.00        145.00        

363274441166   move    815.00        143.00        

363274441363   move    815.00        142.00        

363274441468   move    815.00        140.00        

363274456639   move    815.00        138.00        

363274456724   move    815.00        136.00        

363274456936   move    815.00        135.00        

363274457023   move    815.00        133.00        

363274457238   move    815.00        131.00        

363274457338   move    814.00        129.00        

363274465017   move    814.00        127.00        

363274465047   move    814.00        126.00        

363274465258   move    814.00        124.00        

363274465358   move    814.00        122.00        

363274465561   move    813.00        120.00        

363274473311   move    813.00        119.00        

363274473501   move    813.00        117.00        

363274473601   move    813.00        115.00        

363274473801   move    812.00        114.00        

363274473901   move    812.00        112.00        

363274481655   move    812.00        110.00        

363274481752   move    811.00        109.00        

363274481950   move    811.00        107.00        

363274482050   move    811.00        105.00        

363274482353   move    810.00        103.00        

363274489964   move    810.00        101.00        

363274490062   move    810.00        100.00        

363274490261   move    810.00        98.00         

363274490361   move    809.00        97.00         

363274490552   move    809.00        95.00         

363274490664   move    809.00        94.00         

363274498415   move    808.00        93.00         

363274498514   move    808.00        91.00         

363274498701   move    808.00        90.00         

363274498813   move    808.00        89.00         

363274499017   move    807.00        87.00         

363274499115   move    807.00        86.00         

363274506759   move    807.00        85.00         

363274506824   move    807.00        84.00         

363274507012   move    807.00        83.00         

363274507123   move    807.00        82.00         

363274507325   move    806.00        81.00         

363274515088   move    806.00        79.00         

363274515281   move    806.00        78.00         

363274515381   move    806.00        77.00         

363274515581   move    806.00        76.00         

363274515670   move    806.00        75.00         

363274523316   move    806.00        74.00         

363274523399   move    806.00        73.00         

363274523611   move    805.00        72.00         

363274523698   move    805.00        71.00         

363274524013   move    805.00        70.00         

363274531750   move    805.00        69.00         

363274531835   move    805.00        68.00         

363274532048   move    805.00        67.00         

363274532148   move    805.00        66.00         

363274532451   move    805.00        65.00         

363274540213   move    805.00        64.00         

363274540512   move    805.00        63.00         

363274540611   move    805.00        62.00         

363274540913   move    805.00        61.00         

363274541259   move    805.00        60.00         

363274541512   move    805.00        59.00         

363274556837   move    806.00        58.00         

363274556935   move    806.00        57.00         

363274558412   move    805.00        58.00         

363274565123   move    806.00        56.00         

363274565409   move    806.00        55.00         

363274565708   move    807.00        55.00         

363274565824   move    807.00        54.00         

363274573801   move    807.00        53.00         

363274581964   move    808.00        52.00         

363274582362   move    808.00        51.00         

363274590399   move    809.00        50.00         

363274590813   move    809.00        49.00         

363274598706   move    810.00        49.00         

363274598804   move    810.00        48.00         

363274606948   move    810.00        47.00         

363274607046   move    811.00        47.00         

363274607246   move    811.00        46.00         

363274615184   move    812.00        45.00         

363274615483   move    812.00        44.00         

363274615782   move    812.00        43.00         

363274623427   move    813.00        43.00         

363274623716   move    813.00        42.00         

363274623822   move    814.00        42.00         

363274624016   move    814.00        41.00         

363274631869   move    814.00        40.00         

363274631969   move    815.00        39.00         

363274632270   move    815.00        38.00         

363274632470   move    816.00        38.00         

363274632571   move    816.00        37.00         

363274640282   move    817.00        36.00         

363274640581   move    817.00        35.00         

363274640784   move    818.00        34.00         

363274648555   move    819.00        33.00         

