timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 2012413648
2012413648     846.078     533.392     846.078     533.392 

2012421758     846.045     531.53      846.045     531.53  

2012430268     846.814     531.46      846.814     531.46  

2012438427     847.402     529.715     847.402     529.715 

2012446781     849.384     526.065     849.384     526.065 

2012455233     850.178     524.997     850.178     524.997 

2012463605     850.422     523.37      850.422     523.37  

2012471836     850.892     518.942     850.892     518.942 

2012480205     852.806     518.042     852.806     518.042 

2012488503     853.987     518.273     853.987     518.273 

2012496852     854.039     515.97      854.039     515.97  

2012505194     853.288     513.765     853.288     513.765 

2012513513     852.079     511.635     852.079     511.635 

2012521910     851.095     510.33      851.095     510.33  

2012530216     850.501     510.595     850.501     510.595 

2012538486     849.407     511.829     849.407     511.829 

2012546904     847.267     513.112     847.267     513.112 

2012555323     846.386     513.564     846.386     513.564 

2012563607     846.213     516.753     846.213     516.753 

2012571895     846.658     520.367     846.658     520.367 

2012580386     847.342     520.565     847.342     520.565 

2012588691     847.703     535.214     847.703     535.214 

2012596978     811.311     659.781     811.311     659.781 

2012605299     776.81      731.957     776.81      731.957 

2012613705     794.022     828.156     794.022     828.156 

2012621969     806.845     860.176     806.845     860.176 

2012630350     838.649     887.228     838.649     887.228 

2012638711     830.915     908.391     830.915     908.391 

2012647079     835.179     936.75      835.179     936.75  

2012655301     823.865     940.785     823.865     940.785 

2012663753     818.446     956.091     818.446     956.091 

2012672086     826.132     963.68      826.132     963.68  

2012680431     820.473     965.532     820.473     965.532 

2012688712     817.47      968.087     817.47      968.087 

2012697041     819.051     971.032     819.051     971.032 

2012705429     824.008     976.549     824.008     976.549 

2012713723     824.682     982.599     824.682     982.599 

2012722103     823.697     985.62      823.697     985.62  

2012730438     824.342     987.126     824.342     987.126 

2012738790     823.496     986.763     823.496     986.763 

2012747147     824.028     989.277     824.028     989.277 

2012755424     824.444     988.232     824.444     988.232 

2012763786     824.439     989.247     824.439     989.247 

2012772188     824.103     989.115     824.103     989.115 

2012780396     824.45      989.754     824.45      989.754 

2012788865     824.754     988.771     824.754     988.771 

2012797230     824.169     990.122     824.169     990.122 

2012805597     824.714     987.442     824.714     987.442 

2012813767     824.521     988.035     824.521     988.035 

2012822177     823.978     987.499     823.978     987.499 

2012838842     823.605     987.339     823.605     987.339 

2012847203     823.599     988.548     823.599     988.548 

2012855562     825.259     989.858     825.259     989.858 

2012864010     826.325     990.409     826.325     990.409 

2012872230     825.814     990.668     825.814     990.668 

2012880554     828.289     991.871     828.289     991.871 

2012888990     826.894     992.746     826.894     992.746 

2012897304     825.569     992.351     825.569     992.351 

2012905553     825.091     991.841     825.091     991.841 

2012913928     825.604     993.349     825.604     993.349 

2012922371     823.761     993.743     823.761     993.743 

2012930750     822.346     995.786     822.346     995.786 

2012938985     821.965     997.581     821.965     997.581 

2012947328     820.919     997.05      820.919     997.05  

2012955718     819.147     997.557     819.147     997.557 

2012963966     820.217     998.291     820.217     998.291 

2012972319     821.304     999.285     821.304     999.285 

2012980739     822.909     999.293     822.909     999.293 

2012989127     825.235     999.889     825.235     999.889 

2012997294     825.341     1000.144    825.341     1000.144

2013005698     826.317     999.334     826.317     999.334 

2013014107     828.986     998.196     828.986     998.196 

2013022474     829.593     996.704     829.593     996.704 

2013030718     830.13      994.929     830.13      994.929 

2013039075     831.305     994.399     831.305     994.399 

2013047489     832.023     992.826     832.023     992.826 

2013055719     832.346     992.798     832.346     992.798 

2013064077     831.539     992.691     831.539     992.691 

2013072464     830.206     992.445     830.206     992.445 

2013080827     829.301     992.764     829.301     992.764 

2013089053     828.866     994.439     828.866     994.439 

2013097436     828.169     997.672     828.169     997.672 

2013105831     826.31      1000.228    826.31      1000.228

2013114214     824.722     1001.683    824.722     1001.683

2013122424     824.436     1003.849    824.436     1003.849

2013130835     823.471     1003.965    823.471     1003.965

2013139227     822.458     1002.835    822.458     1002.835

2013147599     823.633     1002.694    823.633     1002.694

2013155866     823.491     1002.783    823.491     1002.783

2013164180     823.063     1001.935    823.063     1001.935

2013172580     822.635     1001.287    822.635     1001.287

2013180813     823.112     999.579     823.112     999.579 

2013189558     823.102     1000.196    823.102     1000.196

2013197940     823.599     999.518     823.599     999.518 

2013206316     824.662     998.476     824.662     998.476 

2013214574     824.35      998.651     824.35      998.651 

2013222893     825.318     998.504     825.318     998.504 

2013231232     826.099     1000.231    826.099     1000.231

2013248413     824.615     1000.14     824.615     1000.14 

2013256126     823.947     1002.013    823.947     1002.013

2013264430     824.526     1002.067    824.526     1002.067

2013272778     823.858     1002.465    823.858     1002.465

2013281057     823.919     1000.699    823.919     1000.699

2013289466     824.628     1000.092    824.628     1000.092

2013297801     824.922     999.489     824.922     999.489 

2013306030     825.45      999.379     825.45      999.379 

2013314415     825.446     999.02      825.446     999.02  

2013322796     825.102     998.513     825.102     998.513 

