timeStamp      action  positionX     positionY     

start time: 1993053137

1993070619     move    855.00        527.00        

1993078138     move    855.00        525.00        

1993078326     move    857.00        525.00        

1993078746     move    858.00        524.00        

1993086502     move    860.00        524.00        

1993086688     move    860.00        522.00        

1993086792     move    861.00        522.00        

1993087085     move    863.00        521.00        

1993095180     move    864.00        521.00        

1993095278     move    864.00        519.00        

1993095364     move    866.00        519.00        

1993103140     move    867.00        518.00        

1993103336     move    869.00        518.00        

1993103455     move    869.00        516.00        

1993103537     move    870.00        516.00        

1993103733     move    872.00        515.00        

1993111404     move    873.00        515.00        

1993111517     move    873.00        513.00        

1993111724     move    875.00        513.00        

1993111806     move    875.00        512.00        

1993111909     move    876.00        512.00        

1993112002     move    878.00        510.00        

1993119717     move    879.00        509.00        

1993120035     move    881.00        509.00        

1993120111     move    882.00        507.00        

1993120196     move    882.00        506.00        

1993120308     move    884.00        506.00        

1993120404     move    884.00        504.00        

1993120504     move    885.00        504.00        

1993120607     move    885.00        503.00        

1993120706     move    887.00        503.00        

1993128175     move    888.00        500.00        

1993128276     move    890.00        500.00        

1993128369     move    891.00        498.00        

1993128458     move    891.00        497.00        

1993128579     move    893.00        497.00        

1993129186     move    888.00        501.00        

1993136433     move    894.00        495.00        

1993136498     move    896.00        494.00        

1993136709     move    897.00        492.00        

1993136814     move    899.00        491.00        

1993136910     move    900.00        489.00        

1993136999     move    900.00        488.00        

1993137110     move    902.00        488.00        

1993144812     move    903.00        486.00        

1993144911     move    905.00        485.00        

1993145006     move    906.00        483.00        

1993145119     move    908.00        482.00        

1993145196     move    909.00        480.00        

1993145307     move    911.00        479.00        

1993145405     move    912.00        477.00        

1993145505     move    914.00        476.00        

1993153143     move    915.00        474.00        

1993153272     move    917.00        473.00        

1993153343     move    918.00        471.00        

1993153439     move    920.00        470.00        

1993153538     move    921.00        468.00        

1993153641     move    923.00        467.00        

1993153740     move    924.00        464.00        

1993153839     move    926.00        462.00        

1993161459     move    927.00        461.00        

1993161548     move    929.00        459.00        

1993161763     move    933.00        453.00        

1993161863     move    935.00        453.00        

1993161966     move    938.00        450.00        

1993162055     move    938.00        449.00        

1993162163     move    941.00        446.00        

1993169846     move    944.00        443.00        

1993169944     move    945.00        441.00        

1993170068     move    947.00        438.00        

1993170138     move    950.00        437.00        

1993170225     move    951.00        434.00        

1993170338     move    953.00        432.00        

1993170433     move    954.00        429.00        

1993170541     move    957.00        426.00        

1993178200     move    960.00        422.00        

1993178271     move    963.00        419.00        

1993178372     move    965.00        417.00        

1993178471     move    968.00        414.00        

1993178571     move    969.00        411.00        

1993178673     move    971.00        408.00        

1993178770     move    974.00        405.00        

1993178980     move    959.00        425.00        

1993186501     move    975.00        404.00        

1993186567     move    978.00        401.00        

1993186676     move    980.00        398.00        

1993186775     move    981.00        395.00        

1993186876     move    984.00        392.00        

1993186986     move    986.00        389.00        

1993187174     move    989.00        386.00        

1993187272     move    990.00        383.00        

1993194891     move    992.00        380.00        

1993194990     move    995.00        377.00        

1993195090     move    996.00        374.00        

1993195192     move    999.00        372.00        

1993195302     move    1001.00       369.00        

1993195404     move    1002.00       366.00        

1993195488     move    1005.00       363.00        

1993195615     move    1007.00       360.00        

1993203147     move    1010.00       357.00        

1993203249     move    1011.00       354.00        

1993203350     move    1013.00       351.00        

1993203450     move    1016.00       348.00        

1993203547     move    1017.00       347.00        

1993203646     move    1020.00       344.00        

1993203747     move    1022.00       341.00        

1993203844     move    1023.00       338.00        

1993211539     move    1026.00       333.00        

1993211622     move    1029.00       332.00        

1993211736     move    1031.00       329.00        

1993211850     move    1034.00       326.00        

1993211933     move    1035.00       323.00        

1993212031     move    1037.00       321.00        

1993212240     move    1040.00       318.00        

1993212330     move    1041.00       315.00        

1993219849     move    1044.00       314.00        

1993219956     move    1046.00       311.00        

1993220072     move    1047.00       309.00        

1993220148     move    1050.00       306.00        

1993220249     move    1052.00       305.00        

1993220351     move    1053.00       302.00        

1993220444     move    1056.00       300.00        

1993220549     move    1058.00       297.00        

1993220645     move    1059.00       296.00        

1993220745     move    1061.00       293.00        

1993228126     move    1064.00       291.00        

1993228241     move    1065.00       290.00        

1993228343     move    1067.00       287.00        

1993228444     move    1068.00       285.00        

1993228542     move    1071.00       284.00        

1993228643     move    1073.00       281.00        

1993236500     move    1074.00       279.00        

1993236588     move    1076.00       278.00        

1993236701     move    1079.00       276.00        

1993236800     move    1080.00       275.00        

1993236900     move    1082.00       272.00        

1993237005     move    1083.00       270.00        

1993237203     move    1085.00       269.00        

1993237302     move    1086.00       267.00        

1993244908     move    1089.00       266.00        

1993245009     move    1091.00       264.00        

1993245106     move    1092.00       263.00        

1993245207     move    1094.00       261.00        

1993245308     move    1095.00       260.00        

1993245408     move    1097.00       258.00        

1993245513     move    1098.00       257.00        

1993245601     move    1100.00       255.00        

1993253284     move    1101.00       254.00        

1993253379     move    1103.00       254.00        

1993253468     move    1104.00       252.00        

1993253580     move    1106.00       251.00        

1993253681     move    1109.00       249.00        

1993253778     move    1109.00       248.00        

1993253880     move    1112.00       246.00        

1993261479     move    1113.00       245.00        

1993261577     move    1115.00       243.00        

1993261677     move    1116.00       242.00        

1993261777     move    1118.00       242.00        

1993261878     move    1119.00       240.00        

1993262082     move    1121.00       240.00        

1993270030     move    1125.00       236.00        

1993270225     move    1127.00       234.00        

1993270313     move    1128.00       234.00        

1993270414     move    1130.00       233.00        

1993270605     move    1131.00       231.00        

1993270753     move    1122.00       237.00        

1993270835     move    1124.00       237.00        

1993278246     move    1133.00       231.00        

1993278456     move    1134.00       230.00        

1993278665     move    1136.00       228.00        

1993278851     move    1137.00       228.00        

1993278947     move    1139.00       227.00        

1993286691     move    1140.00       225.00        

1993286898     move    1142.00       225.00        

1993287201     move    1143.00       224.00        

1993295120     move    1145.00       222.00        

1993295432     move    1146.00       222.00        

1993295592     move    1146.00       221.00        

1993295691     move    1148.00       221.00        

1993303601     move    1149.00       221.00        

1993303698     move    1149.00       219.00        

1993312172     move    1151.00       218.00        

1993312498     move    1151.00       219.00        

1993320030     move    1152.00       218.00        

1993345277     move    1152.00       216.00        

1993345362     move    1154.00       216.00        

1993362371     move    1155.00       216.00        

1993370459     move    1155.00       215.00        

1993378602     move    1157.00       215.00        

1993387042     move    1157.00       213.00        

1993387227     move    1158.00       213.00        

1993403541     move    1160.00       213.00        

1993403760     move    1160.00       212.00        

1993428507     move    1161.00       212.00        

1993445450     move    1161.00       210.00        

1993445845     move    1163.00       210.00        

1993461923     move    1163.00       209.00        

1993462360     move    1164.00       209.00        

1993470413     move    1164.00       207.00        

1993478817     move    1164.00       206.00        

1993478912     move    1166.00       206.00        

1993487363     move    1166.00       204.00        

1993495741     move    1166.00       203.00        

1993511962     move    1166.00       201.00        

1993512043     move    1167.00       201.00        

1993520443     move    1167.00       200.00        

1993528736     move    1167.00       198.00        

1993528856     move    1169.00       198.00        

1993537447     move    1169.00       197.00        

1993545674     move    1170.00       197.00        

1993545852     move    1170.00       195.00        

1993554323     move    1170.00       194.00        

1993562388     move    1172.00       194.00        

1993570430     move    1172.00       192.00        

1993587049     move    1172.00       191.00        

