timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 17581867322
17581867322    840.937     281.773     840.937     281.773 

17581875667    838.717     230.114     838.717     230.114 

17581884068    832.573     151.629     832.573     151.629 

17581892266    823.015     114.296     823.015     114.296 

17581900680    811.417     86.363      811.417     86.363  

17581909056    800.397     63.241      800.397     63.241  

17581917300    798.407     52.135      798.407     52.135  

17581925621    797.319     45.817      797.319     45.817  

17581934043    795.899     42.225      795.899     42.225  

17581942254    794.65      37.916      794.65      37.916  

17581950613    793.102     36.736      793.102     36.736  

17581959054    792.078     35.759      792.078     35.759  

17581967337    789.934     35.549      789.934     35.549  

17581984032    787.959     32.331      787.959     32.331  

17581992406    789.126     29.33       789.126     29.33   

17582000735    790.207     27.006      790.207     27.006  

17582009128    791.279     25.28       791.279     25.28   

17582017335    791.757     23.915      791.757     23.915  

17582025729    791.872     23.792      791.872     23.792  

17582034202    791.866     23.43       791.866     23.43   

17582042483    791.543     22.15       791.543     22.15   

17582050733    791.004     21.392      791.004     21.392  

17582059187    790.265     20.205      790.265     20.205  

17582067514    789.917     18.476      789.917     18.476  

17582075776    789.915     17.524      789.915     17.524  

17582084147    789.413     16.921      789.413     16.921  

17582092531    789.518     16.848      789.518     16.848  

17582100957    789.139     16.973      789.139     16.973  

17582109105    789.12      18.165      789.12      18.165  

17582117523    788.281     14.146      788.281     14.146  

17582125922    789.309     10.16       789.309     10.16   

17582134313    789.867     10.87       789.867     10.87   

17582142561    789.748     7.781       789.748     7.781   

17582150894    789.585     4.928       789.585     4.928   

17582159257    790.428     3.295       790.428     3.295   

17582167632    789.614     -0.864      789.614     -0.864  

17582175923    789.825     -1.376      789.825     -1.376  

17582184311    789.351     -4.145      789.351     -4.145  

17582192709    789.762     -5.584      789.762     -5.584  

17582200913    788.685     -7.643      788.685     -7.643  

17582209312    789.102     -8.312      789.102     -8.312  

17582217670    787.918     -6.822      787.918     -6.822  

17582226006    788.7       -7.168      788.7       -7.168  

17582234314    788.739     -9.333      788.739     -9.333  

17582242661    788.327     -10.051     788.327     -10.051 

17582251057    787.309     -10.373     787.309     -10.373 

17582259417    788.816     -9.736      788.816     -9.736  

17582267672    788.202     -10.828     788.202     -10.828 

17582276071    786.175     -11.018     786.175     -11.018 

17582284387    786.222     -11.089     786.222     -11.089 

17582292806    786.922     -10.493     786.922     -10.493 

17582301069    786.634     -10.512     786.634     -10.512 

17582309371    786.282     -11.105     786.282     -11.105 

17582317814    785.503     -11.085     785.503     -11.085 

17582326012    786.149     -8.758      786.149     -8.758  

17582334394    788.353     -7.253      788.353     -7.253  

17582342800    788.997     -6.484      788.997     -6.484  

17582351200    788.569     -5.65       788.569     -5.65   

17582359395    789.049     -5.088      789.049     -5.088  

17582367804    789.714     -4.326      789.714     -4.326  

17582376215    789.26      -4.382      789.26      -4.382  

17582384574    788.373     -4.969      788.373     -4.969  

17582392791    788.152     -4.393      788.152     -4.393  

17582401197    788.994     -5.032      788.994     -5.032  

17582409579    788.973     -6.533      788.973     -6.533  

17582417950    788.926     -8.084      788.926     -8.084  

17582426183    788.253     -9.591      788.253     -9.591  

17582434551    787.888     -10.285     787.888     -10.285 

17582442857    787.256     -10.449     787.256     -10.449 

17582451160    786.197     -10.483     786.197     -10.483 

17582459519    786.993     -11.496     786.993     -11.496 

17582467922    787.588     -11.417     787.588     -11.417 

17582476308    788.159     -11.213     788.159     -11.213 

17582484542    788.57      -12.892     788.57      -12.892 

17582492951    788.184     -12.097     788.184     -12.097 

17582501340    788.167     -10.726     788.167     -10.726 

17582509579    787.508     -10.479     787.508     -10.479 

17582518022    786.77      -9.64       786.77      -9.64   

17582526298    786.961     -9.303      786.961     -9.303  

17582534668    786.888     -9.529      786.888     -9.529  

17582542898    787.738     -8.708      787.738     -8.708  

17582551334    787.146     -7.054      787.146     -7.054  

17582559681    786.585     -6.037      786.585     -6.037  

17582568034    786.762     -5.549      786.762     -5.549  

17582576297    786.68      -4.095      786.68      -4.095  

17582584649    787.662     -4.152      787.662     -4.152  

17582593058    787.023     -3.198      787.023     -3.198  

17582601376    787.765     -1.829      787.765     -1.829  

17582609624    788.5       -0.767      788.5       -0.767  

17582618038    788.07      -0.369      788.07      -0.369  

17582626454    788.627     -0.298      788.627     -0.298  

17582634793    788.526     0.566       788.526     0.566   

17582643019    788.639     0.271       788.639     0.271   

17582651380    789.614     1.083       789.614     1.083   

17582659856    789.431     1.014       789.431     1.014   

17582668061    789.333     1.103       789.333     1.103   

17582676410    789.711     2.074       789.711     2.074   

17582684809    790.996     2.119       790.996     2.119   

17582693189    791.497     2.683       791.497     2.683   

17582701424    792.038     3.585       792.038     3.585   

17582709774    792.105     4.483       792.105     4.483   

17582718140    792.361     5.889       792.361     5.889   

17582726530    792.544     6.1         792.544     6.1     

17582734776    792.687     7.31        792.687     7.31    

17582743162    792.266     8.578       792.266     8.578   

17582751594    792.627     9.382       792.627     9.382   

17582759928    793.236     10.698      793.236     10.698  

17582768138    793.059     11.09       793.059     11.09   

17582776505    792.755     11.614      792.755     11.614  

17582784961    792.717     11.72       792.717     11.72   

17582793143    792.278     11.702      792.278     11.702  

17582801557    792.183     12.004      792.183     12.004  

17582809908    791.96      11.797      791.96      11.797  

17582818329    791.515     11.853      791.515     11.853  

17582826554    790.764     11.137      790.764     11.137  

17582834899    790.027     9.964       790.027     9.964   

17582843284    788.613     9.304       788.613     9.304   

17582851701    788.723     8.877       788.723     8.877   

17582859904    788.068     9.16        788.068     9.16    

17582868315    787.519     9.263       787.519     9.263   

17582876668    786.778     9.263       786.778     9.263   

17582884912    786.974     9.611       786.974     9.611   

17582893283    787.548     9.261       787.548     9.261   

17582901675    787.89      9.408       787.89      9.408   

17582910067    788.166     10.146      788.166     10.146  

17582918280    789.289     10.798      789.289     10.798  

17582926655    790.536     12.351      790.536     12.351  

17582935063    792.257     14.029      792.257     14.029  

17582943448    792.182     14.956      792.182     14.956  

17582951630    789.194     14.82       789.194     14.82   

17582960056    791.834     14.426      791.834     14.426  

17582968485    793.035     14.748      793.035     14.748  

17582976776    793.456     15.157      793.456     15.157  

17582985101    791.748     15.68       791.748     15.68   

17582993399    789.819     16.424      789.819     16.424  

