timeStamp      action  positionX     positionY     

start time: 17256493694

17257069054    move    826.00        509.00        

17257069159    move    825.00        509.00        

17257076780    move    825.00        508.00        

17257076872    move    825.00        506.00        

17257076975    move    823.00        506.00        

17257077078    move    823.00        505.00        

17257077209    move    822.00        503.00        

17257077280    move    822.00        502.00        

17257077376    move    820.00        502.00        

17257077475    move    820.00        500.00        

17257085119    move    819.00        497.00        

17257085317    move    816.00        494.00        

17257085421    move    816.00        493.00        

17257085495    move    814.00        493.00        

17257085597    move    813.00        491.00        

17257085694    move    813.00        490.00        

17257085965    move    819.00        499.00        

17257093437    move    811.00        488.00        

17257093521    move    810.00        487.00        

17257093620    move    810.00        485.00        

17257093721    move    808.00        484.00        

17257093828    move    807.00        482.00        

17257093910    move    805.00        481.00        

17257094019    move    805.00        479.00        

17257094122    move    804.00        478.00        

17257101816    move    802.00        476.00        

17257102004    move    801.00        473.00        

17257102095    move    799.00        470.00        

17257102178    move    798.00        469.00        

17257102280    move    796.00        467.00        

17257102381    move    795.00        466.00        

17257102479    move    795.00        464.00        

17257110135    move    793.00        463.00        

17257110316    move    792.00        461.00        

17257110417    move    790.00        460.00        

17257110498    move    789.00        458.00        

17257110610    move    787.00        455.00        

17257110715    move    786.00        454.00        

17257110813    move    786.00        452.00        

17257110912    move    784.00        451.00        

17257118593    move    783.00        449.00        

17257118712    move    781.00        448.00        

17257118798    move    780.00        446.00        

17257118911    move    778.00        445.00        

17257118991    move    777.00        442.00        

17257119079    move    775.00        440.00        

17257119192    move    775.00        439.00        

17257119286    move    774.00        437.00        

17257126801    move    772.00        436.00        

17257126884    move    771.00        434.00        

17257126983    move    769.00        433.00        

17257127099    move    768.00        431.00        

17257127180    move    766.00        428.00        

17257127278    move    766.00        427.00        

17257127387    move    765.00        425.00        

17257127484    move    763.00        424.00        

17257127698    move    762.00        422.00        

17257127785    move    760.00        421.00        

17257127883    move    759.00        419.00        

17257135190    move    756.00        413.00        

17257135343    move    754.00        412.00        

17257135373    move    754.00        410.00        

17257136338    move    759.00        416.00        

17257143618    move    753.00        409.00        

17257143691    move    751.00        407.00        

17257143789    move    750.00        406.00        

17257143896    move    750.00        404.00        

17257143987    move    748.00        401.00        

17257144099    move    747.00        400.00        

17257144186    move    745.00        398.00        

17257144291    move    745.00        397.00        

17257151950    move    744.00        395.00        

17257152048    move    742.00        394.00        

17257152147    move    742.00        392.00        

17257152249    move    741.00        391.00        

17257152343    move    739.00        389.00        

17257152428    move    739.00        388.00        

17257152539    move    738.00        386.00        

17257160141    move    736.00        385.00        

17257160226    move    736.00        383.00        

17257160324    move    735.00        382.00        

17257160431    move    733.00        380.00        

17257160515    move    733.00        379.00        

17257160636    move    732.00        376.00        

17257160726    move    732.00        374.00        

