timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 82157310955
82157310955    845.508     550.164     845.508     550.164 

82157319392    845.281     550.022     845.281     550.022 

82157327612    846.103     549.681     846.103     549.681 

82157335969    846.808     548.743     846.808     548.743 

82157344338    846.317     548.065     846.317     548.065 

82157352743    846.54      547.503     846.54      547.503 

82157360994    846.9       546.136     846.9       546.136 

82157369304    846.953     545.263     846.953     545.263 

82157377664    847.787     543.967     847.787     543.967 

82157386043    847.15      543.309     847.15      543.309 

82157394356    846.323     542.611     846.323     542.611 

82157402719    845.607     542.566     845.607     542.566 

82157411113    846.24      542.67      846.24      542.67  

82157419274    845.252     543.214     845.252     543.214 

82157427659    845.233     543.473     845.233     543.473 

82157436116    845.751     543.664     845.751     543.664 

82157444463    846.073     544.083     846.073     544.083 

82157452638    845.99      544.807     845.99      544.807 

82157461159    846.729     546.449     846.729     546.449 

82157469397    850.824     546.024     850.824     546.024 

82157477811    963.788     453.967     963.788     453.967 

82157486070    1038.415    356.779     1038.415    356.779 

82157494438    1090.165    282.569     1090.165    282.569 

82157502806    1135.135    235.312     1135.135    235.312 

82157511057    1139.744    221.257     1139.744    221.257 

82157519436    1135.923    216.678     1135.923    216.678 

82157527829    1139.47     215.91      1139.47     215.91  

82157536207    1137.792    214.53      1137.792    214.53  

82157544465    1141.187    215.428     1141.187    215.428 

82157552885    1143.739    212.754     1143.739    212.754 

82157561231    1143.129    211.42      1143.129    211.42  

82157569547    1142.997    209.733     1142.997    209.733 

82157577818    1141.459    209.074     1141.459    209.074 

82157586211    1143.047    207.949     1143.047    207.949 

82157594603    1141.215    206.729     1141.215    206.729 

82157602972    1140.488    205.407     1140.488    205.407 

82157611199    1143.192    204.05      1143.192    204.05  

82157619589    1143.015    203.211     1143.015    203.211 

82157627967    1143.851    202.69      1143.851    202.69  

82157636262    1143.9      202.22      1143.9      202.22  

82157644574    1142.768    202.712     1142.768    202.712 

82157652950    1142.438    203.735     1142.438    203.735 

82157661285    1142.992    204.427     1142.992    204.427 

82157669526    1144.526    205.04      1144.526    205.04  

82157677923    1145.862    205.344     1145.862    205.344 

82157686335    1146.664    205.801     1146.664    205.801 

82157694700    1148.226    206.137     1148.226    206.137 

82157703016    1147.991    207.265     1147.991    207.265 

82157711343    1147.361    208.971     1147.361    208.971 

