timeStamp      action  positionX     positionY     

start time: 81844534874

81844617295    move    846.00        541.00        

81844617516    move    846.00        543.00        

81844617699    move    846.00        544.00        

81844617797    move    846.00        546.00        

81844618164    move    846.00        540.00        

81844625512    move    846.00        549.00        

81844625695    move    846.00        550.00        

81844625794    move    846.00        552.00        

81844625899    move    846.00        553.00        

81844625993    move    847.00        555.00        

81844626095    move    847.00        556.00        

81844626195    move    847.00        558.00        

81844626297    move    847.00        559.00        

81844626397    move    847.00        561.00        

81844633978    move    847.00        562.00        

81844634074    move    847.00        564.00        

81844634187    move    847.00        565.00        

81844634295    move    847.00        568.00        

81844634372    move    847.00        570.00        

81844634495    move    847.00        571.00        

81844642343    move    847.00        573.00        

81844642422    move    848.00        574.00        

81844642516    move    848.00        576.00        

81844642715    move    848.00        577.00        

81844642825    move    848.00        579.00        

81844642921    move    848.00        580.00        

81844643023    move    848.00        583.00        

81844650496    move    848.00        585.00        

81844650581    move    848.00        586.00        

81844650675    move    848.00        588.00        

81844650781    move    850.00        589.00        

81844650879    move    850.00        592.00        

81844650967    move    850.00        594.00        

81844651080    move    850.00        595.00        

81844651179    move    850.00        597.00        

81844651278    move    850.00        598.00        

81844658960    move    850.00        600.00        

81844659059    move    851.00        603.00        

81844659159    move    851.00        604.00        

81844659249    move    851.00        606.00        

81844659354    move    851.00        607.00        

81844659459    move    851.00        610.00        

81844659541    move    851.00        612.00        

81844659654    move    851.00        613.00        

81844667281    move    853.00        616.00        

81844667395    move    853.00        619.00        

81844667573    move    853.00        621.00        

81844667679    move    853.00        624.00        

81844667772    move    853.00        625.00        

81844667870    move    854.00        627.00        

81844668137    move    853.00        615.00        

81844675633    move    854.00        628.00        

81844675739    move    854.00        631.00        

81844675838    move    854.00        633.00        

81844675936    move    854.00        634.00        

81844676047    move    854.00        636.00        

81844676136    move    856.00        637.00        

81844676246    move    856.00        640.00        

81844676333    move    856.00        642.00        

81844676433    move    856.00        643.00        

81844683991    move    856.00        645.00        

81844684084    move    856.00        646.00        

81844684185    move    857.00        649.00        

81844684284    move    857.00        651.00        

81844684393    move    857.00        652.00        

81844684487    move    857.00        654.00        

81844684576    move    857.00        655.00        

81844684688    move    857.00        657.00        

81844692286    move    857.00        658.00        

81844692386    move    859.00        661.00        

81844692582    move    859.00        663.00        

81844692731    move    859.00        664.00        

81844692793    move    859.00        666.00        

81844692899    move    859.00        667.00        

81844692980    move    859.00        670.00        

81844700631    move    860.00        672.00        

81844700721    move    860.00        673.00        

81844700830    move    860.00        675.00        

81844700924    move    860.00        676.00        

81844701023    move    860.00        678.00        

81844701109    move    860.00        679.00        

81844701221    move    860.00        681.00        

81844701318    move    860.00        682.00        

81844701418    move    860.00        684.00        

81844709203    move    862.00        690.00        

81844709304    move    862.00        691.00        

81844709401    move    862.00        693.00        

81844709504    move    862.00        694.00        

81844709591    move    862.00        696.00        

81844709700    move    862.00        697.00        

81844709948    move    862.00        685.00        

81844717320    move    862.00        699.00        

81844717508    move    862.00        700.00        

81844717607    move    862.00        702.00        

81844717704    move    863.00        703.00        

81844717805    move    863.00        706.00        

81844717922    move    863.00        708.00        

81844718009    move    863.00        709.00        

81844725610    move    863.00        711.00        

81844725697    move    863.00        712.00        

81844725797    move    863.00        714.00        

81844725896    move    863.00        715.00        

81844725996    move    863.00        717.00        

81844726086    move    863.00        718.00        

81844726200    move    863.00        720.00        

81844726296    move    863.00        721.00        

81844726396    move    863.00        723.00        

81844726495    move    863.00        724.00        

81844726595    move    863.00        726.00        

81844726693    move    863.00        727.00        

81844726811    move    863.00        729.00        

81844726907    move    863.00        730.00        

81844727005    move    863.00        732.00        

81844727102    move    863.00        733.00        

81844727194    move    863.00        735.00        

81844742436    move    863.00        736.00        

81844742635    move    863.00        738.00        

81844742750    move    863.00        739.00        

81844742840    move    863.00        741.00        

81844742930    move    863.00        742.00        

81844743021    move    863.00        744.00        

81844743127    move    863.00        745.00        

81844750591    move    863.00        747.00        

81844750682    move    863.00        748.00        

81844750781    move    863.00        750.00        

81844750977    move    863.00        751.00        

81844751067    move    863.00        753.00        

81844751176    move    863.00        754.00        

81844751277    move    863.00        756.00        

81844751380    move    863.00        757.00        

81844759072    move    863.00        760.00        

81844759111    move    863.00        762.00        

81844759218    move    863.00        763.00        

81844759310    move    863.00        765.00        

81844759412    move    865.00        766.00        

81844759612    move    865.00        769.00        

81844759871    move    863.00        759.00        

81844767521    move    865.00        771.00        

81844767636    move    865.00        772.00        

81844767832    move    865.00        774.00        

81844767939    move    865.00        775.00        

81844768037    move    865.00        777.00        

81844768132    move    865.00        778.00        

81844775616    move    865.00        780.00        

81844775716    move    865.00        781.00        

81844775814    move    865.00        783.00        

81844775915    move    865.00        784.00        

81844776025    move    865.00        786.00        

81844776210    move    865.00        787.00        

81844776309    move    865.00        789.00        

81844776408    move    865.00        790.00        

81844784014    move    866.00        792.00        

81844784113    move    866.00        793.00        

81844784211    move    866.00        795.00        

81844784316    move    866.00        796.00        

81844784529    move    866.00        799.00        

81844784612    move    866.00        801.00        

81844792473    move    866.00        802.00        

81844792590    move    866.00        804.00        

