timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 87974257192
87974257192    849.062     544.297     849.062     544.297 

87974265166    847.279     544.338     847.279     544.338 

87974273588    846.039     544.653     846.039     544.653 

87974281932    845.39      545.421     845.39      545.421 

87974290189    845.188     545.889     845.188     545.889 

87974298513    844.226     545.687     844.226     545.687 

87974306937    844.763     545.913     844.763     545.913 

87974315296    844.331     545.91      844.331     545.91  

87974323536    845.255     546.314     845.255     546.314 

87974331872    846.825     546.663     846.825     546.663 

87974340281    848.424     546.909     848.424     546.909 

87974348557    848.887     547.859     848.887     547.859 

87974356893    851.435     548.346     851.435     548.346 

87974365206    852.917     547.823     852.917     547.823 

87974373663    854.314     547.753     854.314     547.753 

87974382017    854.985     547.236     854.985     547.236 

87974390283    855.007     548.032     855.007     548.032 

87974398505    855.553     548.102     855.553     548.102 

87974406992    850.5       549.034     850.5       549.034 

87974415245    770.156     600.605     770.156     600.605 

87974423601    639.223     721.218     639.223     721.218 

87974431947    517.397     826.227     517.397     826.227 

87974440451    494.705     906.157     494.705     906.157 

87974448594    491.691     926.156     491.691     926.156 

87974457034    499.273     928.157     499.273     928.157 

87974465384    497.496     931.243     497.496     931.243 

87974473814    497.844     930.721     497.844     930.721 

87974481992    495.932     928.701     495.932     928.701 

87974490398    496.466     928.482     496.466     928.482 

87974498769    495.263     926.234     495.263     926.234 

87974506998    494.654     925.206     494.654     925.206 

87974515331    492.996     926.511     492.996     926.511 

87974523738    490.671     924.693     490.671     924.693 

87974532074    491.635     924.688     491.635     924.688 

87974540400    493.356     923.658     493.356     923.658 

87974548765    491.926     922.171     491.926     922.171 

87974557161    492.108     921.016     492.108     921.016 

87974565480    491.536     919.599     491.536     919.599 

87974573719    491.058     919.981     491.058     919.981 

87974582087    490.152     919.973     490.152     919.973 

87974590515    489.853     920.971     489.853     920.971 

87974598870    490.288     921.347     490.288     921.347 

87974607199    492.62      919.897     492.62      919.897 

87974615556    493.982     920.456     493.982     920.456 

87974623874    495.408     920.292     495.408     920.292 

87974632128    495.587     920.667     495.587     920.667 

87974640539    496.852     921.988     496.852     921.988 

87974648864    495.523     921.53      495.523     921.53  

87974657260    495.518     921.702     495.518     921.702 

87974665469    496.41      921.813     496.41      921.813 

87974673946    496.365     921.606     496.365     921.606 

87974690717    495.355     920.183     495.355     920.183 

87974698846    494.638     921.718     494.638     921.718 

87974707351    494.55      921.279     494.55      921.279 

87974715639    494.158     921.431     494.158     921.431 

87974723972    493.821     922.009     493.821     922.009 

87974732269    493.735     922.173     493.735     922.173 

87974740618    494.533     922.301     494.533     922.301 

87974749035    494.826     922.462     494.826     922.462 

87974757246    495.821     921.658     495.821     921.658 

