timeStamp      action  positionX     positionY     

start time: 88298973608

88299065101    move    823.00        534.00        

88299065165    move    822.00        535.00        

88299065369    move    822.00        537.00        

88299065468    move    820.00        537.00        

88299065658    move    819.00        538.00        

88299065765    move    817.00        540.00        

88299073523    move    816.00        541.00        

88299073704    move    814.00        543.00        

88299073839    move    813.00        544.00        

88299073996    move    811.00        546.00        

88299074089    move    808.00        546.00        

88299081961    move    807.00        547.00        

88299082048    move    805.00        549.00        

88299082268    move    804.00        550.00        

88299082367    move    802.00        552.00        

88299082561    move    801.00        553.00        

88299090083    move    798.00        555.00        

88299090279    move    796.00        556.00        

88299090379    move    795.00        558.00        

88299090583    move    793.00        559.00        

88299090673    move    792.00        561.00        

88299090889    move    789.00        562.00        

88299098589    move    787.00        564.00        

88299098777    move    786.00        565.00        

88299098875    move    784.00        567.00        

88299099087    move    781.00        568.00        

88299099168    move    780.00        570.00        

88299106854    move    778.00        573.00        

88299106953    move    777.00        574.00        

88299107154    move    774.00        576.00        

88299107256    move    772.00        577.00        

88299107554    move    769.00        580.00        

88299115303    move    766.00        583.00        

88299115409    move    765.00        585.00        

88299115638    move    763.00        586.00        

88299115707    move    762.00        588.00        

88299115897    move    759.00        591.00        

88299116081    move    768.00        582.00        

88299123556    move    757.00        592.00        

88299123860    move    756.00        595.00        

88299124059    move    754.00        597.00        

88299124149    move    753.00        598.00        

88299124349    move    751.00        600.00        

88299124449    move    750.00        601.00        

88299124663    move    748.00        603.00        

88299124761    move    747.00        606.00        

88299124960    move    745.00        607.00        

88299125055    move    744.00        609.00        

88299140222    move    742.00        612.00        

88299140302    move    741.00        613.00        

88299140502    move    739.00        616.00        

88299140599    move    738.00        618.00        

88299140797    move    736.00        621.00        

88299148513    move    735.00        622.00        

88299148715    move    733.00        624.00        

88299148799    move    732.00        627.00        

88299149135    move    730.00        628.00        

88299149214    move    729.00        633.00        

88299156832    move    727.00        636.00        

88299156932    move    726.00        639.00        

88299157132    move    724.00        640.00        

88299157229    move    723.00        643.00        

88299157438    move    721.00        646.00        

88299157527    move    718.00        649.00        

88299165121    move    717.00        651.00        

88299165231    move    715.00        654.00        

88299165432    move    714.00        657.00        

88299165520    move    712.00        660.00        

88299165713    move    711.00        663.00        

88299165818    move    708.00        666.00        

88299173749    move    706.00        669.00        

88299173850    move    705.00        670.00        

88299174043    move    703.00        673.00        

88299174143    move    702.00        676.00        

88299174352    move    700.00        679.00        

88299181929    move    697.00        682.00        

88299182121    move    696.00        685.00        

88299182217    move    694.00        688.00        

88299182404    move    691.00        691.00        

88299182506    move    690.00        694.00        

88299182740    move    687.00        697.00        

88299182829    move    685.00        700.00        

88299190494    move    684.00        703.00        

88299190581    move    681.00        705.00        

88299190782    move    679.00        708.00        

88299190886    move    676.00        711.00        

88299191084    move    675.00        714.00        

88299191183    move    673.00        715.00        

88299199274    move    670.00        718.00        

88299199347    move    669.00        721.00        

88299199528    move    666.00        724.00        

88299199603    move    664.00        727.00        

88299199804    move    661.00        729.00        

88299207691    move    651.00        742.00        

88299208192    move    660.00        732.00        

88299208383    move    658.00        735.00        

88299208483    move    655.00        736.00        

88299215912    move    648.00        745.00        

88299216025    move    645.00        748.00        

88299216221    move    643.00        750.00        

88299216418    move    640.00        753.00        

88299216523    move    637.00        756.00        

88299224145    move    636.00        757.00        

88299224252    move    633.00        759.00        

88299224441    move    631.00        760.00        

88299224553    move    630.00        763.00        

88299224742    move    628.00        765.00        

88299224871    move    627.00        766.00        

88299225061    move    625.00        766.00        

88299225161    move    624.00        768.00        

88299225351    move    622.00        769.00        

88299225447    move    619.00        771.00        

88299232618    move    618.00        772.00        

88299232725    move    616.00        774.00        

88299242227    move    615.00        775.00        

88299242287    move    613.00        775.00        

88299242512    move    612.00        777.00        

88299242580    move    612.00        778.00        

88299249387    move    606.00        781.00        

88299249447    move    604.00        783.00        

88299249735    move    610.00        778.00        

88299249825    move    609.00        780.00        

88299250021    move    607.00        780.00        

88299257585    move    603.00        783.00        

88299257807    move    601.00        784.00        

88299258081    move    600.00        784.00        

88299258178    move    600.00        786.00        

88299266006    move    598.00        786.00        

88299266090    move    598.00        787.00        

88299266299    move    597.00        787.00        

88299266600    move    595.00        789.00        

88299274503    move    594.00        789.00        

88299274758    move    592.00        790.00        

88299282539    move    592.00        792.00        

