timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 113450647486
113450647486   835.228     491.082     835.228     491.082 

113450655857   830.737     489.491     830.737     489.491 

113450664234   831.538     494.156     831.538     494.156 

113450672472   833.361     494.732     833.361     494.732 

113450680841   835.368     496.588     835.368     496.588 

113450689233   839.973     498.774     839.973     498.774 

113450697598   844.438     498.789     844.438     498.789 

113450705873   839.456     497.829     839.456     497.829 

113450714222   835.234     496.193     835.234     496.193 

113450722606   832.581     496.041     832.581     496.041 

113450730965   835.204     498.445     835.204     498.445 

113450739225   835.19      502.329     835.19      502.329 

113450747599   836.879     504.952     836.879     504.952 

113450755978   836.228     502.166     836.228     502.166 

113450764344   836.636     503.163     836.636     503.163 

113450772601   838.632     504.419     838.632     504.419 

113450780971   838.064     504.309     838.064     504.309 

113450789351   840.811     512.284     840.811     512.284 

113450797727   851.841     605.491     851.841     605.491 

113450805994   861.13      638.556     861.13      638.556 

113450814351   849.349     662.321     849.349     662.321 

113450822733   858.911     636.244     858.911     636.244 

113450831093   851.178     644.881     851.178     644.881 

113450839349   856.127     659.803     856.127     659.803 

113450847714   857.122     674.861     857.122     674.861 

113450856098   859.311     668.12      859.311     668.12  

113450864480   858.542     667.09      858.542     667.09  

113450872720   853.714     678.405     853.714     678.405 

113450881096   850.052     681.148     850.052     681.148 

113450889473   848.033     685.919     848.033     685.919 

113450897843   846.755     689.172     846.755     689.172 

113450906117   845.318     688.154     845.318     688.154 

113450914474   843.737     683.533     843.737     683.533 

113450922861   842.207     690.013     842.207     690.013 

113450931217   840.17      695.096     840.17      695.096 

113450939477   839.459     696.543     839.459     696.543 

113450947844   838.183     697.015     838.183     697.015 

113450956232   837.137     699.474     837.137     699.474 

113450964599   838.7       700.405     838.7       700.405 

113450972853   838.68      706.113     838.68      706.113 

113450981213   837.842     808.626     837.842     808.626 

113450989600   833.368     912.621     833.368     912.621 

113451006235   826.258     989.015     826.258     989.015 

113451014599   821.06      972.959     821.06      972.959 

113451022983   806.739     1000.249    806.739     1000.249

113451031347   806.21      996.188     806.21      996.188 

113451039607   794.047     1000.887    794.047     1000.887

113451047971   794.919     1003.472    794.919     1003.472

113451056345   791.535     1002.209    791.535     1002.209

113451064728   789.722     1014.171    789.722     1014.171

113451072969   791.8       1014.322    791.8       1014.322

113451081348   787.079     985.656     787.079     985.656 

113451089735   785.983     997.231     785.983     997.231 

113451098087   783.146     1006.1      783.146     1006.1  

113451106350   780.964     1011.771    780.964     1011.771

113451114719   780.954     1000.829    780.954     1000.829

113451123089   782.449     996.16      782.449     996.16  

113451131479   784.677     999.195     784.677     999.195 

113451139725   786.71      998.244     786.71      998.244 

113451148087   788.372     1005.643    788.372     1005.643

113451156464   787.041     1002.59     787.041     1002.59 

113451164837   785.692     1003.047    785.692     1003.047

113451173101   785.568     1045.539    785.568     1045.539

113451181472   787.595     1005.082    787.595     1005.082

113451189850   785.636     1024.914    785.636     1024.914

113451206478   793.862     1010.532    793.862     1010.532

113451214844   795.144     1008.094    795.144     1008.094

113451223225   799.732     1009.194    799.732     1009.194

113451231470   799.674     1009.347    799.674     1009.347

113451239865   797.619     1032.504    797.619     1032.504

113451248217   793.979     1012.564    793.979     1012.564

