timeStamp      action  positionX     positionY     

start time: 113512591952

113512750572   move    823.00        523.00        

113512750670   move    822.00        523.00        

113512750870   move    820.00        523.00        

113512750970   move    819.00        523.00        

113512758557   move    816.00        522.00        

113512758716   move    814.00        522.00        

113512758916   move    813.00        522.00        

113512759547   move    817.00        523.00        

113512766752   move    811.00        522.00        

113512766944   move    810.00        522.00        

113512767043   move    808.00        522.00        

113512767143   move    807.00        522.00        

113512767243   move    805.00        522.00        

113512767443   move    804.00        522.00        

113512767543   move    802.00        522.00        

113512775169   move    801.00        520.00        

113512775268   move    799.00        520.00        

113512775367   move    798.00        520.00        

113512775567   move    796.00        520.00        

113512775667   move    793.00        520.00        

113512775755   move    792.00        520.00        

113512775868   move    790.00        520.00        

113512783605   move    789.00        520.00        

113512783716   move    787.00        520.00        

113512783816   move    786.00        520.00        

113512784017   move    784.00        519.00        

113512784116   move    783.00        519.00        

113512784216   move    781.00        519.00        

113512784316   move    780.00        519.00        

113512791940   move    777.00        519.00        

113512792040   move    775.00        519.00        

113512792139   move    774.00        519.00        

113512792239   move    772.00        519.00        

113512792340   move    771.00        519.00        

113512792439   move    769.00        519.00        

113512792540   move    768.00        517.00        

113512792640   move    766.00        517.00        

113512800175   move    765.00        517.00        

113512800274   move    762.00        517.00        

113512800374   move    760.00        517.00        

113512800462   move    757.00        517.00        

113512800574   move    756.00        517.00        

113512800674   move    754.00        516.00        

113512800761   move    753.00        516.00        

113512800874   move    750.00        516.00        

113512808581   move    747.00        516.00        

113512808730   move    745.00        516.00        

113512808818   move    742.00        516.00        

113512808930   move    741.00        516.00        

113512809030   move    739.00        516.00        

113512809130   move    738.00        514.00        

113512809230   move    735.00        514.00        

113512809349   move    748.00        516.00        

113512816945   move    733.00        514.00        

113512817044   move    732.00        514.00        

113512817144   move    729.00        514.00        

113512817245   move    726.00        514.00        

113512817344   move    724.00        513.00        

113512817444   move    723.00        513.00        

113512817545   move    720.00        513.00        

113512817645   move    718.00        513.00        

113512825278   move    717.00        513.00        

113512825390   move    714.00        513.00        

113512825490   move    712.00        513.00        

113512825577   move    709.00        511.00        

113512825689   move    708.00        511.00        

113512825789   move    706.00        511.00        

113512825877   move    703.00        511.00        

113512825990   move    702.00        511.00        

113512833506   move    700.00        511.00        

113512833593   move    697.00        511.00        

113512833806   move    696.00        511.00        

113512833906   move    693.00        510.00        

113512834005   move    691.00        510.00        

113512834205   move    687.00        510.00        

113512841847   move    684.00        510.00        

113512841946   move    682.00        510.00        

113512842045   move    681.00        510.00        

113512842144   move    678.00        510.00        

113512842244   move    676.00        508.00        

113512842345   move    673.00        508.00        

113512842432   move    672.00        508.00        

113512842546   move    670.00        508.00        

113512842645   move    667.00        508.00        

113512850331   move    663.00        508.00        

113512850412   move    661.00        508.00        

113512850500   move    660.00        508.00        

113512850612   move    657.00        507.00        

113512850711   move    655.00        507.00        

113512850800   move    652.00        507.00        

113512850912   move    651.00        507.00        

113512851011   move    649.00        507.00        

113512851106   move    666.00        508.00        

113512851111   move    646.00        507.00        

113512851366   move    645.00        507.00        

113512851413   move    642.00        507.00        

113512851511   move    639.00        507.00        

113512851611   move    637.00        507.00        

113512851711   move    636.00        507.00        

113512851811   move    633.00        505.00        

113512866947   move    631.00        505.00        

113512867046   move    630.00        505.00        

113512867133   move    628.00        505.00        

113512867247   move    625.00        505.00        

113512867346   move    624.00        505.00        

113512867433   move    622.00        505.00        

113512867546   move    619.00        505.00        

113512867646   move    618.00        505.00        

113512875268   move    616.00        505.00        

113512875379   move    615.00        504.00        

113512875479   move    612.00        504.00        

113512875566   move    610.00        504.00        

113512875679   move    609.00        504.00        

113512875779   move    607.00        504.00        

113512875879   move    604.00        504.00        

113512875979   move    603.00        504.00        

113512883617   move    601.00        504.00        

113512883816   move    598.00        504.00        

113512883915   move    597.00        504.00        

113512884017   move    595.00        502.00        

113512884116   move    594.00        502.00        

113512884215   move    592.00        502.00        

113512884316   move    591.00        502.00        

113512884416   move    589.00        502.00        

113512891984   move    588.00        502.00        

113512892085   move    585.00        502.00        

113512892170   move    583.00        502.00        

113512892283   move    582.00        502.00        

113512892382   move    580.00        502.00        

113512892469   move    579.00        501.00        

113512892583   move    577.00        501.00        

113512892683   move    576.00        501.00        

113512900276   move    574.00        501.00        

113512900387   move    573.00        501.00        

113512900487   move    570.00        501.00        

113512900688   move    567.00        501.00        

113512900787   move    565.00        501.00        

113512900987   move    564.00        499.00        

113512908620   move    562.00        499.00        

113512908818   move    561.00        499.00        

113512908918   move    559.00        499.00        

113512909017   move    558.00        499.00        

113512909105   move    556.00        499.00        

113512909217   move    555.00        499.00        

113512909318   move    553.00        499.00        

113512909417   move    552.00        499.00        

113512917060   move    550.00        499.00        

113512917159   move    549.00        499.00        

113512917246   move    547.00        499.00        

113512917360   move    546.00        498.00        

113512917547   move    543.00        498.00        

113512917647   move    541.00        498.00        

113512925385   move    540.00        498.00        

113512925483   move    538.00        498.00        

113512925583   move    537.00        498.00        

113512925683   move    535.00        498.00        

113512925783   move    534.00        498.00        

113512925983   move    532.00        498.00        

113512926083   move    531.00        498.00        

113512933721   move    529.00        498.00        

113512933922   move    528.00        498.00        

113512934021   move    526.00        498.00        

113512934108   move    525.00        498.00        

113512934321   move    523.00        496.00        

113512934421   move    522.00        496.00        

113512941994   move    520.00        496.00        

113512942172   move    519.00        496.00        

113512942283   move    517.00        496.00        

113512942383   move    516.00        496.00        

113512942483   move    514.00        496.00        

113512942684   move    513.00        496.00        

113512950399   move    511.00        496.00        

113512950598   move    510.00        496.00        

113512950699   move    508.00        496.00        

113512950898   move    507.00        496.00        

113512951198   move    505.00        496.00        

113512951297   move    504.00        496.00        

113512951562   move    502.00        496.00        

113512951599   move    501.00        496.00        

113512951797   move    499.00        496.00        

113512951999   move    498.00        496.00        

113512967161   move    496.00        496.00        

113512967261   move    495.00        496.00        

113512967460   move    493.00        496.00        

113512967560   move    493.00        495.00        

113512967761   move    492.00        495.00        

113512975492   move    490.00        495.00        

113512975691   move    489.00        495.00        

113512975890   move    487.00        495.00        

113512983853   move    484.00        495.00        

113512984153   move    483.00        495.00        

113512984365   move    481.00        495.00        

113512984582   move    486.00        495.00        

113512992176   move    480.00        495.00        

113512992474   move    478.00        495.00        

113512992763   move    477.00        495.00        

113513000395   move    475.00        495.00        

113513000593   move    474.00        495.00        

113513000894   move    472.00        495.00        

113513008738   move    471.00        495.00        

113513009027   move    469.00        495.00        

113513009327   move    468.00        495.00        

113513017173   move    466.00        495.00        

113513017472   move    465.00        495.00        

113513017671   move    463.00        495.00        

113513025825   move    460.00        495.00        

113513026348   move    462.00        495.00        

113513033751   move    459.00        495.00        

113513034037   move    457.00        495.00        

113513034435   move    456.00        495.00        

113513042275   move    454.00        495.00        

113513042761   move    453.00        495.00        

113513050599   move    451.00        495.00        

113513051110   move    450.00        495.00        

113513051511   move    448.00        495.00        

113513059130   move    448.00        496.00        

113513059228   move    447.00        496.00        

113513067372   move    445.00        496.00        

113513067758   move    444.00        496.00        

113513075646   move    444.00        497.00        

113513075743   move    442.00        497.00        

113513076244   move    441.00        497.00        

113513084342   move    439.00        497.00        

113513084440   move    439.00        499.00        

113513092385   move    438.00        499.00        

113513092783   move    436.00        499.00        

113513092870   move    436.00        500.00        

113513100597   move    435.00        500.00        

113513101109   move    433.00        500.00        

113513101209   move    433.00        502.00        

113513109044   move    432.00        502.00        

113513109430   move    430.00        502.00        

113513109542   move    430.00        503.00        

113513117324   move    429.00        503.00        

113513117611   move    427.00        503.00        

113513117710   move    427.00        505.00        

113513125630   move    426.00        505.00        

113513126026   move    424.00        505.00        

113513126223   move    424.00        506.00        

113513126424   move    423.00        506.00        

113513134137   move    421.00        506.00        

113513134348   move    421.00        508.00        

113513134548   move    420.00        508.00        

113513142390   move    418.00        508.00        

113513142488   move    418.00        509.00        

113513142688   move    417.00        509.00        

113513142988   move    415.00        509.00        

113513150922   move    414.00        511.00        

113513151321   move    412.00        511.00        

113513151520   move    412.00        512.00        

113513151619   move    411.00        512.00        

113513159177   move    409.00        512.00        

113513159474   move    408.00        514.00        

113513167488   move    406.00        514.00        

113513167887   move    405.00        514.00        

113513175625   move    405.00        515.00        

113513175723   move    403.00        515.00        

113513176222   move    402.00        515.00        

113513176423   move    400.00        515.00        

113513184158   move    400.00        517.00        

113513184358   move    399.00        517.00        

113513184647   move    397.00        517.00        

113513192605   move    396.00        517.00        

113513192704   move    396.00        518.00        

113513192904   move    394.00        518.00        

113513200622   move    393.00        518.00        

113513201021   move    391.00        518.00        

113513201320   move    390.00        518.00        

113513201420   move    390.00        520.00        

113513209165   move    388.00        520.00        

113513209475   move    387.00        520.00        

113513217400   move    385.00        520.00        

113513217798   move    384.00        520.00        

113513218097   move    382.00        521.00        

113513226027   move    381.00        521.00        

113513226426   move    379.00        521.00        

113513234154   move    378.00        521.00        

113513234553   move    376.00        521.00        

113513242397   move    375.00        521.00        

113513242795   move    373.00        521.00        

113513242995   move    373.00        523.00        

113513250824   move    372.00        523.00        

113513251149   move    370.00        523.00        

113513251662   move    369.00        523.00        

113513259548   move    367.00        523.00        

113513268113   move    366.00        523.00        

113513401047   move    366.00        523.00        

113513409979   move    366.00        524.00        

113513442632   move    364.00        524.00        

113513501648   move    364.00        524.00        

