timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 153207553313
153207553313   834.596     516.127     834.596     516.127 

153207561718   835.504     516.148     835.504     516.148 

153207570141   836.557     513.381     836.557     513.381 

153207578408   836.867     512.35      836.867     512.35  

153207586712   837.429     510.449     837.429     510.449 

153207595073   839.968     506.973     839.968     506.973 

153207603481   841.925     509.474     841.925     509.474 

153207611810   841.824     506.109     841.824     506.109 

153207620096   843.01      507.314     843.01      507.314 

153207628491   842.35      507.051     842.35      507.051 

153207636884   839.206     506.855     839.206     506.855 

153207645088   837.174     507.875     837.174     507.875 

153207653414   840.342     506.378     840.342     506.378 

153207661853   837.772     506.983     837.772     506.983 

153207670202   830.268     509.575     830.268     509.575 

153207678460   835.241     512.396     835.241     512.396 

153207686844   835.415     468.656     835.415     468.656 

153207695227   836.684     285.814     836.684     285.814 

153207703580   822.429     217.71      822.429     217.71  

153207711868   811.421     143.761     811.421     143.761 

153207720228   802.281     105.818     802.281     105.818 

153207728462   799.631     115.452     799.631     115.452 

153207736938   792.658     114.721     792.658     114.721 

153207745146   793.521     100.404     793.521     100.404 

153207753627   792.551     101.126     792.551     101.126 

153207762016   787.715     96.019      787.715     96.019  

153207770248   790.989     94.946      790.989     94.946  

153207778600   791.382     94.975      791.382     94.975  

153207786994   792.059     96.735      792.059     96.735  

153207795334   789.973     93.453      789.973     93.453  

153207803574   789.51      90.544      789.51      90.544  

153207811907   785.5       88.61       785.5       88.61   

153207820376   784.879     85.041      784.879     85.041  

153207828725   783.217     83.483      783.217     83.483  

153207836958   781.753     81.295      781.753     81.295  

153207845293   783.266     78.755      783.266     78.755  

153207853622   785.019     74.957      785.019     74.957  

153207862034   782.825     71.963      782.825     71.963  

153207870295   786.801     61.59       786.801     61.59   

153207878644   781.353     56.589      781.353     56.589  

153207887135   780.572     47.714      780.572     47.714  

153207895369   780.135     45.285      780.135     45.285  

153207903710   797.347     29.242      797.347     29.242  

153207912044   782.584     20.118      782.584     20.118  

153207920415   791.652     26.573      791.652     26.573  

153207928670   789.22      21.458      789.22      21.458  

153207937120   789.411     22.032      789.411     22.032  

153207945442   793.709     21.81       793.709     21.81   

153207953834   795.174     18.171      795.174     18.171  

153207962054   797.111     20.73       797.111     20.73   

153207970390   800.991     21.333      800.991     21.333  

153207978778   801.105     22.335      801.105     22.335  

153207987073   800.349     22.369      800.349     22.369  

153207995421   808.073     20.406      808.073     20.406  

153208003779   802.719     20.201      802.719     20.201  

153208012220   806.712     14.311      806.712     14.311  

153208020442   811.569     8.579       811.569     8.579   

153208028803   809.884     -4.467      809.884     -4.467  

153208037188   807.057     -1.534      807.057     -1.534  

153208045506   805.008     5.595       805.008     5.595   

153208053793   803.953     10.436      803.953     10.436  

153208062198   805.043     7.501       805.043     7.501   

153208070448   798.055     8.746       798.055     8.746   

153208078910   796.677     7.703       796.677     7.703   

153208087240   796.529     7.745       796.529     7.745   

153208095496   795.889     13.242      795.889     13.242  

153208103961   792.914     14.71       792.914     14.71   

153208112192   794.344     13.262      794.344     13.262  

153208120524   795.144     12.099      795.144     12.099  

