timeStamp      action  positionX     positionY     

start time: 153060619570

153060911255   move    823.00        519.00        

153060911466   move    822.00        519.00        

153060919421   move    820.00        519.00        

153060919569   move    819.00        519.00        

153060919781   move    817.00        519.00        

153060919879   move    816.00        519.00        

153060920087   move    814.00        519.00        

153060927619   move    813.00        519.00        

153060927714   move    811.00        519.00        

153060927943   move    810.00        519.00        

153060928010   move    808.00        519.00        

153060928113   move    807.00        519.00        

153060935883   move    805.00        519.00        

153060935961   move    804.00        519.00        

153060936177   move    802.00        519.00        

153060936266   move    801.00        519.00        

153060936363   move    799.00        519.00        

153060936460   move    798.00        519.00        

153060936559   move    796.00        519.00        

153060944308   move    795.00        519.00        

153060944398   move    793.00        519.00        

153060944488   move    792.00        519.00        

153060944599   move    790.00        519.00        

153060944695   move    789.00        519.00        

153060944798   move    787.00        519.00        

153060944923   move    786.00        519.00        

153060944992   move    784.00        519.00        

153060952596   move    781.00        519.00        

153060952670   move    780.00        519.00        

153060952771   move    778.00        519.00        

153060952864   move    777.00        519.00        

153060952965   move    775.00        519.00        

153060953062   move    774.00        519.00        

153060953157   move    772.00        519.00        

153060953327   move    783.00        519.00        

153060960844   move    771.00        519.00        

153060961039   move    769.00        519.00        

153060961136   move    768.00        517.00        

153060961239   move    766.00        517.00        

153060961339   move    765.00        517.00        

153060961443   move    763.00        517.00        

153060961532   move    762.00        517.00        

153060961642   move    760.00        517.00        

153060961741   move    759.00        517.00        

153060961840   move    757.00        517.00        

153060969282   move    756.00        517.00        

153060969406   move    753.00        517.00        

153060969491   move    751.00        517.00        

153060969602   move    750.00        517.00        

153060969697   move    748.00        517.00        

153060969804   move    745.00        517.00        

153060977523   move    744.00        517.00        

153060977628   move    742.00        517.00        

153060977727   move    741.00        517.00        

153060977826   move    739.00        517.00        

153060977926   move    738.00        517.00        

153060978025   move    735.00        517.00        

153060978122   move    733.00        517.00        

153060978217   move    732.00        517.00        

153060978315   move    730.00        517.00        

153060986143   move    729.00        517.00        

