timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 40307022977
40307022977    852.181     516.581     852.181     516.581 

40307031350    851.921     517.348     851.921     517.348 

40307039837    852.128     517.574     852.128     517.574 

40307048150    851.897     517.693     851.897     517.693 

40307056367    852.199     517.094     852.199     517.094 

40307064763    851.771     516.289     851.771     516.289 

40307073169    851.384     516.482     851.384     516.482 

40307081524    850.946     517.157     850.946     517.157 

40307089773    850.877     517.432     850.877     517.432 

40307098131    851.873     516.929     851.873     516.929 

40307106516    852.269     515.394     852.269     515.394 

40307114909    852.481     516.676     852.481     516.676 

40307123087    852.98      516.683     852.98      516.683 

40307131519    852.404     517.902     852.404     517.902 

40307139875    853.515     519.096     853.515     519.096 

40307148036    853.071     520.397     853.071     520.397 

40307156454    852.506     521.305     852.506     521.305 

40307164905    853.742     521.433     853.742     521.433 

40307173268    854.011     520.903     854.011     520.903 

40307181470    853.714     521.42      853.714     521.42  

40307189859    853.298     522.413     853.298     522.413 

40307198206    852.532     527.125     852.532     527.125 

40307206655    852.069     654.341     852.069     654.341 

40307214849    851.984     787.436     851.984     787.436 

40307223242    851.393     895.537     851.393     895.537 

40307231572    850.66      958.275     850.66      958.275 

40307239822    849.565     975.531     849.565     975.531 

40307248210    849.088     974.605     849.088     974.605 

40307256607    847.787     974.57      847.787     974.57  

40307264970    846.547     971.597     846.547     971.597 

40307273264    844.768     971.467     844.768     971.467 

40307281577    842.702     972.426     842.702     972.426 

40307290008    841.66      971.115     841.66      971.115 

40307298353    839.464     972.354     839.464     972.354 

40307306596    838.014     973.044     838.014     973.044 

40307314966    836.729     974.492     836.729     974.492 

40307323326    835.636     975.276     835.636     975.276 

40307331713    834.882     974.857     834.882     974.857 

40307339962    834.658     974.24      834.658     974.24  

40307348388    834.122     973.578     834.122     973.578 

40307356700    833.634     974.901     833.634     974.901 

40307365001    833.368     975.182     833.368     975.182 

40307373372    834.361     975.461     834.361     975.461 

40307381691    835.66      976.429     835.66      976.429 

40307389956    836.016     976.9       836.016     976.9   

40307398333    836.526     976.177     836.526     976.177 

40307406740    837.563     976.119     837.563     976.119 

40307415118    836.372     976.289     836.372     976.289 

40307423507    835.715     976.332     835.715     976.332 

40307431692    835.235     975.379     835.235     975.379 

40307440071    834.716     976.468     834.716     976.468 

40307448456    834.742     977.307     834.742     977.307 

40307456888    836.639     976.439     836.639     976.439 

40307465101    835.929     976.36      835.929     976.36  

40307473546    836.751     974.94      836.751     974.94  

40307481817    837.713     975.181     837.713     975.181 

40307490032    837.409     975.599     837.409     975.599 

40307498468    838.361     974.184     838.361     974.184 

40307506886    839.704     974.075     839.704     974.075 

40307515174    839.955     973.283     839.955     973.283 

40307523508    839.531     973.085     839.531     973.085 

40307531814    839.516     972.55      839.516     972.55  

40307540222    837.89      973.231     837.89      973.231 

40307548561    836.67      976.228     836.67      976.228 

40307556858    836.613     976.908     836.613     976.908 

40307565189    835.262     979.865     835.262     979.865 

40307573577    835.159     977.227     835.159     977.227 

40307581896    835.915     979.584     835.915     979.584 

40307590197    836.517     982.117     836.517     982.117 

40307598614    835.667     984.248     835.667     984.248 

40307606941    836.758     985.421     836.758     985.421 

40307615197    836.873     987.052     836.873     987.052 

40307623604    837.334     989.328     837.334     989.328 

40307631957    837.932     990.076     837.932     990.076 

40307640335    838.319     988.948     838.319     988.948 

40307648583    836.369     988.611     836.369     988.611 

40307657014    836.669     989.419     836.669     989.419 

40307665368    833.541     990.757     833.541     990.757 

40307673724    832.575     989.719     832.575     989.719 

40307681951    830.708     990.039     830.708     990.039 

40307690386    832.144     988.537     832.144     988.537 

40307698746    832.596     988.299     832.596     988.299 

40307706984    832.062     987.838     832.062     987.838 

40307715928    832.595     986.483     832.595     986.483 

40307724231    833.314     985.847     833.314     985.847 

40307732541    834.673     985.524     834.673     985.524 

40307740991    835.474     985.46      835.474     985.46  

40307749326    836.313     984.449     836.313     984.449 

40307757716    838.236     983.11      838.236     983.11  

40307766006    839.214     983.388     839.214     983.388 

40307774304    840.327     982.624     840.327     982.624 

40307782599    840.693     982.666     840.693     982.666 

40307790996    840.109     981.664     840.109     981.664 

40307799408    840.459     980.462     840.459     980.462 

40307809437    840.695     980.151     840.695     980.151 

40307816067    841.155     980.378     841.155     980.378 

40307824379    840.905     979.212     840.905     979.212 

40307832550    841.34      978.422     841.34      978.422 

40307840676    841.669     977.064     841.669     977.064 

40307849026    841.521     976.924     841.521     976.924 

40307857401    842.247     976.182     842.247     976.182 

40307865604    842.454     975.597     842.454     975.597 

40307874003    842.257     974.51      842.257     974.51  

40307882404    842.253     974.995     842.253     974.995 

40307890791    842.266     975.316     842.266     975.316 

40307898998    842.102     975.589     842.102     975.589 

40307907349    842.319     974.839     842.319     974.839 

40307915821    842.99      973.426     842.99      973.426 

40307924102    843.465     973.321     843.465     973.321 

40307932404    843.881     973.727     843.881     973.727 

40307940761    844.152     972.527     844.152     972.527 

40307949134    845.091     972.179     845.091     972.179 

40307957385    844.963     970.9       844.963     970.9   

40307965770    845.156     970.679     845.156     970.679 

40307974161    845.846     969.937     845.846     969.937 

40307982524    845.945     966.669     845.945     966.669 

40307990777    846.001     966.407     846.001     966.407 

40307999145    845.623     967.415     845.623     967.415 

40308007531    845.093     968.085     845.093     968.085 

40308015857    843.227     967.329     843.227     967.329 

40308024120    841.243     965.954     841.243     965.954 

40308032555    841.644     965.477     841.644     965.477 

40308040820    841.032     965.497     841.032     965.497 

40308049158    841.868     966.412     841.868     966.412 

40308057539    842.37      965.165     842.37      965.165 

40308065947    841.701     967.012     841.701     967.012 

40308074321    841.889     967.503     841.889     967.503 

40308082517    840.23      966.222     840.23      966.222 

40308090942    841.372     965.512     841.372     965.512 

40308099263    841.837     966.656     841.837     966.656 

40308107668    844.053     965.972     844.053     965.972 

40308115876    844.665     966.403     844.665     966.403 

