timeStamp      action  positionX     positionY     

start time: 40256451907

40256560374    move    837.00        509.00        

40256560489    move    837.00        508.00        

40256568375    move    837.00        507.00        

40256568708    move    837.00        506.00        

40256568773    move    837.00        505.00        

40256568974    move    837.00        503.00        

40256576440    move    837.00        502.00        

40256576640    move    837.00        501.00        

40256576742    move    837.00        499.00        

40256576942    move    837.00        498.00        

40256577045    move    837.00        497.00        

40256584852    move    837.00        495.00        

40256584960    move    837.00        493.00        

40256585160    move    837.00        492.00        

40256585290    move    837.00        490.00        

40256585466    move    837.00        488.00        

40256585548    move    837.00        486.00        

40256593234    move    836.00        485.00        

40256593322    move    836.00        483.00        

40256593525    move    836.00        481.00        

40256593623    move    836.00        479.00        

40256593837    move    836.00        477.00        

40256593927    move    835.00        474.00        

40256594108    move    835.00        472.00        

40256601699    move    835.00        467.00        

40256601779    move    835.00        464.00        

40256601973    move    834.00        462.00        

40256602073    move    834.00        459.00        

40256602641    move    835.00        470.00        

40256610052    move    834.00        456.00        

40256610155    move    834.00        454.00        

40256610338    move    833.00        452.00        

40256610451    move    833.00        449.00        

40256610661    move    833.00        446.00        

40256618297    move    833.00        443.00        

40256618486    move    832.00        440.00        

40256618586    move    832.00        437.00        

40256618820    move    832.00        433.00        

40256618891    move    832.00        430.00        

40256626626    move    831.00        427.00        

40256626692    move    831.00        424.00        

40256626903    move    831.00        420.00        

40256627002    move    831.00        417.00        

40256627225    move    830.00        413.00        

40256627307    move    830.00        410.00        

40256634965    move    830.00        408.00        

40256635065    move    830.00        404.00        

40256635265    move    830.00        401.00        

40256635367    move    829.00        397.00        

40256635567    move    829.00        394.00        

40256635683    move    829.00        390.00        

40256643317    move    829.00        387.00        

40256643542    move    828.00        381.00        

40256643704    move    828.00        377.00        

40256643805    move    828.00        374.00        

40256651737    move    828.00        364.00        

40256651844    move    828.00        360.00        

40256652030    move    828.00        357.00        

40256652144    move    828.00        354.00        

40256652392    move    828.00        370.00        

40256652461    move    828.00        367.00        

40256660022    move    828.00        351.00        

40256660121    move    828.00        347.00        

40256660321    move    828.00        345.00        

40256660432    move    828.00        342.00        

40256660622    move    828.00        339.00        

