timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 102869198648
102869198648   830.264     545.514     830.264     545.514 

102869207012   830.655     544.068     830.655     544.068 

102869215403   839.05      544.008     839.05      544.008 

102869223760   831.223     545.442     831.223     545.442 

102869232012   829.799     547.55      829.799     547.55  

102869240388   828.105     548.205     828.105     548.205 

102869248759   827.412     548.147     827.412     548.147 

102869257149   833.212     545.709     833.212     545.709 

102869265392   828.254     546.033     828.254     546.033 

102869273761   830.376     543.891     830.376     543.891 

102869282139   827.682     544.138     827.682     544.138 

102869290515   835.33      543.982     835.33      543.982 

102869298774   840.855     545.44      840.855     545.44  

102869307139   837.105     545.831     837.105     545.831 

102869315520   836.396     549.605     836.396     549.605 

102869323880   839.918     549.867     839.918     549.867 

102869332140   839.866     552.004     839.866     552.004 

102869340526   839.302     551.979     839.302     551.979 

102869348908   839.113     555.749     839.113     555.749 

102869357262   839.438     556.674     839.438     556.674 

102869365515   838.392     558.104     838.392     558.104 

102869373888   851.044     554.826     851.044     554.826 

102869382268   937.564     528.182     937.564     528.182 

102869390647   1027.526    454.898     1027.526    454.898 

102869398894   1104.116    362.131     1104.116    362.131 

102869407254   1124.767    309.613     1124.767    309.613 

102869415633   1148.318    253.893     1148.318    253.893 

102869424018   1165.707    237.554     1165.707    237.554 

102869432275   1170.162    226.61      1170.162    226.61  

102869440635   1163.929    224.448     1163.929    224.448 

102869449012   1168.701    221.514     1168.701    221.514 

102869457375   1165.986    222.223     1165.986    222.223 

102869465643   1168.08     221.371     1168.08     221.371 

102869474005   1168.921    224.029     1168.921    224.029 

102869490769   1170.612    224.168     1170.612    224.168 

102869499017   1171.709    223.692     1171.709    223.692 

102869507385   1171.863    221.118     1171.863    221.118 

102869515768   1171.702    221.057     1171.702    221.057 

102869524158   1170.602    221.972     1170.602    221.972 

102869532390   1171.252    222.107     1171.252    222.107 

102869540758   1171.164    223.656     1171.164    223.656 

102869549141   1170.986    223.467     1170.986    223.467 

102869557509   1170.769    223.003     1170.769    223.003 

102869565764   1169.904    222.466     1169.904    222.466 

102869574138   1171.401    222.453     1171.401    222.453 

102869582496   1171.293    221.963     1171.293    221.963 

102869590887   1173.281    222.631     1173.281    222.631 

102869599142   1173.174    222.15      1173.174    222.15  

102869607499   1174.065    222.934     1174.065    222.934 

102869615894   1174.325    224.071     1174.325    224.071 

102869624256   1174.908    223.525     1174.908    223.525 

102869632505   1174.993    225.23      1174.993    225.23  

102869640879   1177.066    227.851     1177.066    227.851 

102869649263   1177.837    228.82      1177.837    228.82  

102869657637   1179.458    229.188     1179.458    229.188 

102869665887   1177.953    229.451     1177.953    229.451 

102869674249   1179.248    228.966     1179.248    228.966 

102869691013   1181.509    229.878     1181.509    229.878 

102869699264   1181.52     230.317     1181.52     230.317 

102869707636   1182.418    230.607     1182.418    230.607 

102869716006   1182.655    230.953     1182.655    230.953 

102869724381   1184.238    230.547     1184.238    230.547 

102869732637   1184.228    230.108     1184.228    230.108 

102869741011   1183.341    230.777     1183.341    230.777 

102869749384   1183.829    230.484     1183.829    230.484 

102869757756   1185.148    228.822     1185.148    228.822 

102869766014   1185.661    227.766     1185.661    227.766 

102869774379   1185.595    225.21      1185.595    225.21  

102869791134   1186.334    217.334     1186.334    217.334 

102869799392   1186.204    216.159     1186.204    216.159 

102869807758   1187.461    212.502     1187.461    212.502 

102869816127   1187.59     207.732     1187.59     207.732 

102869824511   1189.949    205.941     1189.949    205.941 

102869832764   1191.431    204.096     1191.431    204.096 

102869841131   1193.252    200.758     1193.252    200.758 

102869849514   1194.75     199.472     1194.75     199.472 

102869857887   1195.91     197.28      1195.91     197.28  

102869866137   1196.303    196.457     1196.303    196.457 

102869874505   1197.428    195.003     1197.428    195.003 

102869891261   1200.079    192.102     1200.079    192.102 

102869899510   1201.088    191.803     1201.088    191.803 

102869907881   1201.605    191.678     1201.605    191.678 

102869916255   1201.428    192.515     1201.428    192.515 

102869924631   1201.053    191.85      1201.053    191.85  

102869932876   1199.237    192.651     1199.237    192.651 

102869941255   1198.714    193.165     1198.714    193.165 

102869949640   1197.428    193.381     1197.428    193.381 

102869958010   1196.863    193.646     1196.863    193.646 

102869966264   1194.465    194.01      1194.465    194.01  

102869974618   1193.344    194.704     1193.344    194.704 

102869983006   1190.419    194.842     1190.419    194.842 

102869991402   1188.522    193.738     1188.522    193.738 

102869999643   1187.206    193.313     1187.206    193.313 

102870008011   1186.406    192.332     1186.406    192.332 

102870016385   1186.357    191.894     1186.357    191.894 

102870024754   1186.58     191.079     1186.58     191.079 

102870033141   1186.487    189.121     1186.487    189.121 

102870041388   1188.598    187.753     1188.598    187.753 

102870049762   1186.743    186.458     1186.743    186.458 

102870058129   1188.253    185.074     1188.253    185.074 

102870066514   1188.913    183.846     1188.913    183.846 

102870074767   1190.202    183.468     1190.202    183.468 

102870091516   1191.514    182.078     1191.514    182.078 

102870099894   1191.5      181.172     1191.5      181.172 

102870108131   1191.429    180.559     1191.429    180.559 

102870116505   1192.565    180.554     1192.565    180.554 

102870124893   1192.68     180.659     1192.68     180.659 

102870133262   1192.503    181.892     1192.503    181.892 

102870141512   1191.832    182.577     1191.832    182.577 

102870149878   1191.824    183.977     1191.824    183.977 

102870158252   1190.199    184.218     1190.199    184.218 

