timeStamp      action  positionX     positionY     

start time: 103305995120

103306103749   move    823.00        513.00        

103306103847   move    822.00        513.00        

103306104048   move    820.00        513.00        

103306104147   move    819.00        513.00        

103306104347   move    817.00        513.00        

103306111856   move    814.00        513.00        

103306111942   move    813.00        513.00        

103306112155   move    811.00        511.00        

103306112839   move    816.00        513.00        

103306120130   move    810.00        511.00        

103306120340   move    807.00        511.00        

103306120539   move    804.00        511.00        

103306120727   move    802.00        511.00        

103306120840   move    799.00        511.00        

103306128565   move    796.00        510.00        

103306128664   move    795.00        510.00        

103306128863   move    792.00        510.00        

103306128963   move    790.00        510.00        

103306129164   move    787.00        510.00        

103306129264   move    784.00        510.00        

103306136884   move    781.00        510.00        

103306136970   move    778.00        508.00        

103306137184   move    775.00        508.00        

103306137271   move    772.00        508.00        

103306137484   move    771.00        508.00        

103306145109   move    768.00        508.00        

103306145320   move    765.00        508.00        

103306145408   move    762.00        508.00        

103306145620   move    757.00        507.00        

103306145720   move    754.00        507.00        

103306153624   move    745.00        507.00        

103306153723   move    741.00        507.00        

103306153924   move    738.00        507.00        

103306154023   move    735.00        507.00        

103306154290   move    751.00        507.00        

103306154383   move    748.00        507.00        

103306161897   move    730.00        507.00        

103306161995   move    727.00        507.00        

103306162195   move    724.00        507.00        

103306162295   move    721.00        507.00        

103306162497   move    718.00        507.00        

103306162596   move    715.00        507.00        

103306170221   move    711.00        505.00        

103306170320   move    708.00        505.00        

103306170521   move    705.00        505.00        

103306170621   move    700.00        505.00        

103306170821   move    697.00        505.00        

103306178461   move    694.00        505.00        

103306178655   move    691.00        505.00        

103306178754   move    687.00        505.00        

103306178954   move    684.00        505.00        

103306179054   move    681.00        505.00        

103306179256   move    678.00        505.00        

103306186900   move    673.00        505.00        

103306187087   move    670.00        505.00        

103306187199   move    667.00        505.00        

103306187387   move    666.00        505.00        

103306187500   move    661.00        505.00        

103306195130   move    658.00        505.00        

103306195228   move    655.00        505.00        

103306195427   move    652.00        505.00        

103306195527   move    649.00        505.00        

103306195727   move    646.00        505.00        

103306195828   move    643.00        505.00        

103306203558   move    637.00        505.00        

103306203736   move    634.00        504.00        

103306203824   move    631.00        504.00        

103306204036   move    630.00        504.00        

103306204136   move    627.00        504.00        

103306204336   move    624.00        504.00        

103306204404   move    640.00        505.00        

103306204426   move    621.00        504.00        

103306204637   move    619.00        504.00        

103306204723   move    616.00        504.00        

103306204937   move    613.00        504.00        

103306220248   move    610.00        504.00        

103306220446   move    609.00        504.00        

103306220545   move    606.00        504.00        

103306220745   move    603.00        504.00        

103306220845   move    601.00        504.00        

103306228681   move    597.00        504.00        

