timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 190030591789
190030591789   837.838     451.12      837.838     451.12  

190030600147   839.471     448.25      839.471     448.25  

190030608421   843.359     448.301     843.359     448.301 

190030616787   844.213     446.899     844.213     446.899 

190030625151   845.832     445.001     845.832     445.001 

190030633526   846.191     444.31      846.191     444.31  

190030641905   846.884     444.651     846.884     444.651 

190030658539   845.135     446.26      845.135     446.26  

190030666913   846.104     445.26      846.104     445.26  

190030675168   845.527     444.688     845.527     444.688 

190030683527   844.779     443.687     844.779     443.687 

190030691905   842.792     443.633     842.792     443.633 

190030700290   840.559     441.954     840.559     441.954 

190030708669   837.962     442.544     837.962     442.544 

190030716910   838.643     444.508     838.643     444.508 

190030725266   838.335     447.391     838.335     447.391 

190030733651   837.396     447.523     837.396     447.523 

190030742029   836.99      452.132     836.99      452.132 

190030758666   586.947     631.823     586.947     631.823 

190030767018   494.594     717.889     494.594     717.889 

190030775399   423.356     784.186     423.356     784.186 

190030783662   411.375     798.251     411.375     798.251 

190030792026   404.683     866.427     404.683     866.427 

190030800419   406.906     893.205     406.906     893.205 

190030808810   406.953     889.749     406.953     889.749 

190030817025   408.567     878.444     408.567     878.444 

190030825394   406.455     883.88      406.455     883.88  

190030833820   404.875     887.73      404.875     887.73  

190030842150   404.889     881.416     404.889     881.416 

190030850397   403.626     880.396     403.626     880.396 

190030858814   401.018     877.758     401.018     877.758 

190030867149   398.844     876.737     398.844     876.737 

190030875533   391.633     877.527     391.633     877.527 

190030883815   383.256     876.795     383.256     876.795 

190030892150   393.836     872.623     393.836     872.623 

190030900529   389.322     869.735     389.322     869.735 

190030908904   386.872     866.125     386.872     866.125 

190030917154   387.207     866.958     387.207     866.958 

190030925528   388.735     865.11      388.735     865.11  

190030933908   387.484     865.562     387.484     865.562 

190030942286   386.64      864.903     386.64      864.903 

190030950530   387.707     863.604     387.707     863.604 

190030958924   387.076     865.635     387.076     865.635 

190030967288   387.973     865.924     387.973     865.924 

190030975664   388.679     867.19      388.679     867.19  

190030983942   388.658     870.94      388.658     870.94  

190030992283   388.55      874.687     388.55      874.687 

190031000652   387.25      877.457     387.25      877.457 

190031009044   382.756     881.487     382.756     881.487 

190031017282   386.256     878.852     386.256     878.852 

190031025658   385.164     880.229     385.164     880.229 

190031034024   385.391     883.712     385.391     883.712 

190031042413   386.606     885.726     386.606     885.726 

190031059057   387.773     887.796     387.773     887.796 

190031067395   380.784     915.271     380.784     915.271 

190031075827   363.899     919.542     363.899     919.542 

190031084024   367.676     887.727     367.676     887.727 

190031092401   389.025     888.429     389.025     888.429 

190031100813   395.126     881.487     395.126     881.487 

190031109169   394.076     891.026     394.076     891.026 

190031117391   404.11      887.757     404.11      887.757 

190031125785   402.19      881.815     402.19      881.815 

190031134148   401.471     875.871     401.471     875.871 

190031142550   398.669     877.204     398.669     877.204 

190031159179   398.495     874.712     398.495     874.712 

190031167527   403.791     876.124     403.791     876.124 

190031175927   405.711     875.408     405.711     875.408 

190031184161   403.939     873.751     403.939     873.751 

190031192541   403.569     874.875     403.569     874.875 

190031200941   404.689     872.768     404.689     872.768 

190031209289   403.319     872.068     403.319     872.068 

190031217525   402.242     872.807     402.242     872.807 

190031225914   402.09      875         402.09      875     

190031234279   402.835     875.534     402.835     875.534 

190031242663   402.452     875.143     402.452     875.143 

190031250895   403.353     875.937     403.353     875.937 

190031259284   402.232     874.49      402.232     874.49  

190031267649   401.486     874.213     401.486     874.213 

190031276048   401.732     873.016     401.732     873.016 

