timeStamp      action  positionX     positionY     

start time: 189671801900

189671977302   move    823.00        526.00        

189671985260   move    822.00        526.00        

189671985438   move    820.00        526.00        

189671985638   move    819.00        526.00        

189671985940   move    817.00        526.00        

189671993670   move    816.00        526.00        

189671993768   move    816.00        525.00        

189671993855   move    814.00        525.00        

189671994068   move    813.00        525.00        

189671994270   move    811.00        525.00        

189672001923   move    810.00        525.00        

189672002235   move    808.00        525.00        

189672002334   move    807.00        525.00        

189672002434   move    805.00        525.00        

189672002636   move    804.00        525.00        

189672010334   move    802.00        523.00        

189672010433   move    801.00        523.00        

189672010532   move    799.00        523.00        

189672010733   move    798.00        523.00        

189672010832   move    796.00        523.00        

189672011034   move    795.00        523.00        

189672018708   move    792.00        523.00        

189672018768   move    790.00        523.00        

189672018980   move    789.00        523.00        

189672019067   move    787.00        523.00        

189672019169   move    786.00        523.00        

189672019281   move    784.00        522.00        

189672019521   move    793.00        523.00        

189672027026   move    783.00        522.00        

189672027225   move    781.00        522.00        

189672027325   move    780.00        522.00        

189672027424   move    778.00        522.00        

189672027524   move    777.00        522.00        

189672027625   move    775.00        522.00        

189672027726   move    774.00        522.00        

189672027825   move    772.00        522.00        

189672027925   move    771.00        522.00        

189672035254   move    769.00        522.00        

189672035392   move    768.00        522.00        

189672035445   move    766.00        522.00        

189672035532   move    765.00        522.00        

189672035644   move    763.00        522.00        

189672035746   move    762.00        522.00        

189672035846   move    760.00        522.00        

189672043663   move    759.00        522.00        

189672043764   move    757.00        522.00        

189672043850   move    756.00        522.00        

189672043962   move    754.00        522.00        

189672044062   move    751.00        522.00        

189672044162   move    750.00        520.00        

189672044251   move    748.00        520.00        

189672044363   move    747.00        520.00        

189672052020   move    745.00        520.00        

189672052219   move    744.00        520.00        

189672052319   move    742.00        520.00        

189672052418   move    739.00        520.00        

189672052518   move    738.00        520.00        

189672052618   move    736.00        520.00        

189672052719   move    735.00        520.00        

189672060344   move    730.00        520.00        

189672060443   move    729.00        520.00        

189672060542   move    727.00        520.00        

189672060642   move    724.00        520.00        

189672060729   move    723.00        520.00        

189672060841   move    721.00        520.00        

189672060944   move    718.00        520.00        

189672061043   move    715.00        520.00        

189672061186   move    732.00        520.00        

189672068661   move    714.00        520.00        

189672068760   move    711.00        520.00        

189672068961   move    708.00        519.00        

189672069060   move    705.00        519.00        

189672069161   move    703.00        519.00        

189672069249   move    700.00        519.00        

189672069362   move    699.00        519.00        

189672077109   move    696.00        519.00        

189672077208   move    694.00        519.00        

189672077308   move    691.00        519.00        

189672077408   move    690.00        519.00        

189672077507   move    687.00        519.00        

189672077607   move    685.00        519.00        

189672077708   move    682.00        519.00        

189672085368   move    681.00        517.00        

189672085451   move    678.00        517.00        

189672085538   move    675.00        517.00        

189672085651   move    672.00        517.00        

189672085751   move    670.00        517.00        

189672085838   move    667.00        517.00        

189672085950   move    666.00        517.00        

189672086052   move    663.00        517.00        

189672086152   move    661.00        517.00        

189672093814   move    658.00        517.00        

189672093913   move    655.00        517.00        

189672094013   move    654.00        516.00        

