timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 18758746553
18758746553    829.594     512.151     829.594     512.151 

18758754773    829.445     514.004     829.445     514.004 

18758762986    829.599     512.585     829.599     512.585 

18758771356    830.755     511.949     830.755     511.949 

18758779753    831.828     511.61      831.828     511.61  

18758788111    832.06      510.77      832.06      510.77  

18758796367    831.879     510.02      831.879     510.02  

18758804727    831.887     509.254     831.887     509.254 

18758813104    832.325     509.093     832.325     509.093 

18758821338    832.985     509.314     832.985     509.314 

18758829680    833.989     508.341     833.989     508.341 

18758838067    833.419     507.742     833.419     507.742 

18758846358    831.309     507.092     831.309     507.092 

18758854697    832.332     508.083     832.332     508.083 

18758863073    831.277     507.821     831.277     507.821 

18758871394    830.114     507.684     830.114     507.684 

18758879857    829.946     507.655     829.946     507.655 

18758888144    829.694     507.644     829.694     507.644 

18758896401    829.62      506.98      829.62      506.98  

18758904888    828.915     506.232     828.915     506.232 

18758913231    828.95      506.808     828.95      506.808 

18758921434    828.213     507.053     828.213     507.053 

18758929869    828.02      508.588     828.02      508.588 

18758938202    828.791     511.227     828.791     511.227 

18758946423    828.696     509.121     828.696     509.121 

18758954815    829.094     510.291     829.094     510.291 

18758963202    829.214     511.605     829.214     511.605 

18758971584    828.608     516.641     828.608     516.641 

18758979859    823.76      527.948     823.76      527.948 

18758988282    748.183     607.29      748.183     607.29  

18758996679    671.039     695.451     671.039     695.451 

18759005021    627.367     754.362     627.367     754.362 

18759013272    544.496     797.128     544.496     797.128 

18759021633    506.123     849.601     506.123     849.601 

18759030020    474.821     876.796     474.821     876.796 

18759038321    473.286     885.247     473.286     885.247 

18759046574    472.817     885.274     472.817     885.274 

18759054998    466.868     890.417     466.868     890.417 

18759063334    463.973     891.647     463.973     891.647 

18759071620    461.814     894.253     461.814     894.253 

18759079979    460.942     895.789     460.942     895.789 

18759088375    458.099     897.105     458.099     897.105 

18759096748    458.331     897.02      458.331     897.02  

18759104994    456.917     897.927     456.917     897.927 

18759113363    456.054     900.06      456.054     900.06  

18759121703    455.563     901.306     455.563     901.306 

18759130126    454.593     902.374     454.593     902.374 

18759138326    453.579     904.31      453.579     904.31  

18759146778    456.139     899.478     456.139     899.478 

18759155163    470.85      875.151     470.85      875.151 

18759163355    471.523     866.567     471.523     866.567 

18759171762    473.42      868.167     473.42      868.167 

18759180141    477.035     864.051     477.035     864.051 

18759188497    477.621     865.606     477.621     865.606 

18759196742    479.865     864.523     479.865     864.523 

18759205112    483.408     861.342     483.408     861.342 

18759213501    484.092     860.501     484.092     860.501 

18759221877    485.99      857.789     485.99      857.789 

18759230096    487.461     856.799     487.461     856.799 

18759238477    488.503     855.484     488.503     855.484 

18759246827    487.186     856.06      487.186     856.06  

18759255249    486.139     856.35      486.139     856.35  

18759263471    485.78      855.868     485.78      855.868 

18759271895    486.046     855.381     486.046     855.381 

18759280198    486.11      855.072     486.11      855.072 

18759288632    487.372     853.967     487.372     853.967 

18759296866    487.221     853.727     487.221     853.727 

18759305257    488.05      852.641     488.05      852.641 

18759313624    488.818     852.664     488.818     852.664 

18759321826    489.497     852.681     489.497     852.681 

18759330295    488.663     852.171     488.663     852.171 

18759338641    488.098     852.394     488.098     852.394 

18759347013    488.683     852.564     488.683     852.564 

18759355221    488.524     852.792     488.524     852.792 

18759363603    488.187     853.125     488.187     853.125 

18759372006    488.039     852.858     488.039     852.858 

18759380368    487.89      852.584     487.89      852.584 

18759388577    488.039     852.292     488.039     852.292 

18759396983    488.031     852.103     488.031     852.103 

18759405329    487.736     851.809     487.736     851.809 

18759413651    487.65      851.573     487.65      851.573 

18759422035    487.999     851.179     487.999     851.179 

18759430400    487.963     851.846     487.963     851.846 

18759438755    494.716     851.009     494.716     851.009 

18759446989    647.314     785.428     647.314     785.428 

18759455370    740.596     702.055     740.596     702.055 

18759463720    788.276     645.499     788.276     645.499 

18759472129    826.197     639.162     826.197     639.162 

18759480364    850.572     606.819     850.572     606.819 

