timeStamp      action  positionX     positionY     

start time: 18645438095

18645479661    move    856.00        525.00        

18645487479    move    857.00        525.00        

18645487644    move    859.00        525.00        

18645487837    move    860.00        525.00        

18645495583    move    862.00        525.00        

18645495775    move    863.00        525.00        

18645495874    move    865.00        525.00        

18645496078    move    866.00        525.00        

18645496264    move    868.00        525.00        

18645503973    move    871.00        525.00        

18645504084    move    872.00        525.00        

18645504292    move    874.00        525.00        

18645504377    move    875.00        525.00        

18645504739    move    869.00        525.00        

18645512259    move    877.00        525.00        

18645512345    move    878.00        525.00        

18645512463    move    880.00        525.00        

18645512658    move    881.00        525.00        

18645512764    move    883.00        525.00        

18645512845    move    884.00        525.00        

18645512953    move    886.00        525.00        

18645520467    move    887.00        525.00        

18645520545    move    889.00        525.00        

18645520652    move    890.00        525.00        

18645520742    move    892.00        525.00        

18645520854    move    895.00        525.00        

18645520939    move    896.00        525.00        

18645521054    move    898.00        525.00        

18645521140    move    899.00        525.00        

18645521252    move    901.00        525.00        

18645528882    move    904.00        525.00        

18645528981    move    905.00        525.00        

18645529082    move    907.00        525.00        

18645529417    move    911.00        525.00        

18645529496    move    913.00        525.00        

18645529589    move    916.00        525.00        

18645537263    move    917.00        525.00        

18645537352    move    920.00        525.00        

18645537463    move    922.00        525.00        

18645537565    move    925.00        525.00        

18645537665    move    926.00        526.00        

18645537767    move    929.00        526.00        

18645537855    move    932.00        526.00        

18645537964    move    934.00        526.00        

18645545450    move    937.00        526.00        

18645545551    move    940.00        526.00        

18645545651    move    943.00        526.00        

18645545755    move    944.00        526.00        

18645545850    move    947.00        527.00        

18645545950    move    950.00        527.00        

18645546050    move    953.00        527.00        

18645546142    move    956.00        527.00        

18645546249    move    959.00        527.00        

18645553921    move    965.00        529.00        

18645553968    move    968.00        529.00        

18645554068    move    973.00        529.00        

18645554167    move    976.00        529.00        

18645554268    move    979.00        529.00        

18645554465    move    982.00        529.00        

18645554568    move    986.00        529.00        

18645554655    move    989.00        530.00        

18645554730    move    962.00        527.00        

18645562327    move    992.00        530.00        

18645562376    move    997.00        530.00        

18645562501    move    1000.00       530.00        

18645562572    move    1004.00       530.00        

18645562661    move    1007.00       530.00        

18645562766    move    1012.00       530.00        

18645562868    move    1015.00       532.00        

18645570690    move    1019.00       532.00        

18645570791    move    1024.00       532.00        

18645570894    move    1027.00       532.00        

18645570991    move    1031.00       532.00        

18645571089    move    1036.00       532.00        

18645571191    move    1040.00       533.00        

18645571283    move    1043.00       533.00        

18645571386    move    1048.00       533.00        

18645578897    move    1052.00       533.00        

18645578994    move    1057.00       533.00        

18645579090    move    1061.00       533.00        

18645579197    move    1064.00       533.00        

18645579303    move    1069.00       533.00        

18645579500    move    1073.00       535.00        

18645579591    move    1078.00       535.00        

18645587248    move    1082.00       535.00        

18645587343    move    1087.00       535.00        

18645587450    move    1091.00       535.00        

18645587549    move    1096.00       535.00        

18645587646    move    1099.00       536.00        

18645587741    move    1103.00       536.00        

18645587831    move    1109.00       536.00        

18645587940    move    1114.00       536.00        

18645595665    move    1127.00       538.00        

18645595745    move    1130.00       538.00        

18645595839    move    1135.00       538.00        

18645595940    move    1139.00       538.00        

18645596039    move    1142.00       539.00        

18645596138    move    1147.00       539.00        

18645596237    move    1151.00       539.00        

18645596396    move    1118.00       536.00        

18645596482    move    1123.00       538.00        

18645603992    move    1154.00       539.00        

18645604090    move    1159.00       539.00        

18645604187    move    1162.00       541.00        

18645604294    move    1166.00       541.00        

18645604392    move    1169.00       541.00        

18645604605    move    1174.00       541.00        

18645604687    move    1177.00       541.00        

18645612272    move    1181.00       542.00        

18645612376    move    1184.00       542.00        

18645612474    move    1187.00       542.00        

18645612574    move    1190.00       542.00        

18645612674    move    1195.00       542.00        

18645612774    move    1198.00       544.00        

18645612864    move    1201.00       544.00        

18645612967    move    1204.00       544.00        

18645620574    move    1207.00       544.00        

18645620653    move    1210.00       544.00        
