timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 685116210430
685116210430   858.767     537.656     858.767     537.656 

685116218804   859.736     537.655     859.736     537.655 

685116227044   860.098     537.883     860.098     537.883 

685116235438   859.825     537.444     859.825     537.444 

685116243810   859.284     537.985     859.284     537.985 

685116252165   859.632     538.204     859.632     538.204 

685116260418   859.323     538.719     859.323     538.719 

685116268794   858.616     538.032     858.616     538.032 

685116277170   858.008     537.742     858.008     537.742 

685116285561   857.268     537.081     857.268     537.081 

685116293796   856.955     538.132     856.955     538.132 

685116302165   792.34      538.735     792.34      538.735 

685116310545   675.255     539.682     675.255     539.682 

685116318917   575.586     537.528     575.586     537.528 

685116327178   494.479     536.005     494.479     536.005 

685116335551   454.476     533.097     454.476     533.097 

685116343911   447.58      531.358     447.58      531.358 

685116352295   441.972     528.64      441.972     528.64  

685116360547   437.391     526.819     437.391     526.819 

685116368918   437.119     524.669     437.119     524.669 

685116377300   435.965     526.615     435.965     526.615 

685116393925   435.402     520.444     435.402     520.444 

685116402287   435.269     518.935     435.269     518.935 

685116410673   435.142     518.268     435.142     518.268 

685116419048   434.358     517.474     434.358     517.474 

685116427292   432.837     516.901     432.837     516.901 

685116435676   432.014     516.17      432.014     516.17  

685116444045   430.95      515.885     430.95      515.885 

685116452412   431.075     515.671     431.075     515.671 

685116460681   431.133     516.388     431.133     516.388 

685116469044   431.625     514.994     431.625     514.994 

685116477430   431.767     514.09      431.767     514.09  

685116494042   430.799     514.375     430.799     514.375 

685116502425   430.163     513.483     430.163     513.483 

685116510802   429.739     512.901     429.739     512.901 

685116519171   431.044     511.849     431.044     511.849 

685116527411   431.487     511.918     431.487     511.918 

685116535797   431.413     511.605     431.413     511.605 

685116544168   431.376     511.131     431.376     511.131 

685116552546   430.379     511.473     430.379     511.473 

685116560793   430.386     511.768     430.386     511.768 

685116569171   430.523     512.774     430.523     512.774 

685116577541   430.542     512.492     430.542     512.492 

685116594172   430.185     514.214     430.185     514.214 

685116602555   429.78      514.038     429.78      514.038 

685116610920   429.718     515.03      429.718     515.03  

685116619290   429.412     514.683     429.412     514.683 

685116627537   430.414     515.555     430.414     515.555 

685116635914   430.129     516.273     430.129     516.273 

685116644295   430.388     516.595     430.388     516.595 

685116652669   430.069     517.39      430.069     517.39  

685116660921   429.69      517.396     429.69      517.396 

685116669297   429.253     517.122     429.253     517.122 

685116677664   428.139     516.301     428.139     516.301 

685116686042   428.405     513.975     428.405     513.975 

685116694333   428.336     515.084     428.336     515.084 

685116702693   427.843     516.747     427.843     516.747 

685116711038   426.947     517.619     426.947     517.619 

685116719431   425.564     517.323     425.564     517.323 

685116727676   425.566     517.317     425.566     517.317 

685116736054   425.436     517.053     425.436     517.053 

685116744414   425.701     516.446     425.701     516.446 

685116752790   425.386     516.624     425.386     516.624 

685116761039   424.902     517.043     424.902     517.043 

685116769413   426.138     517.393     426.138     517.393 

685116777798   426.974     518.982     426.974     518.982 

685116786185   428.53      518.589     428.53      518.589 

685116794418   429.731     517.535     429.731     517.535 

685116802798   431.043     517.055     431.043     517.055 

685116811166   431.746     516.052     431.746     516.052 

685116819558   431.778     514.903     431.778     514.903 

685116827792   431.06      513.902     431.06      513.902 

685116836157   430.767     512.932     430.767     512.932 

685116844539   429.633     512.661     429.633     512.661 

685116852915   428.42      512.329     428.42      512.329 

685116861169   427.429     511.967     427.429     511.967 

685116869536   426.322     512.013     426.322     512.013 

685116877917   426.735     513.248     426.735     513.248 

685116894538   426.52      512.132     426.52      512.132 

685116902916   426.68      512.823     426.68      512.823 

685116911295   426.229     513.792     426.229     513.792 

