timeStamp      action  positionX     positionY     

start time: 685066098804

685066181828   move    850.00        540.00        

685066182028   move    851.00        540.00        

685066189672   move    852.00        540.00        

685066189871   move    853.00        540.00        

685066189972   move    853.00        541.00        

685066190171   move    854.00        541.00        

685066190272   move    856.00        542.00        

685066198165   move    859.00        543.00        

685066198251   move    860.00        544.00        

685066198463   move    862.00        544.00        

685066198564   move    863.00        545.00        

685066198763   move    865.00        545.00        

685066198845   move    857.00        542.00        

685066198931   move    858.00        542.00        

685066206252   move    866.00        546.00        

685066206447   move    868.00        547.00        

685066206546   move    870.00        547.00        

685066206746   move    872.00        548.00        

685066206847   move    873.00        549.00        

685066214769   move    875.00        550.00        

685066214867   move    877.00        551.00        

685066215066   move    880.00        552.00        

685066215254   move    883.00        554.00        

685066223018   move    885.00        555.00        

685066223094   move    888.00        556.00        

685066223305   move    890.00        557.00        

685066223392   move    893.00        559.00        

685066223605   move    895.00        560.00        

685066223705   move    898.00        562.00        

685066231444   move    900.00        563.00        

685066231543   move    903.00        565.00        

685066231743   move    907.00        567.00        

685066231843   move    911.00        569.00        

685066232045   move    916.00        573.00        

685066232144   move    921.00        575.00        

685066239761   move    925.00        578.00        

685066239860   move    930.00        581.00        

685066240060   move    934.00        584.00        

685066240160   move    939.00        587.00        

685066240362   move    943.00        589.00        

685066248073   move    950.00        595.00        

685066248156   move    954.00        597.00        

685066248356   move    957.00        600.00        

685066248456   move    961.00        602.00        

685066248657   move    965.00        605.00        

685066248837   move    946.00        592.00        

685066256431   move    968.00        607.00        

685066256630   move    971.00        609.00        

685066256742   move    975.00        612.00        

685066256942   move    978.00        614.00        

685066257044   move    981.00        616.00        

685066264771   move    985.00        619.00        

685066264881   move    988.00        622.00        

685066265068   move    992.00        624.00        

685066265181   move    995.00        626.00        

685066265368   move    998.00        629.00        

685066265483   move    1002.00       631.00        

685066273093   move    1006.00       634.00        

685066273205   move    1009.00       636.00        

685066273404   move    1012.00       638.00        

685066273504   move    1015.00       640.00        

685066273704   move    1018.00       643.00        

685066273804   move    1021.00       645.00        

685066281540   move    1024.00       647.00        

685066281638   move    1027.00       650.00        

685066281838   move    1030.00       652.00        

685066281926   move    1033.00       654.00        

685066282140   move    1035.00       656.00        

685066289842   move    1041.00       660.00        

685066289929   move    1044.00       662.00        

685066290141   move    1046.00       664.00        

685066290228   move    1048.00       666.00        

685066290596   move    1038.00       658.00        

685066298134   move    1051.00       668.00        

685066298219   move    1053.00       669.00        

685066298418   move    1055.00       671.00        

685066298517   move    1057.00       673.00        

685066298717   move    1060.00       675.00        

685066298818   move    1062.00       677.00        

685066299018   move    1064.00       678.00        

685066299121   move    1066.00       680.00        

685066299318   move    1067.00       682.00        

685066299417   move    1070.00       683.00        

685066299619   move    1071.00       685.00        

685066299719   move    1073.00       687.00        

685066314875   move    1075.00       688.00        

685066314974   move    1076.00       690.00        

685066315174   move    1078.00       691.00        

685066315374   move    1081.00       694.00        

685066323124   move    1082.00       695.00        

685066323412   move    1085.00       698.00        

685066323512   move    1086.00       699.00        

685066323711   move    1087.00       700.00        

685066323812   move    1088.00       702.00        

685066331448   move    1090.00       703.00        

685066331547   move    1091.00       704.00        

685066331746   move    1092.00       705.00        

685066331847   move    1093.00       706.00        

685066332048   move    1094.00       707.00        

685066332155   move    1095.00       709.00        

685066339732   move    1096.00       710.00        

685066339831   move    1098.00       711.00        

685066340030   move    1099.00       712.00        

685066340129   move    1100.00       713.00        

685066340330   move    1101.00       713.00        

685066348150   move    1102.00       714.00        

685066348430   move    1102.00       715.00        

685066348529   move    1104.00       717.00        

685066348729   move    1105.00       717.00        

685066348831   move    1106.00       718.00        

685066356559   move    1106.00       719.00        

685066356657   move    1107.00       720.00        

685066356857   move    1108.00       720.00        

685066356957   move    1108.00       721.00        

685066357145   move    1109.00       722.00        

685066365001   move    1110.00       723.00        

685066365300   move    1111.00       724.00        

685066365601   move    1112.00       725.00        

685066373312   move    1112.00       726.00        

685066373424   move    1113.00       726.00        

685066373611   move    1113.00       727.00        

685066373925   move    1114.00       727.00        

685066381589   move    1115.00       728.00        

685066381900   move    1115.00       729.00        

685066382388   move    1114.00       728.00        

685066389898   move    1116.00       729.00        

685066389997   move    1116.00       730.00        

685066390297   move    1117.00       730.00        

685066390497   move    1117.00       731.00        

685066390599   move    1118.00       731.00        

685066398298   move    1118.00       732.00        

685066398510   move    1119.00       732.00        

685066398810   move    1120.00       733.00        

685066399109   move    1121.00       734.00        

685066406769   move    1122.00       734.00        

685066406867   move    1122.00       735.00        

685066407067   move    1123.00       735.00        

685066414917   move    1123.00       736.00        

685066415106   move    1124.00       736.00        

685066415206   move    1125.00       737.00        

685066415506   move    1126.00       737.00        

685066423383   move    1128.00       739.00        

685066423783   move    1129.00       740.00        

685066423884   move    1130.00       741.00        

685066424062   move    1126.00       738.00        

685066424153   move    1127.00       739.00        

685066431774   move    1131.00       741.00        

685066431873   move    1131.00       742.00        

685066432072   move    1132.00       742.00        

685066432172   move    1133.00       743.00        

685066439888   move    1134.00       744.00        

685066440086   move    1135.00       744.00        

685066440186   move    1135.00       745.00        

685066440386   move    1136.00       745.00        

685066440486   move    1136.00       746.00        

685066448232   move    1137.00       747.00        

685066448329   move    1138.00       747.00        

