timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 62547541478
62547541478    846.21      529.35      846.21      529.35  

62547549846    846.169     528.52      846.169     528.52  

62547558224    846.207     527.501     846.207     527.501 

62547566623    845.761     526.55      845.761     526.55  

62547574851    845.169     525.393     845.169     525.393 

62547583222    843.494     523.304     843.494     523.304 

62547591586    841.784     522.554     841.784     522.554 

62547599967    842.09      521.121     842.09      521.121 

62547608230    840.444     520.386     840.444     520.386 

62547616606    839.962     518.143     839.962     518.143 

62547624971    839.89      518.455     839.89      518.455 

62547633351    840.165     515.766     840.165     515.766 

62547641591    840.082     514.403     840.082     514.403 

62547649974    840.655     512.481     840.655     512.481 

62547658359    840.749     511.662     840.749     511.662 

62547666599    841.186     510.329     841.186     510.329 

62547674965    841.995     512.537     841.995     512.537 

62547683343    842.449     513.425     842.449     513.425 

62547691723    843.313     513.926     843.313     513.926 

62547699985    844.241     514.758     844.241     514.758 

62547708348    845.676     515.946     845.676     515.946 

62547716724    847.063     516.826     847.063     516.826 

62547725118    847.794     517.195     847.794     517.195 

62547733486    848.726     517.966     848.726     517.966 

62547741728    848.786     519.262     848.786     519.262 

62547750095    849.121     519.958     849.121     519.958 

62547758466    849.987     521.147     849.987     521.147 

62547766845    849.911     520.534     849.911     520.534 

62547775085    850.755     521.069     850.755     521.069 

62547783471    859.647     544.535     859.647     544.535 

62547791849    966.457     633.48      966.457     633.48  

62547800233    1037.799    673.344     1037.799    673.344 

62547808468    1107.618    752.276     1107.618    752.276 

62547816845    1170.613    805.052     1170.613    805.052 

62547833605    1177.307    834.353     1177.307    834.353 

62547841850    1179.444    836.478     1179.444    836.478 

62547850227    1177.98     834.677     1177.98     834.677 

62547858597    1174.844    834.614     1174.844    834.614 

62547866844    1178.534    834.455     1178.534    834.455 

62547875218    1178.232    833.386     1178.232    833.386 

62547883599    1178.682    833.614     1178.682    833.614 

62547891980    1177.473    831.923     1177.473    831.923 

62547900239    1178.002    832.963     1178.002    832.963 

62547908603    1177.777    834.685     1177.777    834.685 

