timeStamp      action  positionX     positionY     

start time: 62420958269

62421175331    move    854.00        508.00        

62421175729    move    855.00        507.00        

62421183584    move    855.00        505.00        

62421183682    move    857.00        505.00        

62421183882    move    857.00        504.00        

62421183981    move    858.00        504.00        

62421184284    move    858.00        502.00        

62421192089    move    861.00        499.00        

62421192287    move    863.00        498.00        

62421192489    move    863.00        496.00        

62421192736    move    860.00        501.00        

62421200157    move    864.00        496.00        

62421200243    move    864.00        495.00        

62421200328    move    866.00        495.00        

62421200440    move    866.00        493.00        

62421200741    move    867.00        492.00        

62421200942    move    869.00        490.00        

62421208677    move    870.00        489.00        

62421208776    move    870.00        487.00        

62421208876    move    872.00        487.00        

62421208975    move    872.00        486.00        

62421209076    move    873.00        484.00        

62421209278    move    875.00        483.00        

62421216997    move    876.00        481.00        

62421217097    move    876.00        480.00        

62421217196    move    878.00        480.00        

62421217296    move    879.00        478.00        

62421217496    move    881.00        477.00        

62421217598    move    881.00        475.00        

62421225249    move    882.00        475.00        

62421225335    move    882.00        474.00        

62421225422    move    884.00        472.00        

62421225635    move    885.00        472.00        

62421225721    move    885.00        471.00        

62421225834    move    887.00        469.00        

62421225936    move    888.00        468.00        

62421226037    move    888.00        466.00        

62421233719    move    891.00        465.00        

62421233768    move    891.00        463.00        

62421233867    move    893.00        463.00        

62421233967    move    894.00        462.00        

62421234068    move    894.00        460.00        

62421234155    move    896.00        459.00        

62421234269    move    897.00        459.00        

62421234524    move    890.00        466.00        

62421241905    move    897.00        457.00        

62421242003    move    899.00        456.00        

62421242103    move    900.00        454.00        

62421242203    move    900.00        453.00        

62421242290    move    902.00        453.00        

62421242403    move    903.00        451.00        

62421242504    move    903.00        450.00        

62421242605    move    905.00        448.00        

62421250239    move    906.00        448.00        

62421250335    move    908.00        445.00        

62421250534    move    909.00        445.00        

62421250634    move    909.00        444.00        

62421250721    move    911.00        442.00        

62421250833    move    912.00        441.00        

62421250934    move    912.00        439.00        

62421251036    move    914.00        438.00        

62421258675    move    915.00        438.00        

62421258774    move    915.00        436.00        

62421258874    move    917.00        435.00        

62421258974    move    918.00        433.00        

62421259074    move    920.00        432.00        

62421259174    move    920.00        430.00        

62421259279    move    921.00        429.00        

62421259377    move    923.00        429.00        

62421259475    move    923.00        427.00        

62421259562    move    924.00        426.00        

62421267062    move    926.00        424.00        

62421267151    move    926.00        423.00        

62421267238    move    927.00        421.00        

62421267350    move    929.00        420.00        

62421267450    move    930.00        418.00        

62421267551    move    932.00        417.00        

62421275248    move    932.00        415.00        

62421275343    move    933.00        414.00        

62421275543    move    935.00        414.00        

62421275642    move    935.00        412.00        

62421275743    move    936.00        411.00        

62421275842    move    938.00        409.00        

62421275944    move    938.00        408.00        

62421276043    move    939.00        406.00        

62421283713    move    942.00        403.00        

62421283768    move    942.00        402.00        

62421283867    move    944.00        400.00        

62421283967    move    945.00        399.00        

62421284067    move    947.00        397.00        

62421284269    move    948.00        396.00        

62421284514    move    941.00        405.00        

62421292028    move    950.00        394.00        

62421292112    move    951.00        391.00        

62421292327    move    953.00        388.00        

62421292412    move    954.00        388.00        

62421292525    move    956.00        387.00        

62421292624    move    957.00        385.00        

62421292726    move    959.00        384.00        

62421292826    move    959.00        382.00        

62421300452    move    960.00        381.00        

62421300651    move    962.00        379.00        

62421300751    move    963.00        378.00        

62421300851    move    963.00        376.00        

62421300951    move    965.00        375.00        

62421301052    move    966.00        373.00        

62421301152    move    968.00        372.00        

62421308673    move    969.00        370.00        

62421308773    move    969.00        369.00        

62421308872    move    971.00        367.00        

62421308960    move    972.00        366.00        

62421309072    move    974.00        366.00        

62421309172    move    975.00        363.00        

