timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 97189812825
97189812825    830.058     444.605     830.058     444.605 

97189821197    834.144     450.378     834.144     450.378 

97189829567    830.823     450.61      830.823     450.61  

97189837955    814.225     455.694     814.225     455.694 

97189846215    697.212     443.032     697.212     443.032 

97189854573    572.263     353.023     572.263     353.023 

97189862947    489.858     246.803     489.858     246.803 

97189879581    424.501     152.148     424.501     152.148 

97189887943    447.993     149.499     447.993     149.499 

97189896335    451.129     182.283     451.129     182.283 

97189904682    444.309     164.091     444.309     164.091 

97189912950    443.514     155.14      443.514     155.14  

97189921321    418.307     150.733     418.307     150.733 

97189929717    421.553     151.17      421.553     151.17  

97189938068    432.085     154.492     432.085     154.492 

97189946329    439.666     151.765     439.666     151.765 

97189954692    432.538     152.667     432.538     152.667 

97189963061    434.779     152.397     434.779     152.397 

97189971456    438.653     148.622     438.653     148.622 

97189979707    437.117     150.579     437.117     150.579 

97189988062    440.155     149.434     440.155     149.434 

97189996454    445.297     142.309     445.297     142.309 

97190004814    447.352     144.175     447.352     144.175 

97190013083    447.588     140.576     447.588     140.576 

97190021452    449.893     138.286     449.893     138.286 

97190029823    450.914     137.928     450.914     137.928 

97190038185    446.378     134.05      446.378     134.05  

97190046446    444.88      136.792     444.88      136.792 

97190054816    446.767     139.405     446.767     139.405 

97190063208    440.34      141.892     440.34      141.892 

97190071574    441.519     150.776     441.519     150.776 

97190079823    434.483     151.408     434.483     151.408 

97190088185    436.966     161.428     436.966     161.428 

97190096579    441.549     165.552     441.549     165.552 

97190104947    433.962     155.043     433.962     155.043 

97190113199    425.569     149.516     425.569     149.516 

97190121565    428.755     153.153     428.755     153.153 

97190129944    430.593     144.088     430.593     144.088 

97190138348    432.537     150.063     432.537     150.063 

97190146587    446.183     142.928     446.183     142.928 

97190154946    448.074     143.242     448.074     143.242 

97190163330    449.567     145.169     449.567     145.169 

97190171697    455.97      138.424     455.97      138.424 

97190179960    443.56      141.866     443.56      141.866 

97190188353    438.35      134.026     438.35      134.026 

97190196703    433.928     130.396     433.928     130.396 

97190205076    431.983     133.933     431.983     133.933 

97190213351    432.255     131.888     432.255     131.888 

97190221699    435.62      132.877     435.62      132.877 

97190230063    432.976     132.927     432.976     132.927 

97190238476    425.985     129.274     425.985     129.274 

97190246704    430.388     132.997     430.388     132.997 

97190255071    435.966     130.451     435.966     130.451 

97190263449    433.302     130.406     433.302     130.406 

97190271817    437.33      131.191     437.33      131.191 

97190280076    440.678     132.185     440.678     132.185 

97190288436    435.429     134.014     435.429     134.014 

97190296826    440.769     133.049     440.769     133.049 

97190305188    434.87      132.685     434.87      132.685 

97190313438    444.78      132.89      444.78      132.89  

97190321818    445.568     132.555     445.568     132.555 

97190330196    446.397     139.987     446.397     139.987 

97190338573    443.818     137.138     443.818     137.138 

97190346828    434.397     136.419     434.397     136.419 

97190355192    444.114     137.962     444.114     137.962 

97190363564    444.82      133.157     444.82      133.157 

97190371956    442.489     135.603     442.489     135.603 

97190380212    437.358     132.869     437.358     132.869 

97190388570    443.67      132.434     443.67      132.434 

97190396945    445.264     135.793     445.264     135.793 

97190405325    448.25      134.95      448.25      134.95  

97190413590    444.77      136.656     444.77      136.656 

97190421958    438.02      134.65      438.02      134.65  

97190430319    438.096     140.732     438.096     140.732 

97190438730    434.844     143.636     434.844     143.636 

97190446942    442.185     142.582     442.185     142.582 

97190455348    437.575     143.01      437.575     143.01  

97190463693    448.238     141.175     448.238     141.175 

97190472072    446.505     141.421     446.505     141.421 

97190480360    453.686     147.406     453.686     147.406 

97190488690    451.153     153.281     451.153     153.281 

97190497072    446.786     152.635     446.786     152.635 

97190505479    449.841     150.016     449.841     150.016 

97190513702    452.283     153.702     452.283     153.702 

97190522070    451.569     151.608     451.569     151.608 

97190530436    453.839     151.99      453.839     151.99  

97190538824    451.913     150.262     451.913     150.262 

97190547067    450.176     143.695     450.176     143.695 

97190555474    443.481     144.125     443.481     144.125 

97190563822    437.663     141.379     437.663     141.379 

97190572192    437.162     145.875     437.162     145.875 

97190580450    439.956     143.193     439.956     143.193 

97190588812    447.307     142.182     447.307     142.182 

97190597199    445.899     142.425     445.899     142.425 

97190605572    451.871     139.235     451.871     139.235 

97190613817    457.741     142.444     457.741     142.444 

97190622187    456.902     141.178     456.902     141.178 

97190630566    461.645     141.815     461.645     141.815 

97190638950    457.894     143.308     457.894     143.308 

97190647198    464.405     144.228     464.405     144.228 

97190655565    466.307     148.681     466.307     148.681 

97190663945    466.866     150.708     466.866     150.708 

97190672307    469.287     153.8       469.287     153.8   

97190680583    460.034     152.377     460.034     152.377 

97190688941    463.606     152.155     463.606     152.155 

97190697319    458.884     152.42      458.884     152.42  

