timeStamp      action  positionX     positionY     

start time: 97086031856

97086074154    move    829.00        509.00        

97086082064    move    829.00        507.00        

97086082363    move    829.00        506.00        

97086082665    move    829.00        504.00        

97086090286    move    829.00        503.00        

97086090583    move    829.00        501.00        

97086090683    move    829.00        500.00        

97086098521    move    829.00        498.00        

97086098820    move    829.00        497.00        

97086099019    move    830.00        495.00        

97086099120    move    830.00        494.00        

97086106957    move    831.00        492.00        

97086107156    move    831.00        491.00        

97086107256    move    833.00        489.00        

97086107443    move    833.00        488.00        

97086107556    move    833.00        486.00        

97086115337    move    834.00        485.00        

97086115521    move    836.00        483.00        

97086115634    move    836.00        482.00        

97086115835    move    837.00        480.00        

97086115934    move    837.00        479.00        

97086116117    move    834.00        486.00        

97086123640    move    839.00        477.00        

97086123739    move    840.00        476.00        

97086123938    move    840.00        474.00        

97086124038    move    842.00        473.00        

97086124239    move    843.00        471.00        

97086124339    move    843.00        470.00        

97086131854    move    845.00        468.00        

97086132013    move    846.00        467.00        

97086132239    move    848.00        464.00        

97086132351    move    849.00        462.00        

97086140289    move    851.00        459.00        

97086140400    move    852.00        458.00        

97086140587    move    854.00        456.00        

97086140699    move    855.00        455.00        

97086140899    move    857.00        452.00        

97086141000    move    858.00        450.00        

97086148732    move    860.00        449.00        

97086148831    move    861.00        446.00        

97086149030    move    863.00        444.00        

97086149130    move    864.00        443.00        

97086149331    move    866.00        441.00        

97086149431    move    869.00        438.00        

97086157107    move    870.00        437.00        

97086157191    move    872.00        434.00        

97086157404    move    873.00        432.00        

97086157491    move    876.00        429.00        

97086157705    move    878.00        428.00        

97086165288    move    881.00        425.00        

97086165499    move    882.00        423.00        

97086165599    move    884.00        422.00        

97086165800    move    887.00        419.00        

97086165899    move    888.00        416.00        

97086173647    move    891.00        414.00        

97086173743    move    893.00        411.00        

97086173943    move    896.00        408.00        

97086174042    move    899.00        407.00        

97086174242    move    900.00        404.00        

97086174343    move    903.00        401.00        

97086182065    move    906.00        398.00        

97086182164    move    908.00        396.00        

97086182364    move    911.00        393.00        

97086182464    move    914.00        392.00        

97086182653    move    917.00        389.00        

97086182765    move    920.00        386.00        

97086190402    move    923.00        383.00        

97086190501    move    926.00        380.00        

97086190700    move    929.00        377.00        

97086190801    move    932.00        374.00        

97086191002    move    933.00        372.00        

97086198633    move    936.00        369.00        

97086198820    move    939.00        368.00        

97086198931    move    942.00        365.00        

97086199118    move    945.00        362.00        

97086199231    move    948.00        359.00        

97086199432    move    951.00        356.00        

97086207087    move    954.00        354.00        

97086207189    move    957.00        351.00        

97086207300    move    960.00        348.00        

97086207500    move    963.00        345.00        

97086207589    move    966.00        344.00        

97086215427    move    968.00        342.00        

97086215522    move    971.00        339.00        

97086215720    move    974.00        336.00        

97086215820    move    977.00        335.00        

97086216020    move    980.00        332.00        

97086216120    move    983.00        330.00        

97086223845    move    984.00        327.00        

97086223932    move    987.00        326.00        

97086224143    move    990.00        323.00        

97086224231    move    992.00        321.00        

97086224444    move    995.00        320.00        

97086224544    move    996.00        318.00        

97086224746    move    999.00        315.00        

97086224912    move    1001.00       314.00        

97086225044    move    1004.00       312.00        

97086225144    move    1005.00       309.00        

97086225344    move    1008.00       308.00        

97086240514    move    1011.00       305.00        

97086240713    move    1013.00       303.00        

97086240800    move    1016.00       302.00        

97086241013    move    1017.00       300.00        

97086241113    move    1019.00       299.00        

97086248842    move    1020.00       297.00        

97086248875    move    1022.00       296.00        

97086249087    move    1023.00       294.00        

97086249174    move    1025.00       293.00        

97086249388    move    1026.00       291.00        

97086249488    move    1029.00       290.00        

97086257163    move    1031.00       288.00        

97086257249    move    1032.00       287.00        

97086257461    move    1034.00       287.00        

97086257562    move    1035.00       285.00        

97086257762    move    1037.00       284.00        

97086265606    move    1038.00       282.00        

97086265706    move    1040.00       281.00        

97086265907    move    1041.00       281.00        

97086266006    move    1043.00       279.00        

97086273739    move    1044.00       278.00        

97086274036    move    1046.00       276.00        

97086274136    move    1047.00       276.00        

97086274335    move    1049.00       275.00        

97086274436    move    1050.00       273.00        

97086282280    move    1052.00       273.00        

97086282480    move    1053.00       272.00        

97086282580    move    1055.00       272.00        

97086282768    move    1055.00       270.00        

97086282880    move    1056.00       270.00        

97086290588    move    1058.00       269.00        

97086290837    move    1059.00       267.00        

97086290950    move    1061.00       267.00        

97086298740    move    1062.00       266.00        

97086299038    move    1064.00       266.00        

97086299242    move    1065.00       264.00        

97086299539    move    1067.00       264.00        

97086307184    move    1067.00       263.00        

97086307385    move    1068.00       263.00        

97086307685    move    1070.00       261.00        

97086315608    move    1071.00       261.00        

97086315820    move    1071.00       260.00        

97086315908    move    1073.00       260.00        

97086323961    move    1074.00       258.00        

97086324259    move    1076.00       258.00        

97086324660    move    1076.00       257.00        

97086324759    move    1077.00       257.00        

97086332472    move    1079.00       255.00        

97086340760    move    1080.00       255.00        

97086340958    move    1080.00       254.00        

97086341158    move    1082.00       254.00        

97086349048    move    1082.00       252.00        

97086349147    move    1083.00       252.00        

97086349649    move    1083.00       251.00        

97086357282    move    1085.00       251.00        

97086357794    move    1086.00       249.00        

97086365619    move    1088.00       249.00        

97086365819    move    1088.00       248.00        

97086366118    move    1089.00       248.00        

97086373951    move    1089.00       246.00        

97086374049    move    1091.00       246.00        

97086374349    move    1091.00       245.00        

97086374550    move    1092.00       245.00        

97086382341    move    1094.00       243.00        

97086382630    move    1095.00       242.00        

97086382730    move    1097.00       242.00        

97086382929    move    1097.00       240.00        

97086390630    move    1098.00       240.00        

97086390926    move    1100.00       239.00        

97086391126    move    1101.00       239.00        

97086391226    move    1101.00       237.00        

97086398853    move    1103.00       236.00        

97086398951    move    1104.00       236.00        

97086399138    move    1106.00       234.00        

