timeStamp      GazeRX  GazeRY  GazeLX  GazeLY  

start time: 677314946636
677314946636   1068.036    259.658     1068.036    259.658 

677314955031   1069.163    256.703     1069.163    256.703 

677314963255   1072.425    253.374     1072.425    253.374 

677314971640   1071.168    253.402     1071.168    253.402 

677314979999   1072.992    252.061     1072.992    252.061 

677314996644   1075.948    250.272     1075.948    250.272 

677315005015   1076.282    246.962     1076.282    246.962 

677315013384   1074.111    242.96      1074.111    242.96  

677315021746   1073.742    241.215     1073.742    241.215 

677315030004   1076.07     239.498     1076.07     239.498 

677315038386   1077.875    236.468     1077.875    236.468 

677315046772   1079.455    235.955     1079.455    235.955 

677315055130   1081.73     235.174     1081.73     235.174 

677315063380   1085.611    235.007     1085.611    235.007 

677315071760   1089.942    236.122     1089.942    236.122 

677315080124   1083.425    235.411     1083.425    235.411 

677315096764   1084.23     231.428     1084.23     231.428 

677315105136   1085.266    230.621     1085.266    230.621 

677315113501   1099.038    222.006     1099.038    222.006 

677315121877   1114.652    214.807     1114.652    214.807 

677315130144   1129.054    212.707     1129.054    212.707 

677315138506   1134.631    212.293     1134.631    212.293 

677315146877   1143.995    207.083     1143.995    207.083 

677315155256   1149.678    208.277     1149.678    208.277 

677315163498   1155.142    201.483     1155.142    201.483 

677315171872   1154.781    201.163     1154.781    201.163 

677315180257   1157.029    198.333     1157.029    198.333 

677315196888   1153.006    195.531     1153.006    195.531 

677315205251   1154.507    195.905     1154.507    195.905 

677315213630   1155.439    194.982     1155.439    194.982 

677315222017   1153.34     194.698     1153.34     194.698 

677315230256   1156.164    194.731     1156.164    194.731 

677315238627   1155.934    194.352     1155.934    194.352 

677315247002   1156.305    194.287     1156.305    194.287 

677315255379   1155.551    193.778     1155.551    193.778 

677315263639   1155.404    193.176     1155.404    193.176 

677315272001   1150.822    192.719     1150.822    192.719 

677315280383   1154.811    192.939     1154.811    192.939 

677315297003   1157.05     194.328     1157.05     194.328 

677315305381   1156.966    195.144     1156.966    195.144 

677315313767   1155.7      194.986     1155.7      194.986 

677315322128   1155.987    194.32      1155.987    194.32  

677315330369   1156.701    195.372     1156.701    195.372 

677315338753   1157.749    194.803     1157.749    194.803 

677315347127   1157.178    196.586     1157.178    196.586 

677315355512   1153.784    196.99      1153.784    196.99  

677315363748   1155.098    197.786     1155.098    197.786 

677315372135   1153.561    197.637     1153.561    197.637 

677315380502   1151.03     194.124     1151.03     194.124 

677315397132   1144.901    188.149     1144.901    188.149 

677315405512   1145.495    185.66      1145.495    185.66  

677315413880   1145.328    185.928     1145.328    185.928 

677315422248   1147.409    185.671     1147.409    185.671 
