timeStamp      action  positionX     positionY     

start time: 677436946402

677437005253   move    855.00        510.00        

677437012869   move    856.00        509.00        

677437013168   move    858.00        507.00        

677437013268   move    859.00        506.00        

677437013468   move    861.00        504.00        

677437013569   move    861.00        503.00        

677437021317   move    862.00        501.00        

677437021416   move    864.00        500.00        

677437021616   move    865.00        498.00        

677437021715   move    867.00        497.00        

677437021905   move    868.00        495.00        

677437022016   move    870.00        494.00        

677437022216   move    871.00        491.00        

677437022324   move    873.00        489.00        

677437022518   move    874.00        488.00        

677437022616   move    877.00        485.00        

677437022816   move    879.00        483.00        

677437022904   move    880.00        482.00        

677437038093   move    883.00        479.00        

677437038190   move    885.00        477.00        

677437038389   move    888.00        474.00        

677437038501   move    889.00        473.00        

677437038707   move    891.00        470.00        

677437046313   move    894.00        468.00        

677437046512   move    895.00        465.00        

677437046612   move    897.00        464.00        

677437046813   move    900.00        462.00        

677437046900   move    903.00        459.00        

677437054654   move    904.00        456.00        

677437054752   move    907.00        455.00        

677437054952   move    910.00        452.00        

677437055052   move    912.00        450.00        

677437055252   move    915.00        447.00        

677437055352   move    918.00        446.00        

677437063084   move    919.00        443.00        

677437063170   move    922.00        441.00        

677437063472   move    927.00        438.00        

677437063684   move    930.00        435.00        

677437063785   move    933.00        434.00        

677437071514   move    936.00        431.00        

677437071613   move    939.00        429.00        

677437071813   move    942.00        428.00        

677437071913   move    945.00        425.00        

677437072113   move    948.00        423.00        

677437079651   move    951.00        422.00        

677437079851   move    954.00        419.00        

677437079951   move    957.00        417.00        

677437080151   move    960.00        416.00        

677437080250   move    963.00        414.00        

677437088079   move    969.00        410.00        

677437088196   move    972.00        408.00        

677437088295   move    976.00        405.00        

677437088494   move    979.00        404.00        

677437088595   move    982.00        402.00        

677437088834   move    966.00        411.00        

677437096425   move    985.00        399.00        

677437096524   move    990.00        398.00        

677437096724   move    993.00        396.00        

677437096825   move    996.00        393.00        

677437097025   move    1000.00       392.00        

677437097124   move    1003.00       390.00        

677437104855   move    1006.00       387.00        

677437104967   move    1009.00       386.00        

677437105154   move    1014.00       384.00        

677437105266   move    1017.00       381.00        

677437105467   move    1020.00       380.00        

677437113004   move    1023.00       378.00        

677437113189   move    1026.00       377.00        

677437113288   move    1029.00       374.00        

677437113489   move    1033.00       372.00        

677437113588   move    1036.00       371.00        

677437113789   move    1039.00       368.00        

677437121419   move    1042.00       366.00        

677437121618   move    1045.00       365.00        

677437121718   move    1048.00       362.00        

677437121918   move    1051.00       360.00        

677437122005   move    1054.00       359.00        

677437122219   move    1057.00       356.00        

677437122306   move    1060.00       354.00        

677437122562   move    1063.00       353.00        

677437122607   move    1066.00       351.00        

677437122818   move    1068.00       350.00        

677437122918   move    1072.00       347.00        

677437138111   move    1074.00       345.00        

677437138216   move    1075.00       344.00        

677437138409   move    1078.00       342.00        

677437138509   move    1081.00       341.00        

677437138608   move    1083.00       339.00        

677437138809   move    1086.00       338.00        

677437146529   move    1087.00       336.00        

677437146628   move    1089.00       335.00        

677437146828   move    1092.00       333.00        

677437146927   move    1093.00       332.00        

677437147128   move    1095.00       330.00        

677437154757   move    1096.00       329.00        

677437154845   move    1099.00       329.00        

677437155056   move    1101.00       327.00        

677437155256   move    1102.00       326.00        

677437155356   move    1104.00       324.00        

677437163200   move    1105.00       323.00        

677437163300   move    1107.00       323.00        

677437163499   move    1108.00       321.00        

677437163599   move    1110.00       321.00        

677437163799   move    1110.00       320.00        

677437171629   move    1113.00       318.00        

677437171927   move    1114.00       318.00        

677437172027   move    1114.00       317.00        

677437172228   move    1116.00       317.00        

677437179755   move    1117.00       315.00        

677437180055   move    1119.00       315.00        

677437180254   move    1119.00       314.00        

677437188109   move    1120.00       312.00        

677437188308   move    1122.00       312.00        

677437188709   move    1123.00       311.00        

677437188934   move    1120.00       314.00        

677437196933   move    1125.00       309.00        

677437205075   move    1126.00       308.00        

677437213097   move    1126.00       306.00        

677437213294   move    1128.00       306.00        

677437213680   move    1128.00       305.00        

677437221728   move    1129.00       303.00        

677437222127   move    1129.00       302.00        

677437222682   move    1129.00       300.00        

677437222727   move    1131.00       300.00        

677437223028   move    1131.00       299.00        

677437238516   move    1131.00       297.00        

677437238915   move    1131.00       296.00        

677437247023   move    1131.00       294.00        

677437255071   move    1131.00       293.00        

677437255671   move    1131.00       291.00        

677437263899   move    1131.00       290.00        

677437272132   move    1131.00       288.00        

677437280174   move    1131.00       287.00        

677437288227   move    1131.00       285.00        

677437288813   move    1131.00       284.00        

677437296948   move    1131.00       282.00        

677437297047   move    1132.00       282.00        

677437297348   move    1132.00       281.00        

677437305382   move    1132.00       279.00        

677437305782   move    1132.00       278.00        

677437313508   move    1132.00       276.00        

677437313808   move    1134.00       276.00        

677437314008   move    1134.00       275.00        

677437321943   move    1134.00       273.00        

677437322243   move    1134.00       272.00        

677437322543   move    1135.00       272.00        

677437322844   move    1135.00       270.00        

677437338726   move    1135.00       267.00        

677437338914   move    1137.00       267.00        

677437340091   move    1135.00       269.00        

677437346753   move    1137.00       266.00        

677437347152   move    1137.00       264.00        

677437355175   move    1137.00       263.00        

677437355586   move    1138.00       261.00        

677437363613   move    1138.00       260.00        

677437364014   move    1138.00       258.00        

